date,open,high,low,close,volume,average,barCount
2020-07-13,157.99,161.55,157.99,159.44,187135.0,160.074,1501
2020-07-14,159.08,163.3,159.03,162.79,202750.0,161.756,1867
2020-07-15,164.33,168.47,163.31,168.12,346301.0,167.452,2846
2020-07-16,167.76,169.15,167.0,168.46,185650.0,168.222,1535
2020-07-17,169.64,170.33,168.16,169.57,140798.0,169.51,1064
2020-07-20,169.2,170.25,167.13,168.98,163682.0,168.7,1515
2020-07-21,169.46,171.88,169.01,170.15,228822.0,170.584,2078
2020-07-22,170.15,171.73,169.28,169.34,270155.0,169.775,2311
2020-07-23,170.32,172.36,169.64,170.91,322732.0,171.064,2687
2020-07-24,169.93,170.34,165.04,167.67,368548.0,167.476,2754
2020-07-27,168.54,171.03,167.11,169.56,295513.0,168.864,2087
2020-07-28,169.22,169.52,165.35,165.38,119748.0,167.003,1045
2020-07-29,166.38,167.8,165.9,166.6,138208.0,166.861,1137
2020-07-30,164.94,165.65,162.6,164.6,167057.0,164.64,1490
2020-07-31,164.3,165.12,162.78,164.82,127996.0,164.168,1048
2020-08-03,165.58,167.58,165.36,166.29,216109.0,166.657,1358
2020-08-04,165.44,166.03,164.33,165.05,134976.0,165.208,1157
2020-08-05,165.96,167.36,165.82,166.15,147652.0,166.477,1320
2020-08-06,166.07,166.63,164.58,166.52,105163.0,165.765,846
2020-08-07,166.66,167.56,165.7,167.54,197576.0,166.883,1761
2020-08-10,167.22,171.25,167.22,171.21,249495.0,170.153,1987
2020-08-11,172.0,175.96,171.44,174.02,277139.0,174.606,2249
2020-08-12,175.21,177.62,174.26,176.98,239525.0,176.444,2126
2020-08-13,175.85,175.85,173.64,174.86,143089.0,174.657,1117
2020-08-14,173.82,177.08,173.44,176.7,265944.0,176.401,2084
2020-08-17,176.66,177.12,174.17,174.86,110417.0,175.091,971
2020-08-18,174.81,177.18,174.81,176.56,222983.0,176.438,1073
2020-08-19,177.22,177.58,175.38,175.79,159634.0,176.286,1263
2020-08-20,174.49,176.31,173.58,176.28,180916.0,175.214,1105
2020-08-21,176.38,179.58,175.84,178.85,369346.0,178.031,2845
2020-08-24,179.02,181.13,178.87,180.59,155666.0,180.259,1318
2020-08-25,180.9,181.09,179.11,179.7,217405.0,179.773,1862
2020-08-26,179.53,180.59,178.38,180.0,125041.0,179.58,1065
2020-08-27,180.63,181.25,178.68,178.74,168951.0,179.497,1387
2020-08-28,178.73,180.9,177.63,180.89,146892.0,179.618,1201
2020-08-31,180.69,180.69,178.97,180.23,171183.0,179.995,1215
2020-09-01,179.55,182.56,178.81,182.08,105234.0,181.585,859
2020-09-02,182.43,185.18,181.98,184.17,151076.0,183.248,1256
2020-09-03,184.48,184.48,178.97,180.15,130348.0,180.471,1068
2020-09-04,182.37,183.2,176.9,177.62,242227.0,178.656,2187
2020-09-08,176.86,178.94,173.98,176.01,170922.0,176.707,1530
2020-09-09,177.22,181.46,176.2,179.69,127682.0,180.079,1174
2020-09-10,179.86,180.53,177.33,177.4,183101.0,178.521,1572
2020-09-11,178.39,181.55,177.97,181.12,192516.0,179.828,1656
2020-09-14,181.82,184.65,181.42,184.1,207786.0,183.788,1790
2020-09-15,184.2,186.63,184.2,186.21,147032.0,185.86,1264
2020-09-16,187.22,188.14,185.68,186.46,139626.0,186.737,1238
2020-09-17,185.37,188.17,183.13,186.52,194780.0,186.599,1408
2020-09-18,186.16,187.5,184.88,186.04,181848.0,186.158,1115
2020-09-21,183.57,184.16,176.5,178.25,176559.0,178.183,1576
2020-09-22,179.06,180.79,177.53,180.34,164476.0,179.388,1376
2020-09-23,180.12,181.59,176.4,176.51,115864.0,178.309,1028
2020-09-24,176.96,179.82,175.58,177.76,105114.0,177.667,946
2020-09-25,176.83,179.86,175.92,179.03,130479.0,178.55,1153
2020-09-28,180.87,183.47,180.83,181.32,98043.0,181.675,844
2020-09-29,180.68,182.67,180.68,181.75,101257.0,181.883,867
2020-09-30,182.87,183.81,180.34,182.41,220181.0,182.74,1771
2020-10-01,184.1,185.21,177.12,178.12,148069.0,179.499,1267
2020-10-02,176.52,181.7,176.22,179.92,107782.0,179.729,893
2020-10-05,181.65,183.73,181.65,182.91,68331.0,182.555,525
2020-10-06,182.96,186.91,181.93,183.8,133333.0,184.5,1144
2020-10-07,185.66,189.35,185.55,189.18,153497.0,188.144,1221
2020-10-08,190.02,190.96,189.1,190.0,196934.0,190.046,1341
2020-10-09,190.47,191.36,188.91,190.41,102911.0,190.488,631
2020-10-12,190.76,190.76,184.94,189.18,297658.0,187.725,2558
2020-10-13,188.27,189.17,184.85,186.2,159262.0,186.268,1336
2020-10-14,185.15,189.32,184.81,188.15,269559.0,187.519,1540
2020-10-15,186.66,189.77,185.43,189.62,214110.0,188.506,1841
2020-10-16,190.54,193.14,190.54,192.73,362792.0,191.847,2769
2020-10-19,193.36,193.8,188.47,189.74,173424.0,190.308,1508
2020-10-20,190.72,194.3,190.67,190.94,175543.0,191.98,1058
2020-10-21,191.14,193.59,190.38,190.45,146177.0,191.596,1129
2020-10-22,190.91,192.34,188.99,189.07,147209.0,189.894,1306
2020-10-23,190.46,191.81,189.02,191.63,177392.0,190.079,1010
2020-10-26,190.16,190.49,186.84,190.08,138656.0,189.126,1174
2020-10-27,189.37,190.11,185.95,186.0,252161.0,187.776,1774
2020-10-28,176.54,180.0,172.29,172.57,756307.0,175.011,4233
2020-10-29,172.73,173.73,167.73,168.73,773772.0,170.028,6169
2020-10-30,169.17,170.41,166.51,170.39,449896.0,168.349,3146
