date,open,high,low,close,volume,average,barCount
2020-07-13,126.32,127.16,124.29,124.52,345559.0,125.314,3017
2020-07-14,124.65,127.41,124.49,127.01,332933.0,126.403,2717
2020-07-15,128.87,130.36,128.33,129.72,350861.0,129.432,3041
2020-07-16,129.42,130.64,128.57,129.61,282853.0,129.49,2518
2020-07-17,130.43,132.31,129.3,130.99,520085.0,131.281,4095
2020-07-20,131.0,131.31,127.41,128.72,820820.0,128.838,4593
2020-07-21,129.25,129.9,127.71,127.94,290076.0,128.76,2456
2020-07-22,128.48,130.0,127.64,128.55,257355.0,128.39,2142
2020-07-23,128.72,130.56,127.2,128.49,525057.0,128.698,3993
2020-07-24,128.64,128.8,125.52,126.82,504774.0,126.73,4364
2020-07-27,127.18,129.16,126.13,128.79,448802.0,128.311,3523
2020-07-28,128.78,129.81,127.48,128.34,552971.0,128.659,4520
2020-07-29,128.82,129.98,128.14,128.24,476584.0,128.861,3833
2020-07-30,126.67,126.91,123.43,124.49,592506.0,124.84,4695
2020-07-31,124.29,126.04,122.41,125.95,646839.0,124.424,5336
2020-08-03,126.22,126.22,124.17,124.54,590475.0,125.156,4510
2020-08-04,123.47,126.8,122.15,125.89,432552.0,125.634,3638
2020-08-05,126.75,128.8,126.33,126.42,444340.0,127.164,3792
2020-08-06,125.98,126.5,125.17,125.38,386706.0,125.772,2972
2020-08-07,125.57,126.96,124.4,126.8,398308.0,125.77,3235
2020-08-10,126.68,130.88,126.6,130.55,721573.0,129.891,5131
2020-08-11,131.6,132.75,125.06,125.29,1434799.0,127.325,10753
2020-08-12,127.05,128.89,126.14,127.0,445271.0,127.433,3701
2020-08-13,125.47,125.71,123.58,123.81,401947.0,124.253,2971
2020-08-14,123.21,124.24,122.55,123.17,283165.0,123.382,2051
2020-08-17,123.62,124.44,122.57,123.29,226868.0,123.515,1593
2020-08-18,123.31,124.61,122.2,122.62,262021.0,122.957,2148
2020-08-19,123.27,123.27,121.69,121.98,226315.0,122.219,1868
2020-08-20,120.94,121.23,119.65,120.69,502215.0,120.538,3192
2020-08-21,120.3,121.1,118.83,120.55,480216.0,120.124,3449
2020-08-24,121.52,122.97,120.9,122.89,220087.0,122.238,1778
2020-08-25,124.18,124.76,122.64,122.88,317806.0,123.141,2396
2020-08-26,124.47,126.12,124.1,124.9,472745.0,125.352,3700
2020-08-27,125.17,125.56,122.64,123.58,304306.0,123.939,2260
2020-08-28,123.87,125.09,122.23,124.47,227104.0,124.082,1782
2020-08-31,124.17,125.52,123.14,123.79,351666.0,124.055,2954
2020-09-01,123.24,124.75,121.5,124.74,443011.0,123.075,3333
2020-09-02,125.25,126.54,124.36,125.96,696810.0,125.364,5651
2020-09-03,125.18,126.32,122.43,123.88,503560.0,123.901,4026
2020-09-04,124.66,125.87,122.45,123.12,450490.0,123.497,3769
2020-09-08,121.7,123.41,120.27,121.63,484959.0,121.913,3702
