date,open,high,low,close,volume,average,barCount
2020-07-13,309.0,311.23,296.98,297.64,595586.0,303.279,4885
2020-07-14,294.7,294.71,280.99,285.37,1884042.0,285.672,15164
2020-07-15,288.22,290.88,284.77,289.97,874761.0,288.199,7613
2020-07-16,287.93,288.41,281.19,285.7,681526.0,283.839,5227
2020-07-17,287.93,290.42,284.59,289.27,489104.0,288.309,3877
2020-07-20,289.5,300.41,289.01,298.72,543488.0,296.275,4641
2020-07-21,299.42,300.71,296.85,297.88,489485.0,298.584,4196
2020-07-22,300.16,300.16,294.22,296.44,703842.0,295.971,5791
2020-07-23,295.94,298.88,290.2,291.55,708316.0,294.067,6124
2020-07-24,290.45,291.11,286.35,288.68,677871.0,288.695,5802
2020-07-27,290.47,297.43,290.46,296.14,631355.0,294.677,5421
2020-07-28,294.13,300.67,292.21,296.8,502404.0,297.676,4378
2020-07-29,298.87,305.22,298.02,302.18,545717.0,302.452,4737
2020-07-30,297.32,305.05,295.05,303.94,517341.0,301.173,4546
2020-07-31,304.77,306.49,298.87,306.37,403708.0,302.306,3322
2020-08-03,309.77,313.45,308.97,311.7,650087.0,311.342,5640
2020-08-04,310.68,312.38,307.24,310.64,532031.0,309.832,4462
2020-08-05,311.26,312.72,308.64,310.95,412048.0,311.124,3529
2020-08-06,310.47,312.42,307.86,312.23,316559.0,310.629,2618
2020-08-07,311.39,312.43,306.22,309.43,340091.0,309.532,2802
2020-08-10,308.1,308.75,301.01,304.18,252492.0,303.837,2190
2020-08-11,303.63,305.15,298.47,299.2,359517.0,301.692,3220
2020-08-12,299.93,305.6,299.88,304.75,381555.0,303.557,3022
2020-08-13,305.25,310.71,305.25,306.71,327404.0,308.071,2782
2020-08-14,307.55,308.74,304.82,305.54,298514.0,306.314,1951
2020-08-17,307.84,310.02,306.83,308.01,320745.0,308.387,2919
2020-08-18,310.0,311.0,306.58,308.9,372540.0,309.075,2913
2020-08-19,308.55,313.95,305.86,310.55,523958.0,310.97,4411
2020-08-20,310.0,320.66,309.94,320.06,516948.0,317.697,4404
2020-08-21,319.86,322.6,318.4,322.23,650901.0,320.923,4504
2020-08-24,324.85,334.15,324.63,333.12,1398533.0,330.332,9252
2020-08-25,332.5,337.37,329.95,336.42,1041757.0,334.763,6833
2020-08-26,356.86,360.0,338.07,342.34,2109119.0,344.715,14638
2020-08-27,341.84,349.51,339.06,345.0,1209935.0,345.207,8397
2020-08-28,346.67,347.38,343.84,346.11,642399.0,345.59,5241
2020-08-31,344.46,346.24,342.1,345.39,466113.0,344.653,3817
2020-09-01,345.31,349.33,343.56,347.18,558860.0,346.433,4395
2020-09-02,348.69,355.67,347.47,354.18,785107.0,352.635,6210
2020-09-03,353.11,353.11,336.66,339.63,701810.0,341.192,6103
2020-09-04,337.76,340.53,324.61,333.11,558968.0,332.337,4844
2020-09-08,322.5,329.36,319.64,320.82,834883.0,323.709,7439
2020-09-09,325.71,331.31,319.73,328.21,588139.0,326.532,4820
2020-09-10,329.58,332.66,317.07,320.39,636831.0,324.747,5549
2020-09-11,323.82,325.35,311.41,315.0,445200.0,317.157,3726
2020-09-14,320.17,321.25,315.77,318.31,382572.0,319.033,3161
2020-09-15,321.32,324.15,319.38,322.47,655067.0,321.472,4579
2020-09-16,324.63,326.23,312.61,313.38,1003338.0,319.535,5890
2020-09-17,304.18,308.4,301.34,307.23,1046682.0,305.018,7567
2020-09-18,307.7,312.95,296.77,300.13,1173760.0,303.476,7121
2020-09-21,296.29,308.02,295.37,307.7,910187.0,302.896,7799
2020-09-22,309.81,318.12,306.69,317.28,1071574.0,313.449,8004
2020-09-23,315.4,315.98,303.05,304.93,756810.0,308.748,6178
2020-09-24,304.67,312.63,301.94,308.59,751870.0,308.449,5958
2020-09-25,309.9,318.79,307.77,318.5,640325.0,315.313,5252
2020-09-28,325.01,326.13,322.26,325.55,567688.0,324.823,4916
2020-09-29,325.54,329.22,323.05,323.64,573514.0,325.371,4628
2020-09-30,323.35,329.14,319.67,326.21,844575.0,324.944,6484
2020-10-01,330.74,333.98,329.85,332.34,546467.0,331.844,4520
2020-10-02,326.16,329.48,319.91,321.89,420733.0,323.663,3529
2020-10-05,331.12,332.0,327.12,331.36,611072.0,330.43,5104
2020-10-06,331.31,333.87,323.91,325.38,489155.0,329.247,3792
2020-10-07,327.24,336.91,327.08,334.91,595629.0,333.86,5045
2020-10-08,336.17,337.76,333.26,334.99,395297.0,334.962,3078
2020-10-09,336.62,342.2,335.77,341.81,375051.0,340.203,3101
2020-10-12,345.18,353.98,342.21,350.93,679068.0,349.966,5138
2020-10-13,352.35,353.74,347.51,349.59,575004.0,350.535,4342
2020-10-14,351.49,351.49,341.23,345.3,386804.0,345.542,3380
2020-10-15,341.12,343.18,338.0,341.97,412588.0,341.062,3220
2020-10-16,344.56,346.82,340.95,341.15,368383.0,343.328,2651
2020-10-19,342.47,344.23,334.05,335.27,381475.0,338.202,3015
2020-10-20,337.51,338.97,333.45,334.51,486630.0,336.067,3370
2020-10-21,335.69,336.68,331.31,332.79,423381.0,333.906,3232
2020-10-22,333.05,333.91,325.31,331.82,465365.0,330.421,3093
2020-10-23,333.32,334.59,330.0,334.42,320411.0,332.917,2806
2020-10-26,330.91,332.1,323.44,328.09,396420.0,326.587,2920
2020-10-27,330.62,333.4,329.31,330.27,356812.0,331.437,2390
2020-10-28,323.47,325.1,317.96,318.51,391771.0,320.154,3020
2020-10-29,319.34,329.39,319.33,325.61,387026.0,324.851,3160
2020-10-30,321.91,325.17,312.05,314.68,812984.0,316.89,6158
2020-11-02,317.76,321.87,312.17,316.42,567358.0,316.273,4260
2020-11-03,319.91,326.94,317.83,324.73,561870.0,324.501,3890
2020-11-04,339.72,347.91,334.11,343.0,708945.0,342.976,5551
2020-11-05,350.47,352.01,346.21,350.96,559132.0,349.395,4468
2020-11-06,350.61,353.85,344.8,352.26,300523.0,350.425,2188
2020-11-09,365.18,377.15,359.31,360.14,989343.0,367.463,7114
2020-11-10,358.15,358.15,339.35,342.26,857152.0,344.276,6299
2020-11-11,345.65,356.56,342.93,352.4,584041.0,352.496,4394
2020-11-12,352.97,356.64,347.65,349.51,479939.0,351.809,3703
2020-11-13,351.84,358.33,350.43,356.95,633802.0,354.325,4207
2020-11-16,356.54,361.22,353.33,357.06,608164.0,356.993,4620
2020-11-17,354.98,360.0,353.43,358.72,498376.0,357.263,4096
2020-11-18,355.62,360.26,353.76,354.74,424234.0,356.749,3261
2020-11-19,353.2,362.29,349.05,361.44,758272.0,358.688,6115
2020-11-20,359.16,359.99,347.51,347.69,1460266.0,350.432,10643
2020-11-23,348.48,350.32,337.72,343.33,827795.0,342.73,6325
2020-11-24,344.14,347.73,342.52,345.2,513611.0,344.85,4151
2020-11-25,346.42,352.47,345.01,350.47,653304.0,350.178,4619
2020-11-27,353.77,358.04,351.83,354.24,259187.0,354.699,2082
2020-11-30,352.19,356.44,348.13,352.02,470510.0,350.972,4017
2020-12-01,354.31,359.29,352.29,356.82,457937.0,356.139,3708
2020-12-02,355.13,356.15,350.05,355.49,360771.0,354.127,2541
2020-12-03,355.19,366.68,353.47,363.7,795733.0,363.155,6326
2020-12-04,365.32,371.94,364.07,368.6,730074.0,368.979,6366
2020-12-07,367.82,373.98,367.28,372.19,1073160.0,371.462,7914
2020-12-08,372.4,380.5,370.52,372.59,1013784.0,375.844,8136
2020-12-09,368.91,370.14,361.11,364.18,1506892.0,366.946,9864
2020-12-10,361.12,364.4,357.45,362.5,811374.0,362.289,6631
2020-12-11,362.12,364.65,358.0,364.32,540224.0,361.52,4437
2020-12-14,364.78,369.31,363.6,365.51,749400.0,366.389,5655
2020-12-15,365.86,367.76,360.15,360.43,847901.0,362.621,6363
2020-12-16,360.48,370.36,360.03,369.26,935271.0,366.703,6825
2020-12-17,371.93,380.99,370.34,380.32,1100969.0,377.819,8864
2020-12-18,377.01,380.8,375.53,380.11,1042694.0,377.989,6253
2020-12-21,374.72,377.82,368.42,375.93,478844.0,373.55,3894
2020-12-22,375.48,380.14,373.58,379.97,487154.0,378.284,4169
2020-12-23,379.25,383.94,376.71,376.92,486928.0,379.885,3822
2020-12-24,377.51,381.79,377.43,381.16,207542.0,379.378,1610
2020-12-28,387.0,387.94,378.04,381.12,469814.0,381.456,3627
2020-12-29,383.2,384.82,377.32,378.33,318091.0,379.915,2665
2020-12-30,380.51,381.98,375.34,375.55,371875.0,377.485,2988
2020-12-31,375.02,380.48,374.95,379.85,413489.0,378.144,3037
2021-01-04,379.32,384.62,366.17,371.7,796105.0,374.07,6102
2021-01-05,370.44,374.0,367.31,368.87,617282.0,370.071,4629
2021-01-06,359.8,364.01,357.69,361.0,685118.0,361.207,4866
2021-01-07,363.24,370.23,360.33,368.63,617824.0,366.807,4882
2021-01-08,369.74,375.03,368.59,374.46,645816.0,372.438,4720
2021-01-11,376.13,376.76,366.38,372.34,880686.0,372.35,6262
2021-01-12,371.83,372.63,362.35,365.67,480129.0,366.45,3827
2021-01-13,364.97,367.33,360.5,364.96,492055.0,363.969,3960
2021-01-14,366.04,369.63,364.97,365.51,595638.0,367.471,4838
2021-01-15,364.23,373.84,363.03,371.01,908720.0,369.379,6770
2021-01-19,375.7,386.38,374.36,384.95,858256.0,381.631,6440
2021-01-20,388.43,398.12,388.43,389.46,1288467.0,393.491,9498
2021-01-21,386.21,388.42,377.81,381.75,1029317.0,382.022,7380
2021-01-22,384.4,384.4,374.64,374.85,582689.0,377.138,4650
2021-01-25,378.0,378.84,364.31,374.43,865239.0,370.179,5882
2021-01-26,374.03,376.14,370.28,374.8,329305.0,374.246,2644
2021-01-27,370.0,375.0,359.33,363.11,1086254.0,367.387,8912
2021-01-28,366.53,376.67,365.71,369.95,727698.0,371.853,5985
2021-01-29,366.36,369.89,359.69,361.23,717420.0,363.814,6258
2021-02-01,364.49,378.45,364.49,373.58,677540.0,374.409,5655
2021-02-02,376.33,385.47,375.53,384.11,572398.0,382.321,4644
2021-02-03,382.44,383.68,377.0,380.15,418386.0,380.751,3214
2021-02-04,381.94,392.95,380.0,392.73,905754.0,388.22,7317
2021-02-05,391.97,396.47,387.72,389.38,430789.0,390.675,3470
2021-02-08,393.48,395.15,386.88,389.74,415411.0,390.242,3282
2021-02-09,387.03,392.86,384.64,391.55,413707.0,389.982,3463
2021-02-10,395.84,399.04,390.59,397.29,551324.0,395.944,4468
2021-02-11,399.88,409.3,396.59,408.82,746839.0,406.021,5774
2021-02-12,410.0,414.47,407.12,413.99,607617.0,411.392,4886
2021-02-16,417.54,423.74,417.27,422.26,787939.0,421.086,5881
2021-02-17,420.01,420.41,412.05,415.81,655352.0,416.189,4927
2021-02-18,414.38,420.0,408.43,415.39,567597.0,413.937,4849
