date,open,high,low,close,volume,average,barCount
2020-07-13,17.2,17.36,16.93,16.98,2066457.0,17.147,13210
2020-07-14,16.93,17.39,16.74,17.35,1756058.0,17.235,12053
2020-07-15,17.69,18.14,17.51,18.05,2111230.0,17.931,13171
2020-07-16,17.95,18.44,17.85,18.2,2778140.0,18.229,16127
2020-07-17,18.24,18.36,17.9,18.0,2423974.0,18.089,13933
2020-07-20,17.85,17.9,17.15,17.45,3294886.0,17.38,17056
2020-07-21,17.51,18.02,17.51,17.68,1610514.0,17.773,10491
2020-07-22,17.63,18.07,17.58,18.0,1655223.0,17.926,9436
2020-07-23,18.75,18.91,18.33,18.46,5395651.0,18.627,27217
2020-07-24,18.67,18.91,18.33,18.55,3656071.0,18.575,22330
2020-07-27,18.33,18.66,18.29,18.56,5105751.0,18.547,21874
2020-07-28,17.78,18.59,17.78,18.41,4441099.0,18.323,24350
2020-07-29,18.49,19.4,18.22,18.91,7438840.0,18.791,34396
2020-07-30,18.7,18.7,18.33,18.41,2854314.0,18.493,19165
2020-07-31,18.32,18.32,17.78,18.05,3379742.0,17.964,20499
2020-08-03,18.11,18.57,17.9,18.42,2265208.0,18.331,14293
2020-08-04,18.37,18.77,18.29,18.51,1970233.0,18.542,12703
2020-08-05,18.71,18.9,18.42,18.69,2719519.0,18.709,13952
2020-08-06,18.55,18.89,18.51,18.53,3167826.0,18.618,15054
2020-08-07,18.37,18.49,18.1,18.41,4782646.0,18.279,18685
2020-08-10,18.5,19.27,18.5,19.12,3337411.0,19.076,17368
2020-08-11,19.42,19.94,19.27,19.3,3242192.0,19.585,19572
2020-08-12,19.44,19.59,18.96,19.0,2663378.0,19.127,15057
2020-08-13,18.8,19.0,18.66,18.79,2781164.0,18.792,16817
2020-08-14,18.74,19.13,18.65,18.86,1893527.0,18.931,11615
2020-08-17,18.89,18.93,18.47,18.58,2443742.0,18.6,12890
2020-08-18,18.54,18.77,18.35,18.44,2219978.0,18.469,12295
2020-08-19,18.51,18.69,18.26,18.34,2165476.0,18.444,13687
2020-08-20,18.14,18.24,17.79,17.8,2457388.0,17.939,12773
2020-08-21,17.67,17.72,17.41,17.48,2526855.0,17.553,13034
2020-08-24,17.57,18.33,17.5,18.33,2546142.0,18.163,14947
2020-08-25,18.46,18.46,17.96,18.13,1491415.0,18.119,9202
2020-08-26,18.04,18.22,17.84,17.91,1621828.0,17.961,9027
2020-08-27,18.05,18.6,18.05,18.4,3121060.0,18.436,18743
2020-08-28,18.42,18.56,18.16,18.54,1517913.0,18.429,10070
2020-08-31,18.32,18.43,17.73,17.76,2722654.0,17.913,13805
2020-09-01,17.67,17.97,17.46,17.74,1909277.0,17.759,10633
2020-09-02,17.77,18.19,17.74,17.95,3505460.0,18.025,15893
2020-09-03,18.21,18.54,17.66,17.86,4883816.0,17.942,20765
2020-09-04,18.2,18.24,17.72,17.84,2169213.0,17.942,13280
2020-09-08,17.71,17.83,17.38,17.47,2538247.0,17.546,15605
2020-09-09,17.61,17.64,17.18,17.2,3947501.0,17.301,21830
2020-09-10,17.25,17.47,16.9,16.94,2872449.0,17.077,16852
2020-09-11,17.0,17.36,16.87,17.3,2635120.0,17.179,15241
2020-09-14,17.48,18.27,17.44,18.16,3425869.0,18.052,19018
2020-09-15,18.13,18.29,17.75,18.05,2086632.0,18.082,11260
