date,open,high,low,close,volume,average,barCount
2020-07-13,26.88,27.06,26.55,26.86,2193607.0,26.876,12635
2020-07-14,26.86,27.39,26.71,27.31,1576134.0,27.176,9490
2020-07-15,27.71,27.75,27.34,27.6,1989341.0,27.554,11377
2020-07-16,27.4,27.72,27.29,27.35,1184465.0,27.476,7291
2020-07-17,27.5,27.58,27.1,27.27,1872771.0,27.291,10925
2020-07-20,27.06,27.2,26.7,26.88,1027690.0,26.951,5936
2020-07-21,27.09,27.31,26.95,27.27,1746315.0,27.211,10420
2020-07-22,27.17,27.86,27.09,27.5,2783450.0,27.571,12141
2020-07-23,27.37,27.75,27.2,27.51,1898931.0,27.536,12282
2020-07-24,27.51,27.68,27.2,27.24,906130.0,27.338,5442
2020-07-27,27.25,27.75,27.1,27.75,1265717.0,27.525,7174
2020-07-28,27.7,28.08,27.67,27.87,2576436.0,27.916,15976
2020-07-29,28.12,28.32,27.79,28.26,1721261.0,28.094,9511
2020-07-30,27.85,28.27,27.79,28.25,1630640.0,28.076,10462
2020-07-31,28.34,28.44,27.93,28.19,1629395.0,28.142,10745
2020-08-03,28.05,28.15,27.84,28.05,1691269.0,27.961,10000
2020-08-04,27.97,28.94,27.97,28.86,2069042.0,28.7,12200
2020-08-05,29.0,29.15,28.62,28.98,2263653.0,28.978,14195
2020-08-06,29.76,29.8,28.8,29.09,4819878.0,29.459,22862
2020-08-07,29.1,29.69,29.0,29.45,2327515.0,29.281,12074
2020-08-10,29.47,29.87,29.44,29.75,1797194.0,29.73,9096
2020-08-11,30.0,30.08,29.5,29.56,2108861.0,29.814,11747
2020-08-12,29.71,29.92,29.45,29.82,1204691.0,29.766,7164
2020-08-13,29.74,30.15,29.26,29.36,2209170.0,29.557,11713
2020-08-14,29.27,29.85,29.13,29.74,1551953.0,29.68,10295
2020-08-17,29.79,30.41,29.55,30.33,2207650.0,30.138,11657
2020-08-18,30.31,30.38,29.86,30.0,1534332.0,30.045,8155
2020-08-19,30.0,30.12,29.63,30.0,1131395.0,29.964,6537
2020-08-20,29.97,30.23,29.9,30.1,1187714.0,30.1,6339
2020-08-21,30.19,30.3,30.09,30.21,1251576.0,30.213,5983
2020-08-24,30.19,30.34,29.67,30.34,1661621.0,29.989,8419
2020-08-25,30.45,30.59,29.98,30.38,1113484.0,30.226,6673
2020-08-26,30.23,30.3,29.78,30.26,1211902.0,30.023,6648
2020-08-27,30.33,30.63,30.23,30.45,1711405.0,30.421,9637
2020-08-28,30.46,30.47,30.0,30.34,1570454.0,30.143,8479
2020-08-31,30.34,30.38,30.02,30.09,1467662.0,30.171,9176
2020-09-01,30.03,30.14,29.72,29.94,1244665.0,29.958,6672
2020-09-02,29.93,30.54,29.74,30.5,1868173.0,30.332,9565
2020-09-03,30.58,30.68,30.01,30.29,1677103.0,30.268,10465
2020-09-04,30.49,30.64,29.86,30.16,1523340.0,30.228,9504
2020-09-08,30.03,30.39,29.58,30.1,1767832.0,30.009,10304
2020-09-09,30.3,30.79,30.03,30.07,2266049.0,30.441,13911
2020-09-10,30.12,30.21,29.78,29.8,2554552.0,29.994,12859
2020-09-11,29.93,30.01,29.52,29.82,1928654.0,29.797,10108
2020-09-14,29.5,29.57,28.88,28.96,1979206.0,29.192,11178
2020-09-15,29.0,29.33,28.76,29.07,1331934.0,29.107,8310
2020-09-16,29.05,29.56,28.91,29.32,1903073.0,29.261,9957
2020-09-17,29.11,29.25,28.72,28.86,1687979.0,28.917,9451
2020-09-18,28.56,28.83,28.3,28.33,1918881.0,28.542,9929
2020-09-21,27.89,28.05,26.99,27.27,2749890.0,27.229,13910
2020-09-22,27.27,27.6,27.11,27.19,2090288.0,27.292,13260
2020-09-23,27.06,27.2,26.04,26.06,3341076.0,26.456,16960
2020-09-24,26.05,26.73,25.97,26.5,2522304.0,26.464,14644
2020-09-25,26.43,26.64,26.3,26.53,2207537.0,26.486,12320
2020-09-28,27.02,27.05,26.52,26.6,1743378.0,26.759,10410
2020-09-29,26.53,26.82,26.35,26.76,1205697.0,26.631,8072
2020-09-30,26.96,27.28,26.49,26.79,1469877.0,26.899,9117
2020-10-01,26.84,27.06,26.55,27.01,1411375.0,26.841,9209
2020-10-02,26.68,27.39,26.57,27.34,1894546.0,27.084,11472
2020-10-05,27.48,27.55,26.99,27.35,1340358.0,27.228,7972
2020-10-06,27.46,27.63,26.97,27.11,1603992.0,27.309,10370
2020-10-07,27.11,27.37,26.94,27.1,1179693.0,27.075,7420
2020-10-08,27.2,28.31,27.13,28.24,2303660.0,27.961,12134
2020-10-09,28.51,28.69,28.06,28.25,1884234.0,28.265,10313
2020-10-12,28.24,28.38,28.03,28.35,1174527.0,28.245,6845
2020-10-13,28.0,28.03,27.32,27.63,1784386.0,27.595,10776
2020-10-14,27.73,27.81,27.33,27.51,1097791.0,27.539,7172
2020-10-15,27.4,27.98,27.34,27.65,1039653.0,27.659,6001
2020-10-16,27.58,27.75,27.41,27.51,898350.0,27.586,4951
2020-10-19,27.75,27.75,27.25,27.33,1292861.0,27.456,7845
2020-10-20,27.5,27.76,27.44,27.49,926420.0,27.605,5924
2020-10-21,27.31,27.49,27.19,27.38,861431.0,27.371,5865
2020-10-22,27.46,27.68,27.31,27.65,826089.0,27.548,5535
2020-10-23,27.81,28.0,27.5,27.85,1081471.0,27.75,7150
2020-10-26,27.68,27.7,27.21,27.3,1810275.0,27.325,11353
