date,open,high,low,close,volume,average,barCount
2020-07-13,28.55,29.31,28.4,28.63,2701013.0,28.834,17649
2020-07-14,28.68,29.76,28.43,29.73,2406552.0,29.386,14006
2020-07-15,30.17,31.05,30.17,30.96,2592618.0,30.765,15517
2020-07-16,30.89,31.32,30.45,30.68,2075642.0,30.939,12795
2020-07-17,30.81,31.14,30.41,30.65,2390999.0,30.656,9670
2020-07-20,30.61,31.38,30.41,31.3,2552311.0,31.148,15440
2020-07-21,31.5,32.0,31.4,31.65,2541770.0,31.714,11836
2020-07-22,31.72,32.15,31.51,31.9,1294061.0,31.971,7407
2020-07-23,31.8,32.11,31.41,31.63,1385379.0,31.649,9615
2020-07-24,31.68,31.79,31.28,31.6,1698462.0,31.5,7612
2020-07-27,31.78,31.96,31.42,31.82,1336948.0,31.744,7952
2020-07-28,31.87,31.97,31.18,31.35,2292955.0,31.449,10427
2020-07-29,31.63,32.16,31.4,32.16,1298118.0,31.902,7949
2020-07-30,31.67,31.91,31.24,31.81,1396102.0,31.673,8300
2020-07-31,31.66,32.08,31.01,31.59,1941268.0,31.478,10812
2020-08-03,31.84,32.66,31.65,32.63,2131220.0,32.366,11853
2020-08-04,32.94,33.51,32.09,32.65,4111411.0,32.684,22202
2020-08-05,32.94,33.6,32.78,32.9,1572670.0,33.137,11204
2020-08-06,32.84,33.19,32.54,33.04,1358720.0,32.896,8011
2020-08-07,32.94,33.92,32.76,33.9,2228211.0,33.339,9777
2020-08-10,33.96,35.04,33.81,35.03,2691088.0,34.647,15408
2020-08-11,35.36,36.25,35.35,35.86,2700056.0,35.894,16028
2020-08-12,36.07,36.19,35.38,35.61,1356767.0,35.674,9691
2020-08-13,35.37,35.46,35.04,35.12,1235771.0,35.217,7770
2020-08-14,34.85,35.6,34.52,35.4,1121201.0,35.335,7094
2020-08-17,35.45,35.54,34.68,34.81,1180172.0,34.935,7828
2020-08-18,34.73,35.01,34.6,34.62,1013339.0,34.782,5946
2020-08-19,34.68,34.98,34.3,34.43,905671.0,34.594,5996
2020-08-20,34.0,34.7,33.83,34.63,1096681.0,34.519,7926
2020-08-21,34.6,34.92,34.43,34.71,835690.0,34.679,5435
2020-08-24,34.94,35.45,34.71,35.44,844822.0,35.22,5744
2020-08-25,35.56,35.64,34.94,35.24,833224.0,35.184,6083
2020-08-26,35.17,35.39,34.89,35.16,731817.0,35.137,5480
2020-08-27,35.39,35.51,35.08,35.29,965530.0,35.297,6998
2020-08-28,35.39,35.84,35.2,35.76,1664140.0,35.635,8787
2020-08-31,35.87,35.87,35.06,35.06,985028.0,35.309,6583
2020-09-01,34.92,36.23,34.6,36.21,1412628.0,35.827,9359
2020-09-02,36.26,36.36,35.68,36.1,1660754.0,35.993,10543
2020-09-03,36.1,36.34,35.03,35.39,1540736.0,35.502,11542
2020-09-04,35.89,36.2,35.19,35.31,1557048.0,35.55,10741
2020-09-08,35.07,35.11,34.05,34.47,2221954.0,34.58,15775
2020-09-09,34.86,35.67,34.66,35.42,1377926.0,35.341,10837
2020-09-10,35.42,35.77,34.96,35.03,1490813.0,35.344,9782
2020-09-11,35.23,36.11,35.03,35.98,1548492.0,35.794,9625
2020-09-14,36.01,36.39,35.82,36.32,1271188.0,36.147,9025
2020-09-15,36.37,36.6,35.99,36.33,1437874.0,36.41,8091
2020-09-16,36.56,37.39,36.46,36.93,2088441.0,37.016,11914
2020-09-17,36.5,37.63,36.1,37.19,2010711.0,37.268,13581
2020-09-18,37.06,37.34,35.82,35.9,2691824.0,36.467,17353
2020-09-21,35.14,35.44,34.02,34.66,1655618.0,34.51,11406
2020-09-22,34.53,35.21,34.48,35.1,1919819.0,34.973,12640
2020-09-23,35.23,35.79,35.01,35.03,1487629.0,35.368,10310
2020-09-24,35.19,35.97,34.2,35.37,1330398.0,35.448,9680
2020-09-25,35.04,35.62,34.84,35.37,1208641.0,35.332,8093
2020-09-28,36.03,36.77,35.88,36.05,1691424.0,36.37,9344
2020-09-29,36.18,36.55,35.67,35.87,866630.0,35.964,5679
2020-09-30,35.91,36.43,35.21,35.6,1240847.0,35.775,8511
2020-10-01,35.89,36.09,35.13,35.57,906639.0,35.549,6423
2020-10-02,34.99,36.58,34.86,36.08,1056640.0,36.14,5697
2020-10-05,36.59,37.11,36.45,36.91,1535831.0,36.896,10449
2020-10-06,37.01,37.43,36.38,36.45,1674587.0,36.88,11319
2020-10-07,36.92,37.15,36.44,36.66,2367872.0,36.763,13765
2020-10-08,36.9,37.31,36.49,37.23,1504833.0,36.985,9289
2020-10-09,37.58,37.78,37.1,37.13,1220626.0,37.378,8367
2020-10-12,37.3,37.41,36.9,37.21,1086661.0,37.208,6534
2020-10-13,37.09,37.64,37.06,37.53,1680683.0,37.451,10465
