date,open,high,low,close,volume,average,barCount
2020-07-13,120.18,122.01,119.16,119.51,302081.0,120.376,2726
2020-07-14,119.12,120.06,117.37,119.89,380569.0,118.925,3214
2020-07-15,121.94,126.86,121.94,126.74,290183.0,125.549,2414
2020-07-16,126.13,126.68,123.94,124.51,168047.0,125.025,1427
2020-07-17,125.02,125.02,122.55,123.09,290240.0,123.34,2302
2020-07-20,122.64,123.68,121.79,123.37,201096.0,122.856,1348
2020-07-21,124.63,125.7,122.98,123.38,118437.0,123.981,1011
2020-07-22,123.0,124.77,123.0,124.67,102890.0,124.152,901
2020-07-23,124.2,127.36,124.2,125.87,375235.0,126.053,3175
2020-07-24,125.77,126.06,123.78,124.69,181601.0,125.009,1252
2020-07-27,124.6,125.99,123.45,125.37,163377.0,125.055,1425
2020-07-28,124.75,125.74,123.65,123.85,118366.0,124.348,896
2020-07-29,124.24,127.02,124.23,126.74,129482.0,126.012,1111
2020-07-30,125.11,125.78,123.23,125.6,129547.0,124.906,1171
2020-07-31,125.51,126.19,123.78,124.64,360416.0,124.837,2707
2020-08-03,125.77,126.74,123.87,125.66,608221.0,125.452,3826
2020-08-04,130.88,132.48,125.2,126.3,818265.0,127.459,4905
2020-08-05,127.79,131.24,127.59,129.39,263602.0,129.521,2163
2020-08-06,129.4,131.66,128.81,130.66,185898.0,130.187,1497
2020-08-07,129.5,131.6,128.74,131.54,291260.0,130.622,2205
2020-08-10,131.45,132.72,131.04,132.63,184405.0,132.066,1411
2020-08-11,133.1,134.4,131.24,131.58,260240.0,132.755,1944
2020-08-12,132.19,132.63,130.46,130.79,228279.0,131.178,1741
2020-08-13,130.3,132.66,130.3,131.13,110888.0,131.561,822
2020-08-14,130.21,131.01,128.94,129.49,75392.0,129.787,634
2020-08-17,129.73,129.95,127.81,128.02,194587.0,128.58,1702
2020-08-18,128.09,128.41,127.18,127.64,132630.0,127.799,1090
2020-08-19,128.08,128.22,126.62,127.62,147467.0,127.466,1282
2020-08-20,127.51,128.94,127.07,127.76,124845.0,128.059,1034
2020-08-21,127.64,128.3,126.65,128.14,136289.0,127.729,1031
2020-08-24,129.01,132.4,128.72,131.65,239850.0,131.224,2086
2020-08-25,132.5,134.26,130.5,132.06,222768.0,131.974,1742
2020-08-26,132.1,132.1,129.96,131.51,111798.0,131.273,899
2020-08-27,131.68,132.79,129.8,130.72,98409.0,131.184,803
2020-08-28,130.8,131.54,129.61,131.48,186555.0,130.551,1035
2020-08-31,131.48,131.48,129.49,129.82,97108.0,130.177,763
2020-09-01,129.36,130.31,128.66,130.06,114299.0,129.578,975
2020-09-02,130.45,134.33,130.12,134.0,110758.0,133.127,918
2020-09-03,133.5,133.93,130.49,131.58,263944.0,131.676,2140
2020-09-04,132.3,132.88,128.94,131.18,234723.0,130.912,1992
2020-09-08,129.06,129.98,127.72,128.6,146691.0,128.8,1143
2020-09-09,129.59,132.7,128.52,131.28,158393.0,131.364,1366
2020-09-10,131.31,132.56,127.8,127.92,135497.0,129.509,1215
2020-09-11,128.27,128.27,125.57,126.64,104237.0,126.852,882
2020-09-14,127.84,132.65,127.84,132.56,162236.0,131.781,1371
2020-09-15,132.98,134.58,132.47,134.19,180488.0,133.893,1402
2020-09-16,135.0,136.09,132.28,132.97,209926.0,133.971,1659
2020-09-17,131.95,133.99,130.56,132.32,134636.0,132.291,984
2020-09-18,132.24,133.47,129.9,131.13,235717.0,131.757,1510
2020-09-21,128.83,129.56,125.12,126.41,182680.0,126.15,1226
2020-09-22,126.3,127.14,123.72,126.71,218777.0,125.384,1708
2020-09-23,126.59,128.18,123.9,124.0,157979.0,125.649,1263
2020-09-24,123.42,124.59,121.8,123.06,184487.0,123.175,1224
2020-09-25,122.51,125.74,121.16,125.65,202285.0,123.94,1741
2020-09-28,127.52,127.96,126.33,126.53,178039.0,126.944,1259
2020-09-29,126.39,127.92,125.11,125.23,126645.0,125.727,1126
2020-09-30,125.92,127.22,124.59,124.95,159282.0,125.684,1381
2020-10-01,125.84,127.28,124.63,125.72,144330.0,125.508,1296
2020-10-02,123.82,126.44,123.26,125.34,137545.0,125.301,1229
2020-10-05,126.74,126.95,125.33,125.98,126088.0,125.933,1090
2020-10-06,126.43,127.97,123.66,124.21,223789.0,126.156,1567
2020-10-07,124.5,126.0,123.86,125.62,293604.0,124.981,1642
2020-10-08,126.92,128.6,126.45,126.83,373163.0,127.188,2220
2020-10-09,128.12,128.57,126.0,126.4,345510.0,127.008,1941
2020-10-12,127.2,127.89,125.06,126.81,221813.0,126.659,1671
2020-10-13,126.13,128.82,125.52,128.0,719941.0,127.39,3061
2020-10-14,128.0,129.88,124.59,124.77,313789.0,127.084,1995
