date,open,high,low,close,volume,average,barCount
2020-07-13,10.61,10.8,10.45,10.62,4521555.0,10.645,22011
2020-07-14,10.57,10.73,10.29,10.49,4432065.0,10.499,22817
2020-07-15,10.73,10.97,10.56,10.93,5808202.0,10.801,26885
2020-07-16,10.77,11.08,10.65,10.73,4282171.0,10.835,19751
2020-07-17,10.8,10.86,10.48,10.49,4351150.0,10.6,18990
2020-07-20,10.42,10.47,10.17,10.29,4278832.0,10.294,16745
2020-07-21,10.38,10.77,10.38,10.74,4256742.0,10.637,19295
2020-07-22,10.64,10.85,10.53,10.53,3510818.0,10.621,16223
2020-07-23,10.46,10.8,10.38,10.68,5134959.0,10.618,22568
2020-07-24,10.69,10.88,10.37,10.44,3515714.0,10.596,15866
2020-07-27,10.34,10.81,10.17,10.71,6128473.0,10.634,25563
2020-07-28,10.56,10.63,10.06,10.37,6778642.0,10.345,29001
2020-07-29,10.41,10.62,10.21,10.6,4724123.0,10.471,20816
2020-07-30,10.32,10.39,10.01,10.1,3862078.0,10.151,14837
2020-07-31,10.09,10.13,9.86,10.04,5130926.0,9.98,21326
2020-08-03,10.0,10.1,9.86,10.0,3237232.0,9.984,15019
2020-08-04,10.0,10.11,9.72,9.77,3607243.0,9.837,15804
2020-08-05,9.89,10.29,9.82,10.27,3582730.0,10.125,15362
2020-08-06,10.18,10.39,10.15,10.32,3475854.0,10.312,18176
2020-08-07,10.25,10.78,10.19,10.78,3606090.0,10.574,15269
2020-08-10,10.86,10.94,10.76,10.79,2830122.0,10.842,13299
2020-08-11,11.08,11.32,10.91,10.94,3871254.0,11.125,18046
2020-08-12,11.5,11.78,11.22,11.39,7329251.0,11.426,32214
2020-08-13,10.99,11.12,10.67,10.7,4837384.0,10.842,22039
2020-08-14,10.55,10.79,10.43,10.68,3728993.0,10.639,17102
2020-08-17,10.62,10.81,10.53,10.57,2363840.0,10.628,10425
2020-08-18,10.55,10.69,10.25,10.28,3633623.0,10.355,17921
2020-08-19,10.31,10.59,10.28,10.33,1796327.0,10.385,9426
2020-08-20,10.2,10.23,10.0,10.02,2227427.0,10.066,10501
2020-08-21,10.0,10.25,9.94,10.14,2887844.0,10.095,13586
2020-08-24,10.17,10.61,10.1,10.6,3112229.0,10.479,14326
2020-08-25,10.68,10.84,10.57,10.7,4309448.0,10.697,18724
2020-08-26,10.72,10.72,10.47,10.57,3381813.0,10.604,15596
2020-08-27,10.51,10.88,10.49,10.82,3989977.0,10.711,18313
2020-08-28,10.82,10.88,10.57,10.73,2510940.0,10.686,14264
2020-08-31,10.57,10.61,10.18,10.2,4694014.0,10.345,19930
2020-09-01,10.1,10.33,10.02,10.18,4198800.0,10.181,18986
2020-09-02,10.2,10.66,10.1,10.63,4978553.0,10.429,26469
2020-09-03,11.25,11.47,10.86,11.14,9811402.0,11.153,44430
2020-09-04,11.4,11.56,11.1,11.39,9208079.0,11.379,40045
2020-09-08,11.17,11.22,10.69,10.7,6357263.0,10.85,30592
2020-09-09,10.74,10.79,10.52,10.69,4477655.0,10.668,23108
2020-09-10,10.72,10.78,10.24,10.26,6222239.0,10.444,30473
2020-09-11,10.36,10.74,10.35,10.7,7061795.0,10.592,33722
2020-09-14,10.77,10.97,10.61,10.68,4538386.0,10.774,20748
2020-09-15,10.7,10.75,10.48,10.53,3361352.0,10.626,16059
2020-09-16,10.48,11.08,10.48,10.89,4334855.0,10.843,20457
2020-09-17,10.86,11.19,10.67,11.15,5476775.0,11.037,23262
2020-09-18,11.09,11.18,10.97,10.98,4899348.0,11.059,21481
2020-09-21,10.55,10.65,10.07,10.22,6404523.0,10.225,30283
2020-09-22,10.22,10.41,9.93,10.19,4657626.0,10.103,19388
2020-09-23,10.17,10.49,10.15,10.42,12709484.0,10.359,42327
2020-09-24,10.43,10.87,10.08,10.8,19127964.0,10.666,59004
2020-09-25,10.66,10.89,10.42,10.81,6332355.0,10.678,30966
