date,open,high,low,close,volume,average,barCount
2020-07-13,128.66,130.28,125.22,125.65,649599.0,127.895,5267
2020-07-14,126.65,129.03,125.65,128.69,378553.0,127.741,3018
2020-07-15,129.16,131.14,128.0,130.34,614051.0,129.999,4896
2020-07-16,129.98,133.0,129.36,132.55,800991.0,131.957,5530
2020-07-17,137.0,138.77,135.2,136.82,1628199.0,136.859,10311
2020-07-20,135.53,137.4,133.68,134.4,996835.0,135.291,7729
2020-07-21,135.0,136.2,132.07,133.03,534456.0,133.465,4253
2020-07-22,133.08,135.15,131.27,132.16,740618.0,132.411,5149
2020-07-23,131.41,133.5,131.05,131.47,444214.0,132.061,3144
2020-07-24,131.05,132.19,130.2,130.79,604568.0,131.1,4066
2020-07-27,131.1,132.67,129.75,130.35,593389.0,131.293,4496
2020-07-28,130.16,130.95,127.71,127.98,503323.0,128.832,4017
2020-07-29,129.13,131.67,128.86,130.21,500691.0,130.146,4104
2020-07-30,128.6,129.45,127.58,129.04,259356.0,128.681,2329
2020-07-31,128.63,129.61,125.54,129.4,556388.0,127.678,4609
2020-08-03,130.12,132.28,130.1,130.62,442827.0,130.94,3721
2020-08-04,130.57,132.24,129.94,132.17,525164.0,131.313,4205
2020-08-05,132.4,133.6,131.33,131.84,441991.0,131.977,3328
2020-08-06,132.45,134.09,131.03,133.89,354041.0,132.838,2969
2020-08-07,133.11,136.05,133.11,135.95,555656.0,135.266,4095
2020-08-10,136.66,138.06,135.95,136.7,400222.0,137.063,3199
2020-08-11,137.46,139.83,136.86,137.69,453041.0,138.492,3590
2020-08-12,138.53,141.0,136.98,137.31,403255.0,138.704,3386
2020-08-13,136.45,137.98,136.04,136.71,253978.0,137.002,1912
2020-08-14,137.3,138.94,136.73,137.19,400143.0,137.738,2902
2020-08-17,137.68,139.43,137.45,139.42,272382.0,138.579,2285
2020-08-18,139.35,139.62,137.78,138.0,447577.0,138.787,3441
2020-08-19,139.15,139.88,137.85,138.27,364600.0,138.933,3233
2020-08-20,137.26,139.44,136.66,138.72,226694.0,138.939,2035
2020-08-21,138.59,141.65,137.96,141.42,295044.0,140.603,2303
2020-08-24,141.96,142.0,140.43,141.63,402763.0,141.04,3326
2020-08-25,141.36,141.63,140.41,140.94,231618.0,140.926,1918
2020-08-26,140.79,142.28,139.72,142.2,267454.0,141.706,2307
2020-08-27,142.5,144.35,141.7,142.8,332701.0,143.129,2613
