date,open,high,low,close,volume,average,barCount
2020-07-13,181.56,182.82,177.89,178.38,497659.0,181.288,4174
2020-07-14,178.54,181.0,176.0,180.06,214382.0,179.241,1565
2020-07-15,181.61,182.29,178.79,180.13,360761.0,179.878,2821
2020-07-16,179.67,180.0,177.67,178.82,284986.0,178.567,2115
2020-07-17,179.22,182.11,178.94,181.58,230334.0,181.182,1882
2020-07-20,179.36,183.2,179.36,182.85,398481.0,182.326,3520
2020-07-21,184.64,184.97,181.94,183.28,120488.0,183.636,1066
2020-07-22,183.14,184.58,181.47,184.06,138043.0,183.189,1154
2020-07-23,184.49,186.85,181.15,181.77,121686.0,183.551,1015
2020-07-24,181.24,181.56,178.89,179.59,80250.0,179.877,629
2020-07-27,179.4,181.23,179.26,180.7,109640.0,180.391,968
2020-07-28,179.63,180.26,175.95,176.54,240495.0,178.388,1765
2020-07-29,177.32,181.21,176.01,180.75,176030.0,179.942,1607
2020-07-30,178.74,180.65,176.9,178.49,236223.0,178.832,2033
2020-07-31,179.27,179.27,176.18,178.3,291885.0,177.977,2471
2020-08-03,179.7,183.06,178.25,182.0,320455.0,180.868,2674
2020-08-04,182.96,182.96,178.71,179.59,267666.0,179.712,2109
2020-08-05,180.56,181.46,179.37,179.7,273382.0,180.354,2313
2020-08-06,179.85,182.64,179.73,182.43,207287.0,181.251,1741
2020-08-07,181.55,185.4,181.3,184.0,442084.0,184.067,3546
2020-08-10,183.08,185.46,182.22,183.78,369200.0,183.854,2696
2020-08-11,183.81,184.91,180.99,182.88,205795.0,183.402,1765
2020-08-12,184.55,188.07,182.77,187.86,177059.0,186.653,1549
2020-08-13,187.57,193.07,187.57,191.98,341268.0,191.586,2812
2020-08-14,192.27,194.99,191.62,194.36,412904.0,194.145,3196
2020-08-17,195.0,199.68,195.0,199.13,246971.0,198.162,1963
2020-08-18,198.06,200.98,195.79,197.67,327017.0,198.172,2706
2020-08-19,184.56,185.74,171.19,172.22,1769473.0,176.029,13172
2020-08-20,170.7,173.46,167.85,168.2,785953.0,170.561,6197
2020-08-21,168.34,168.45,163.95,165.85,516266.0,165.878,4066
2020-08-24,167.1,168.2,162.9,164.73,366350.0,164.498,2999
2020-08-25,164.23,166.78,163.25,166.38,344153.0,165.548,2945
2020-08-26,166.14,168.37,163.0,167.26,289165.0,166.359,2116
2020-08-27,168.34,168.34,164.5,165.85,326042.0,166.021,2758
2020-08-28,166.47,168.31,165.97,167.48,320744.0,167.45,2815
2020-08-31,168.01,168.5,164.7,165.42,288209.0,165.735,2540
2020-09-01,165.37,167.27,163.5,164.36,295559.0,164.489,2501
2020-09-02,165.83,171.81,164.38,171.1,320978.0,169.225,2701
2020-09-03,170.16,170.26,163.12,165.7,683122.0,165.595,5976
2020-09-04,165.75,166.58,160.36,163.17,366175.0,163.195,2707
2020-09-08,159.9,160.82,156.88,158.51,312554.0,159.209,2664
2020-09-09,160.94,162.1,159.54,160.71,140967.0,161.026,1201
2020-09-10,160.85,161.9,155.68,156.04,185627.0,157.828,1723
2020-09-11,156.75,157.49,154.16,155.78,146516.0,155.666,1222
2020-09-14,158.35,159.6,156.97,158.47,188472.0,158.876,1598
2020-09-15,159.46,160.43,158.09,159.79,258203.0,159.409,2151
2020-09-16,160.4,161.99,155.51,155.67,260686.0,157.953,2372
2020-09-17,154.04,162.07,153.35,161.76,376693.0,159.874,3375
2020-09-18,162.06,164.69,161.15,161.83,447929.0,162.804,3436
2020-09-21,160.52,160.84,157.16,159.21,222419.0,158.913,1943
2020-09-22,160.35,163.55,158.99,163.12,140288.0,161.692,1208
2020-09-23,162.87,163.4,159.04,159.41,279017.0,160.748,2407
2020-09-24,158.33,159.64,156.69,157.62,283548.0,158.218,2508
2020-09-25,158.86,161.09,157.02,161.0,341188.0,159.274,2762
2020-09-28,162.83,165.38,161.82,162.72,185104.0,163.121,1639
2020-09-29,161.89,164.54,161.89,162.13,167202.0,162.789,1474
2020-09-30,161.38,164.1,161.38,162.59,160257.0,162.924,1446
2020-10-01,163.39,165.59,162.5,163.54,253366.0,164.032,2059
2020-10-02,161.6,163.09,160.79,161.56,178914.0,161.953,1378
2020-10-05,163.24,163.51,161.28,162.09,169058.0,162.182,1413
2020-10-06,163.0,165.28,161.84,162.06,140872.0,163.53,1149
2020-10-07,163.0,165.0,162.57,164.44,121733.0,163.935,959
2020-10-08,165.4,166.49,163.13,164.32,143433.0,164.52,1136
2020-10-09,164.62,165.78,164.0,164.49,249460.0,164.484,2067
2020-10-12,165.97,165.97,163.57,164.71,235319.0,164.515,2079
2020-10-13,164.59,166.22,161.64,161.91,289053.0,163.433,1878
2020-10-14,163.24,163.26,160.27,160.93,209164.0,161.551,1721
2020-10-15,158.08,162.53,157.68,162.31,176843.0,160.756,1466
2020-10-16,161.12,163.74,161.12,162.26,131341.0,162.458,901
2020-10-19,162.84,163.24,157.69,158.07,148116.0,159.79,1287
2020-10-20,158.01,161.25,158.01,159.25,120847.0,159.855,1058
2020-10-21,159.54,160.84,158.95,158.99,110601.0,159.725,921
2020-10-22,159.05,159.15,157.08,157.81,199472.0,157.986,1478
2020-10-23,157.81,159.0,157.09,158.31,136521.0,158.072,1184
2020-10-26,156.96,156.96,152.47,154.12,173509.0,154.375,1430
2020-10-27,154.75,155.7,151.18,151.22,187230.0,152.707,1579
2020-10-28,150.08,151.28,148.03,149.57,288916.0,149.746,2436
2020-10-29,149.38,150.98,148.15,149.33,267000.0,149.55,2348
2020-10-30,148.29,150.26,146.69,148.25,184024.0,147.937,1466
2020-11-02,150.62,152.54,149.3,151.77,278664.0,151.071,2269
2020-11-03,153.36,157.19,153.28,156.15,220251.0,155.768,1897
2020-11-04,158.13,163.48,157.66,162.42,392136.0,161.849,3274
2020-11-05,168.12,168.12,152.31,153.66,791801.0,156.782,5352
2020-11-06,156.2,159.63,154.52,157.16,291423.0,158.068,2587
