date,open,high,low,close,volume,average,barCount
2020-07-13,98.78,99.26,96.22,97.65,24722562.0,97.778,119211
2020-07-14,98.53,99.95,96.64,98.21,30299768.0,98.251,139526
2020-07-15,100.88,101.29,98.65,99.73,18007814.0,99.591,81386
2020-07-16,98.78,101.22,98.55,100.01,13499995.0,99.98,64658
2020-07-17,100.0,100.08,98.14,98.16,13230900.0,98.972,60737
2020-07-20,97.51,98.39,97.26,97.3,10820029.0,97.853,53953
2020-07-21,97.71,100.05,97.61,99.41,13514878.0,99.372,64208
2020-07-22,99.65,100.13,97.53,98.69,11587212.0,98.541,56555
2020-07-23,98.5,99.35,97.97,98.98,10226377.0,98.574,51484
2020-07-24,99.6,99.8,97.94,98.28,9741593.0,98.773,48517
2020-07-27,97.51,97.63,96.17,96.9,9149535.0,96.836,42284
2020-07-28,96.52,97.89,96.5,97.32,8538602.0,97.298,42782
2020-07-29,97.07,99.71,97.0,99.68,9512101.0,98.548,46506
2020-07-30,97.54,97.74,96.05,97.02,11778338.0,96.748,56158
2020-07-31,96.58,96.93,95.25,96.64,10575396.0,95.855,53250
2020-08-03,97.05,97.57,95.85,96.1,9001298.0,96.831,48194
2020-08-04,95.91,95.95,95.03,95.55,11060733.0,95.341,52262
2020-08-05,95.87,98.47,95.72,97.21,11919022.0,97.384,55738
2020-08-06,97.58,98.1,96.54,97.24,8320330.0,97.189,39592
2020-08-07,96.93,99.49,96.56,99.38,11431685.0,98.197,54248
2020-08-10,100.18,102.04,100.03,100.64,11892299.0,100.902,56642
2020-08-11,103.86,106.16,103.51,103.82,25899880.0,105.152,131409
2020-08-12,106.16,106.43,101.71,102.94,14146535.0,103.607,66545
2020-08-13,102.0,103.36,101.63,102.37,10661644.0,102.283,53943
2020-08-14,101.5,103.31,101.42,102.41,9116039.0,102.519,43447
2020-08-17,101.5,102.0,99.53,99.71,11859855.0,100.429,55641
2020-08-18,99.91,99.91,98.12,98.32,9742709.0,98.668,48162
2020-08-19,98.92,100.59,98.34,98.55,10191879.0,99.333,49396
2020-08-20,97.26,98.03,96.8,97.37,10396862.0,97.42,47282
2020-08-21,97.27,98.57,96.94,97.32,9174102.0,97.448,40743
2020-08-24,98.45,100.21,97.42,100.06,12526731.0,99.127,54471
2020-08-25,101.27,101.98,99.8,100.5,11172034.0,100.541,52716
2020-08-26,99.96,100.27,99.05,99.09,8933361.0,99.634,40703
2020-08-27,99.0,102.65,99.0,102.35,18106231.0,101.865,83335
2020-08-28,103.14,103.25,101.81,102.77,10083111.0,102.535,48927
2020-08-31,102.12,102.18,100.02,100.19,9953195.0,100.819,48051
2020-09-01,99.55,100.88,99.04,100.14,8856421.0,99.924,41546
2020-09-02,99.95,101.94,99.56,101.65,10943033.0,101.1,51383
2020-09-03,103.32,104.99,100.64,101.33,18236973.0,102.705,90510
2020-09-04,104.05,105.21,101.37,103.52,20945186.0,103.298,107415
2020-09-08,102.98,103.57,99.48,99.92,16994106.0,100.555,87215
2020-09-09,100.84,101.69,99.56,100.87,9958609.0,100.875,52455
