date,open,high,low,close,volume,average,barCount
2020-07-13,98.31,98.94,94.65,94.77,1547836.0,96.392,10295
2020-07-14,94.0,96.29,93.1,95.83,1056017.0,95.151,7863
2020-07-15,97.41,97.63,96.04,96.78,835011.0,96.82,5887
2020-07-16,96.53,96.7,95.45,96.38,413188.0,96.343,3304
2020-07-17,96.76,98.14,96.63,97.78,758340.0,97.651,5499
2020-07-20,97.78,98.11,96.16,97.87,1183082.0,97.175,7534
2020-07-21,98.34,99.49,97.48,98.43,724083.0,98.476,5078
2020-07-22,98.92,99.26,97.97,98.37,391597.0,98.573,3029
2020-07-23,98.92,100.99,98.19,99.18,646193.0,99.583,5001
2020-07-24,98.15,98.15,96.23,96.85,618270.0,96.986,4503
2020-07-27,97.2,98.79,97.05,98.2,625072.0,98.216,4629
2020-07-28,97.94,97.98,95.65,95.68,618658.0,96.36,4075
2020-07-29,96.17,96.93,96.11,96.21,631843.0,96.553,4284
2020-07-30,95.83,99.23,95.57,98.98,754720.0,98.067,5677
2020-07-31,99.77,99.93,97.92,99.89,760499.0,98.833,5562
2020-08-03,99.23,101.11,98.71,100.77,728680.0,100.148,4750
2020-08-04,101.0,101.0,99.16,100.3,508046.0,99.955,3889
2020-08-05,100.59,100.75,99.39,100.35,494644.0,100.074,3660
2020-08-06,100.19,100.54,99.63,99.98,543402.0,99.986,3595
2020-08-07,99.9,100.37,97.4,98.14,606035.0,98.621,4814
2020-08-10,98.15,98.42,96.66,97.77,789949.0,97.615,5773
2020-08-11,98.14,99.77,97.96,98.81,838835.0,98.911,5762
2020-08-12,99.27,101.0,99.15,99.57,578608.0,99.839,4292
2020-08-13,101.86,103.76,101.15,103.2,1088644.0,102.955,7829
2020-08-14,102.56,103.74,102.16,102.95,685542.0,102.814,5278
2020-08-17,103.5,104.12,102.07,102.6,966829.0,102.835,7469
2020-08-18,102.47,103.44,102.38,102.69,732344.0,102.918,5602
2020-08-19,103.0,105.65,102.49,104.0,1486016.0,104.336,10000
2020-08-20,103.42,103.99,101.7,102.82,1534911.0,102.932,9957
2020-08-21,105.62,106.39,95.11,95.88,7700595.0,98.524,45967
2020-08-24,97.25,99.43,95.9,96.29,2440920.0,97.225,15667
2020-08-25,96.5,98.13,96.47,97.58,1578557.0,97.274,10275
2020-08-26,97.59,98.8,97.44,98.07,874395.0,98.203,5958
2020-08-27,98.89,99.12,95.42,95.61,1031867.0,96.446,7625
2020-08-28,96.19,97.69,96.19,97.33,1286841.0,97.112,9267
2020-08-31,98.0,98.73,96.74,98.52,732282.0,97.998,5058
2020-09-01,98.61,99.82,98.05,99.74,1165181.0,99.369,7737
2020-09-02,99.54,102.87,99.4,102.5,1210573.0,101.221,7623
2020-09-03,101.33,101.5,97.11,97.89,1439158.0,98.373,11375
2020-09-04,97.2,98.26,94.04,94.95,1020234.0,95.544,7871
2020-09-08,93.96,94.76,92.03,93.39,1229749.0,93.497,10012
2020-09-09,94.83,95.25,92.87,92.89,1305779.0,93.542,9381
2020-09-10,93.47,93.95,90.62,90.69,1757399.0,91.937,12401
2020-09-11,91.23,92.5,90.76,92.35,1200123.0,91.714,5999
2020-09-14,93.33,95.35,93.33,94.23,985561.0,94.541,5909
2020-09-15,95.26,96.56,95.15,96.21,536820.0,95.991,3559
2020-09-16,98.28,99.0,97.5,97.97,913109.0,98.127,6942
2020-09-17,96.19,98.27,95.95,98.25,1166673.0,97.359,8120
2020-09-18,98.45,99.88,96.06,97.1,1112144.0,97.694,7362
2020-09-21,96.58,97.86,95.77,97.8,963116.0,96.987,7057
2020-09-22,98.12,98.42,95.44,97.42,778742.0,96.54,4601
2020-09-23,97.45,98.83,96.23,96.36,772687.0,97.338,5620
2020-09-24,96.0,97.35,95.6,96.6,891090.0,96.594,6685
2020-09-25,96.18,98.49,95.9,98.12,439844.0,97.479,3287
2020-09-28,98.82,100.42,98.7,100.25,785462.0,99.795,5877
2020-09-29,100.49,101.3,99.59,99.6,460964.0,100.172,3415
2020-09-30,99.69,100.11,98.32,98.78,611472.0,99.288,4659
2020-10-01,99.68,99.94,97.0,97.48,855788.0,97.978,6490
2020-10-02,96.0,98.99,95.48,98.27,835717.0,97.677,6579
2020-10-05,99.29,99.9,98.31,99.69,555105.0,99.405,3911
2020-10-06,99.69,102.15,99.3,99.49,581998.0,100.56,4104
2020-10-07,100.53,102.0,100.06,101.16,435708.0,101.298,3291
2020-10-08,101.4,103.4,101.4,103.18,615620.0,102.756,4019
2020-10-09,103.5,106.29,103.37,105.26,696912.0,105.342,4052
2020-10-12,105.41,105.96,104.76,105.72,458215.0,105.588,3060
2020-10-13,105.57,106.25,104.13,104.49,894206.0,105.196,5646
2020-10-14,104.95,105.56,103.95,104.98,560940.0,104.921,4127
