date,open,high,low,close,volume,average,barCount
2020-07-13,11.81,11.97,11.42,11.76,8672064.0,11.731,35484
2020-07-14,11.69,11.73,11.28,11.39,7434110.0,11.478,33675
2020-07-15,11.8,12.04,11.63,11.99,11830376.0,11.893,43884
2020-07-16,11.79,12.23,11.72,11.98,7015113.0,11.972,30603
2020-07-17,11.94,12.02,11.66,11.69,7308542.0,11.806,31784
2020-07-20,11.66,11.77,11.44,11.46,7047385.0,11.549,23187
2020-07-21,11.55,12.14,11.55,12.14,24282666.0,11.9,79535
2020-07-22,11.76,12.13,11.72,11.97,11567386.0,11.964,46900
2020-07-23,12.0,12.49,11.9,12.41,8026678.0,12.28,33300
2020-07-24,12.46,12.63,12.21,12.25,7115702.0,12.342,29175
2020-07-27,12.16,12.23,11.98,12.09,9326921.0,12.142,29881
2020-07-28,12.02,12.2,11.96,11.99,5031782.0,12.057,20162
2020-07-29,11.95,12.57,11.89,12.56,9950245.0,12.282,31523
2020-07-30,12.16,12.23,11.82,12.21,6579060.0,12.089,24985
2020-07-31,12.12,12.13,11.84,12.01,6991101.0,11.956,24189
2020-08-03,12.0,12.16,11.9,12.03,4990651.0,12.073,19833
2020-08-04,12.03,12.14,11.94,12.08,8918932.0,12.068,28161
2020-08-05,12.21,12.3,12.09,12.28,4355301.0,12.227,15626
2020-08-06,12.15,12.35,12.06,12.18,5844635.0,12.192,21831
2020-08-07,12.07,12.56,11.95,12.53,5944057.0,12.326,22719
2020-08-10,12.57,12.93,12.54,12.71,4088725.0,12.772,19157
2020-08-11,13.19,13.51,13.0,13.08,6039703.0,13.289,26029
2020-08-12,13.4,13.47,12.67,12.89,5920685.0,12.985,23435
2020-08-13,12.67,12.84,12.57,12.63,4098722.0,12.667,16851
2020-08-14,12.5,12.89,12.45,12.75,3532582.0,12.742,14064
2020-08-17,12.66,12.7,12.41,12.44,7345560.0,12.527,18950
2020-08-18,12.46,12.46,12.11,12.17,3855058.0,12.254,15466
2020-08-19,12.22,12.41,12.1,12.17,4182482.0,12.233,18338
2020-08-20,11.99,12.07,11.87,11.99,7034423.0,11.952,23600
2020-08-21,11.9,12.09,11.85,11.95,8440907.0,11.934,24931
2020-08-24,12.0,12.4,11.89,12.39,7676520.0,12.253,25401
2020-08-25,12.59,12.73,12.28,12.51,7691584.0,12.452,32221
2020-08-26,12.41,12.44,12.23,12.26,10871560.0,12.305,28254
2020-08-27,12.3,12.72,12.2,12.67,11542449.0,12.595,26838
2020-08-28,12.76,12.84,12.66,12.77,8445822.0,12.745,28849
2020-08-31,12.55,12.59,12.31,12.32,12337384.0,12.418,37783
2020-09-01,12.19,12.61,12.14,12.53,9415771.0,12.464,32928
2020-09-02,12.52,12.76,12.42,12.71,7423349.0,12.62,31032
2020-09-03,12.81,13.22,12.5,12.63,9793616.0,12.67,36838
2020-09-04,12.98,13.14,12.58,12.89,7142063.0,12.828,31790
2020-09-08,12.62,12.7,12.4,12.52,7990446.0,12.525,31897
2020-09-09,12.61,12.68,12.42,12.55,4700337.0,12.571,19002
2020-09-10,12.67,12.83,12.28,12.29,6626280.0,12.457,22930
2020-09-11,12.28,12.47,12.17,12.36,7293996.0,12.345,25388
2020-09-14,12.5,12.86,12.44,12.81,7704342.0,12.746,27867
2020-09-15,12.81,12.85,12.49,12.53,5690000.0,12.601,26077
2020-09-16,12.55,12.98,12.45,12.71,5778295.0,12.79,24758
2020-09-17,12.5,12.77,12.43,12.68,5099727.0,12.668,21268
2020-09-18,12.59,12.75,12.54,12.65,6904989.0,12.649,25631
2020-09-21,12.31,12.45,11.93,12.05,6552645.0,12.129,25165
2020-09-22,12.05,12.15,11.65,11.74,8052975.0,11.831,30453
2020-09-23,11.84,12.05,11.53,11.54,5537854.0,11.803,22464
2020-09-24,11.57,11.84,11.33,11.55,5395587.0,11.55,27682
2020-09-25,11.43,11.77,11.37,11.71,4364284.0,11.619,18843
2020-09-28,11.94,12.19,11.92,12.13,6325349.0,12.108,26392
2020-09-29,12.09,12.09,11.6,11.83,5897430.0,11.823,23277
2020-09-30,11.93,12.11,11.81,11.93,8130949.0,11.957,33511
2020-10-01,11.97,12.08,11.75,11.92,6222267.0,11.901,24775
2020-10-02,11.69,12.34,11.6,12.22,6966454.0,12.115,26966
2020-10-05,12.4,12.78,12.32,12.76,5407556.0,12.646,20283
2020-10-06,12.96,13.21,12.55,12.6,8190279.0,12.864,33996
2020-10-07,12.79,13.33,12.79,13.16,7647544.0,13.119,34038
2020-10-08,13.23,13.4,13.06,13.31,5944514.0,13.248,24529
2020-10-09,13.39,13.41,13.04,13.12,3202529.0,13.198,14616
2020-10-12,13.14,13.35,13.09,13.29,4234144.0,13.234,17400
2020-10-13,13.17,13.21,12.74,12.81,5435506.0,12.893,24535
2020-10-14,12.83,12.99,12.66,12.67,4198896.0,12.794,19920
2020-10-15,12.53,12.99,12.5,12.98,3729255.0,12.846,17327
2020-10-16,12.97,13.01,12.66,12.93,4573521.0,12.89,19353
2020-10-19,12.99,13.11,12.76,12.78,3704521.0,12.938,17053
2020-10-20,13.0,13.33,12.93,13.08,6799835.0,13.163,31449
2020-10-21,12.5,12.77,12.29,12.42,11422119.0,12.444,48941
2020-10-22,12.48,13.11,12.39,13.08,6799895.0,12.906,32098
2020-10-23,13.24,13.49,13.14,13.45,8125419.0,13.315,34147
