date,open,high,low,close,volume,average,barCount
2020-07-13,32.46,32.95,32.18,32.51,4707105.0,32.639,28593
2020-07-14,32.3,33.44,32.28,33.31,5054011.0,33.123,29479
2020-07-15,33.48,33.5,33.05,33.15,3932035.0,33.222,23528
2020-07-16,33.57,34.69,33.44,34.4,7686723.0,34.199,39149
2020-07-17,34.58,35.19,34.37,35.01,6829880.0,34.896,33384
2020-07-20,34.91,34.92,33.91,34.12,4851573.0,34.262,26508
2020-07-21,34.36,34.89,34.27,34.53,3543809.0,34.687,19942
2020-07-22,34.65,34.96,34.28,34.9,2913608.0,34.663,16149
2020-07-23,34.6,35.13,34.27,34.86,4532619.0,34.809,25911
2020-07-24,34.9,35.25,34.51,34.68,3486671.0,34.825,21350
2020-07-27,34.68,34.89,34.49,34.84,3245897.0,34.699,20624
2020-07-28,34.84,35.39,34.76,35.25,5032929.0,35.187,25183
2020-07-29,35.54,35.87,35.4,35.57,5430329.0,35.549,29703
2020-07-30,35.07,35.5,33.36,34.39,10223564.0,34.149,52310
2020-07-31,34.12,34.83,33.83,34.38,6426127.0,34.197,34030
2020-08-03,34.53,35.05,34.25,34.79,4518051.0,34.767,26137
2020-08-04,34.79,35.14,34.38,35.08,3615260.0,34.875,20676
2020-08-05,35.15,35.23,34.65,34.78,3013464.0,34.837,15904
2020-08-06,34.75,35.33,34.67,35.28,3671504.0,35.111,17974
2020-08-07,35.13,35.45,34.98,35.41,2625618.0,35.263,17537
2020-08-10,35.31,35.35,34.52,34.79,3943801.0,34.818,24100
2020-08-11,35.0,35.25,34.49,34.63,3535068.0,34.815,21165
2020-08-12,34.84,35.5,34.76,35.33,3335791.0,35.211,19603
2020-08-13,35.44,35.67,35.13,35.57,3740500.0,35.456,21819
2020-08-14,35.34,35.67,35.13,35.59,1986720.0,35.526,12545
2020-08-17,35.64,36.37,35.54,35.93,3843365.0,36.012,21138
2020-08-18,36.01,36.01,35.26,35.66,3066839.0,35.604,17973
2020-08-19,35.75,35.87,35.38,35.43,2942357.0,35.58,17689
2020-08-20,35.26,35.31,34.73,34.85,3151039.0,34.952,18239
2020-08-21,34.68,34.9,34.31,34.56,3488998.0,34.58,19028
2020-08-24,34.69,35.09,34.35,35.09,3445357.0,34.811,19424
2020-08-25,35.27,35.41,34.91,35.37,3378688.0,35.213,18879
2020-08-26,35.19,35.36,34.83,35.31,3456096.0,35.11,17247
2020-08-27,35.09,35.24,34.7,34.76,3247109.0,34.914,17927
2020-08-28,34.82,34.91,34.25,34.88,3064406.0,34.608,15820
