date,open,high,low,close,volume,average,barCount
2020-07-13,143.1,144.68,141.71,142.14,806612.0,143.132,6570
2020-07-14,142.23,144.31,142.17,143.96,850068.0,143.562,7207
2020-07-15,144.22,145.0,142.73,143.28,793834.0,143.935,6131
2020-07-16,143.71,144.62,142.41,143.68,660692.0,143.517,4454
2020-07-17,144.39,144.91,143.7,144.37,635140.0,144.286,4618
2020-07-20,144.47,144.64,142.29,142.69,905892.0,143.066,6767
2020-07-21,143.95,144.78,142.6,143.8,666285.0,143.918,5423
2020-07-22,143.63,144.8,142.41,144.3,737870.0,143.713,5556
2020-07-23,145.44,149.36,145.0,147.33,2626861.0,147.646,18119
2020-07-24,147.77,148.9,146.66,147.34,1127035.0,147.546,8898
2020-07-27,147.13,148.22,146.1,147.38,970773.0,147.306,7657
2020-07-28,147.7,150.79,147.5,150.78,1776608.0,149.994,11736
2020-07-29,150.77,152.73,150.0,152.04,885807.0,151.953,6385
2020-07-30,152.01,152.01,150.21,151.96,768380.0,151.355,5531
2020-07-31,151.09,152.53,150.42,152.04,991898.0,151.454,7396
2020-08-03,151.59,152.48,151.07,151.6,490993.0,151.858,3817
2020-08-04,152.0,156.31,151.44,156.3,1171881.0,154.728,7677
2020-08-05,155.73,156.58,155.14,155.84,802032.0,155.622,5369
2020-08-06,155.67,156.88,155.21,156.47,652132.0,156.152,5174
2020-08-07,156.5,158.31,156.45,157.26,996296.0,157.239,7504
2020-08-10,157.61,158.93,157.17,158.09,925921.0,157.953,6418
2020-08-11,157.88,158.38,155.17,155.79,1093606.0,156.282,7983
2020-08-12,156.59,160.16,156.15,158.84,699791.0,158.996,4873
2020-08-13,158.72,159.14,157.82,158.46,478516.0,158.494,3618
2020-08-14,158.43,158.71,157.74,158.23,594639.0,158.21,4455
2020-08-17,157.95,158.88,157.56,157.81,646232.0,158.074,4828
2020-08-18,157.71,158.5,156.17,157.62,1242094.0,157.519,8794
2020-08-19,157.95,158.43,157.03,157.35,557503.0,157.593,4421
2020-08-20,157.0,157.91,156.35,157.57,413158.0,157.264,2937
2020-08-21,157.38,157.62,156.14,157.3,684074.0,156.975,5083
2020-08-24,157.33,158.1,156.82,157.42,600537.0,157.323,4637
2020-08-25,157.68,157.68,155.79,156.05,596862.0,156.426,4347
2020-08-26,155.84,156.76,155.48,156.0,687599.0,156.144,4823
2020-08-27,156.57,157.59,156.14,156.2,496007.0,156.824,3597
2020-08-28,156.12,156.58,154.65,156.5,551035.0,155.747,3438
2020-08-31,156.42,157.91,156.4,157.76,468964.0,157.268,3652
2020-09-01,157.39,157.7,153.93,154.26,854847.0,154.96,6018
2020-09-02,154.05,157.35,154.05,156.51,783997.0,156.395,5727
2020-09-03,155.73,156.43,151.0,152.25,924810.0,152.843,6650
2020-09-04,152.34,154.28,150.09,152.23,925553.0,151.838,6271
2020-09-08,152.3,153.0,148.33,148.97,990063.0,149.674,8028
2020-09-09,150.82,153.07,150.54,151.45,738245.0,152.206,5631
