date,open,high,low,close,volume,average,barCount
2020-07-13,14.27,14.42,14.09,14.19,8487469.0,14.246,31688
2020-07-14,14.17,14.59,14.07,14.55,11026819.0,14.426,37645
2020-07-15,14.84,15.04,14.7,14.96,6958653.0,14.891,25025
2020-07-16,14.9,15.08,14.73,14.99,7685605.0,14.971,27208
2020-07-17,15.08,15.27,14.79,14.92,8327775.0,14.938,27925
2020-07-20,14.85,14.87,14.5,14.5,8250750.0,14.629,29478
2020-07-21,14.65,15.22,14.6,15.09,9551476.0,15.048,36006
2020-07-22,14.87,14.95,14.7,14.89,11094008.0,14.839,36395
2020-07-23,14.32,14.58,14.06,14.49,21282939.0,14.329,61864
2020-07-24,14.55,14.55,14.2,14.25,10884975.0,14.314,35631
2020-07-27,14.31,14.33,14.08,14.2,10182611.0,14.184,32222
2020-07-28,14.18,14.26,14.1,14.12,7054026.0,14.15,24755
2020-07-29,14.05,14.55,14.02,14.53,7850335.0,14.354,26672
2020-07-30,14.33,14.39,14.15,14.32,9727679.0,14.28,33228
2020-07-31,14.04,14.12,13.8,14.1,9705373.0,13.954,33249
2020-08-03,14.04,14.21,13.92,14.03,9853840.0,14.082,33239
2020-08-04,14.08,14.52,14.0,14.5,12991614.0,14.331,41393
2020-08-05,14.73,14.75,14.36,14.44,9087436.0,14.49,31596
2020-08-06,14.39,14.57,14.26,14.3,7470608.0,14.385,23903
2020-08-07,14.2,14.34,14.06,14.32,8731941.0,14.161,30105
2020-08-10,14.32,14.59,14.32,14.54,9781421.0,14.471,29041
2020-08-11,14.75,14.82,14.37,14.42,14892758.0,14.622,42186
2020-08-12,14.65,14.74,14.41,14.49,9458555.0,14.522,31403
2020-08-13,14.48,14.54,14.19,14.27,10239308.0,14.318,31253
2020-08-14,14.14,14.45,14.14,14.29,6079098.0,14.301,20421
2020-08-17,14.43,14.47,14.27,14.44,6914849.0,14.41,21914
2020-08-18,14.43,14.61,14.32,14.38,8907876.0,14.438,30052
2020-08-19,14.4,14.47,14.07,14.12,7965720.0,14.211,28727
2020-08-20,14.01,14.18,14.0,14.06,7218788.0,14.093,23997
2020-08-21,14.07,14.13,13.88,14.11,8779322.0,14.017,27619
2020-08-24,14.15,14.38,14.06,14.24,9452084.0,14.254,32231
2020-08-25,14.33,14.34,13.91,13.96,11220848.0,14.01,33838
2020-08-26,14.02,14.02,13.72,13.73,10511269.0,13.84,27801
2020-08-27,13.73,13.93,13.7,13.86,10122161.0,13.833,29618
2020-08-28,13.96,14.21,13.85,14.18,9035483.0,14.059,26232
2020-08-31,14.17,14.21,13.81,13.82,8756343.0,13.902,31695
2020-09-01,13.78,13.96,13.63,13.87,8894113.0,13.841,30133
2020-09-02,13.8,13.97,13.76,13.84,8334253.0,13.85,26762
2020-09-03,13.87,13.98,13.51,13.64,10317296.0,13.698,35324
2020-09-04,13.75,13.82,13.26,13.52,11427078.0,13.479,34950
2020-09-08,13.38,13.5,13.19,13.25,14788016.0,13.341,51623
2020-09-09,13.32,13.52,13.22,13.22,12428754.0,13.356,39774
2020-09-10,13.29,13.29,12.87,12.91,12044303.0,13.027,39901
2020-09-11,12.95,13.06,12.8,12.82,15547535.0,12.921,46842
2020-09-14,12.9,13.15,12.85,13.06,8857632.0,13.055,29137
2020-09-15,13.05,13.16,12.88,12.91,10297296.0,13.039,30714
2020-09-16,13.08,13.49,12.96,13.35,12175259.0,13.29,38578
2020-09-17,13.18,13.43,13.08,13.29,10205376.0,13.237,30758
2020-09-18,13.22,13.26,13.02,13.08,9807966.0,13.128,26483
2020-09-21,12.91,12.96,12.65,12.86,9124226.0,12.812,27555
2020-09-22,12.91,13.11,12.73,12.8,8441231.0,12.834,26904
2020-09-23,12.87,12.92,12.22,12.23,11756357.0,12.452,38584
2020-09-24,12.25,12.44,11.97,12.28,12417406.0,12.18,41234
2020-09-25,12.1,12.44,12.05,12.37,11168061.0,12.262,33813
2020-09-28,12.58,12.76,12.45,12.61,9841689.0,12.608,34495
2020-09-29,12.6,12.72,12.33,12.45,7251452.0,12.457,25322
2020-09-30,12.56,12.61,12.27,12.33,14903301.0,12.463,42688
2020-10-01,12.2,12.32,12.05,12.24,12326205.0,12.212,40768
2020-10-02,12.05,12.44,12.03,12.31,10425215.0,12.245,33715
2020-10-05,12.43,12.68,12.3,12.6,9356291.0,12.549,30496
2020-10-06,12.73,12.76,12.25,12.27,13474592.0,12.502,40071
2020-10-07,12.28,12.67,12.19,12.59,19295723.0,12.432,53381
2020-10-08,12.7,13.15,12.59,13.13,13666471.0,12.9,41502
2020-10-09,13.2,13.25,12.75,12.82,11604027.0,12.883,36885
2020-10-12,12.85,12.88,12.66,12.78,9723641.0,12.772,29281
2020-10-13,12.72,12.85,12.52,12.61,9767486.0,12.619,33545
2020-10-14,12.71,13.12,12.65,12.96,12536460.0,12.981,36194
2020-10-15,12.81,13.01,12.67,12.99,10957363.0,12.862,32753
2020-10-16,12.99,13.07,12.84,12.86,11723516.0,12.939,30727
2020-10-19,12.9,13.0,12.69,12.71,10968324.0,12.819,31304
2020-10-20,12.8,12.86,12.58,12.68,14683952.0,12.682,41658
2020-10-21,12.6,12.67,12.48,12.53,12609335.0,12.565,43523
2020-10-22,12.5,12.99,12.48,12.96,18711912.0,12.853,55600
2020-10-23,12.99,13.0,12.6,12.78,14102300.0,12.76,44520
2020-10-26,12.67,12.69,12.19,12.38,14082058.0,12.381,51429
2020-10-27,12.35,12.37,12.16,12.17,11628575.0,12.261,35379
2020-10-28,11.98,12.12,11.81,11.83,17528332.0,11.942,55712
2020-10-29,11.78,12.09,11.5,12.06,17242699.0,11.868,57062
2020-10-30,11.75,11.9,11.61,11.9,13295477.0,11.743,48137
2020-11-02,12.03,12.07,11.78,11.89,11273768.0,11.913,35865
2020-11-03,12.04,12.14,11.93,11.99,9398151.0,12.035,29135
2020-11-04,12.11,12.27,11.77,11.83,11575884.0,12.037,34899
2020-11-05,11.83,12.19,11.83,11.9,11432937.0,12.014,32821
2020-11-06,11.91,12.08,11.45,11.48,12043289.0,11.646,37811
2020-11-09,12.34,12.71,12.09,12.3,27997651.0,12.374,84932
2020-11-10,12.47,12.89,12.27,12.89,18276445.0,12.642,58165
2020-11-11,13.07,13.08,12.86,13.03,20372348.0,12.975,60805
2020-11-12,12.9,13.08,12.58,12.71,17660209.0,12.856,47050
2020-11-13,12.86,13.22,12.78,13.13,11421593.0,13.083,38146
2020-11-16,13.74,13.82,13.39,13.67,19358083.0,13.66,63904
2020-11-17,13.45,14.05,13.42,14.03,16593538.0,13.829,52599
2020-11-18,14.02,14.23,13.76,13.76,18297611.0,14.02,60723
2020-11-19,13.7,14.4,13.61,14.4,22114148.0,14.087,66513
2020-11-20,14.4,14.42,14.17,14.25,17795893.0,14.275,53750
2020-11-23,14.4,14.67,14.3,14.62,17158964.0,14.6,48640
2020-11-24,14.99,15.12,14.87,14.97,14953796.0,15.004,50102
2020-11-25,14.9,15.05,14.65,14.85,10955867.0,14.865,34990
2020-11-27,14.72,14.86,14.65,14.75,5225862.0,14.753,18800
2020-11-30,14.53,14.68,14.3,14.38,16299482.0,14.416,57371
2020-12-01,14.67,14.68,14.03,14.1,16681505.0,14.217,55271
2020-12-02,14.06,14.55,14.0,14.34,18795666.0,14.38,60076
2020-12-03,14.41,14.66,14.3,14.49,15116697.0,14.513,47056
2020-12-04,14.68,15.1,14.67,14.93,15588896.0,14.943,44552
2020-12-07,14.73,14.98,14.57,14.8,13155773.0,14.844,40383
2020-12-08,14.69,15.0,14.65,14.76,16221645.0,14.821,49833
2020-12-09,14.82,14.94,14.42,14.61,20310773.0,14.603,65540
2020-12-10,14.65,14.88,14.6,14.79,19840021.0,14.722,63003
2020-12-11,14.65,14.75,14.52,14.75,11999562.0,14.653,37213
