date,open,high,low,close,volume,average,barCount
2020-07-13,89.07,90.33,87.19,87.28,948114.0,88.756,6449
2020-07-14,86.95,91.51,86.76,91.35,821317.0,89.749,5640
2020-07-15,92.58,95.06,92.18,95.04,925790.0,94.093,6550
2020-07-16,94.84,95.72,93.91,95.22,630974.0,95.067,4305
2020-07-17,95.56,95.96,94.56,95.02,647708.0,95.284,4593
2020-07-20,94.13,94.54,92.55,93.35,537425.0,93.488,4422
2020-07-21,93.88,96.32,93.71,95.27,561722.0,95.501,4215
2020-07-22,95.3,98.2,95.3,97.85,944197.0,97.564,6431
2020-07-23,98.53,99.96,96.91,97.78,809618.0,98.599,5999
2020-07-24,97.12,98.26,96.51,97.46,685165.0,97.661,4860
2020-07-27,97.91,98.35,96.56,97.77,673352.0,97.557,4762
2020-07-28,97.45,99.44,97.05,97.17,598168.0,98.313,4986
2020-07-29,97.51,99.17,97.48,98.68,975405.0,98.54,7993
2020-07-30,98.0,98.84,97.39,98.33,881884.0,98.223,6208
2020-07-31,98.56,98.69,96.05,96.97,698325.0,96.841,5169
2020-08-03,97.32,98.28,96.46,97.4,570396.0,97.25,4821
2020-08-04,97.26,100.7,97.26,99.36,989716.0,99.462,7728
2020-08-05,100.3,101.11,99.45,100.36,641463.0,100.383,4833
2020-08-06,99.68,101.15,99.18,100.65,790285.0,100.516,5832
2020-08-07,99.76,100.64,99.11,100.28,583850.0,99.876,4517
2020-08-10,100.51,102.77,100.51,102.2,975038.0,102.084,6742
2020-08-11,103.0,104.83,102.5,103.99,964189.0,103.83,6322
2020-08-12,104.7,106.74,104.36,106.24,1045388.0,105.896,6323
2020-08-13,105.6,105.86,104.08,104.36,564086.0,104.723,4151
2020-08-14,104.6,104.93,103.59,104.35,358329.0,104.299,2480
2020-08-17,104.27,106.4,104.27,105.62,915173.0,105.204,4645
2020-08-18,106.87,107.43,105.66,106.63,907625.0,106.68,5904
2020-08-19,107.07,107.5,105.71,106.78,429859.0,106.735,3791
2020-08-20,105.7,107.66,105.41,106.12,396841.0,106.757,2818
2020-08-21,106.13,107.41,105.64,106.92,391880.0,106.81,2819
2020-08-24,107.8,108.98,106.94,108.8,425094.0,108.253,3461
