date,open,high,low,close,volume,average,barCount
2020-07-13,45.53,45.68,44.96,45.25,11834159.0,45.341,55597
2020-07-14,44.91,45.94,44.67,45.87,13225906.0,45.482,70821
2020-07-15,46.3,47.19,46.2,46.4,16911934.0,46.678,87467
2020-07-16,46.26,46.69,45.94,46.15,10207035.0,46.258,49325
2020-07-17,46.47,46.91,46.12,46.82,10235420.0,46.563,46452
2020-07-20,46.72,46.83,45.85,46.12,12792120.0,46.122,65291
2020-07-21,47.52,47.99,46.93,47.2,20873556.0,47.388,91702
2020-07-22,47.97,48.52,47.03,48.48,22703559.0,47.994,99553
2020-07-23,48.47,48.57,48.03,48.28,11925753.0,48.277,55532
2020-07-24,48.4,48.8,48.07,48.49,13643350.0,48.356,62692
2020-07-27,48.25,48.51,48.18,48.48,11176106.0,48.396,48779
2020-07-28,48.34,49.28,48.1,48.18,11083670.0,48.563,57433
2020-07-29,48.14,48.5,47.82,48.02,10315670.0,48.077,50897
2020-07-30,47.67,48.23,47.2,47.69,14254116.0,47.679,68819
2020-07-31,47.44,47.77,46.73,47.24,10120544.0,47.058,47633
2020-08-03,47.14,47.36,46.23,46.3,11288585.0,46.499,51613
2020-08-04,46.29,46.86,46.22,46.69,8769200.0,46.57,41752
2020-08-05,46.9,47.27,46.81,47.22,7648306.0,47.099,35322
2020-08-06,46.66,47.53,46.6,47.48,8602800.0,47.244,38231
2020-08-07,47.47,48.08,47.21,47.8,8565448.0,47.73,39547
2020-08-10,48.06,48.28,47.66,47.72,7624252.0,47.875,33459
2020-08-11,48.46,48.66,47.7,47.93,11591319.0,48.036,53563
2020-08-12,48.3,48.69,48.12,48.43,7052612.0,48.453,33706
2020-08-13,48.3,48.73,48.06,48.38,7652508.0,48.473,37702
2020-08-14,48.34,48.69,48.03,48.45,6164841.0,48.416,30917
2020-08-17,48.32,48.75,48.2,48.21,6371188.0,48.4,30451
2020-08-18,48.2,48.5,47.96,48.42,7540286.0,48.305,33903
2020-08-19,48.12,48.38,47.22,47.37,14406203.0,47.782,57436
2020-08-20,47.27,47.6,47.09,47.35,8890590.0,47.318,42814
2020-08-21,47.34,47.5,46.97,47.28,9860493.0,47.239,39568
2020-08-24,47.43,47.98,47.17,47.97,6647719.0,47.661,32855
2020-08-25,48.0,48.05,47.65,47.91,5380170.0,47.868,25560
2020-08-26,47.76,48.18,47.47,48.16,6896411.0,47.878,33960
2020-08-27,48.25,48.82,48.2,48.23,8709346.0,48.419,43134
2020-08-28,48.74,49.85,48.53,49.83,13387078.0,49.202,64939
