date,open,high,low,close,volume,average,barCount
2020-07-13,33.44,33.6,32.96,33.28,6178567.0,33.353,31521
2020-07-14,33.33,34.25,33.31,34.24,7480085.0,33.924,40407
2020-07-15,33.69,34.01,33.32,33.77,7239025.0,33.667,37474
2020-07-16,33.9,34.31,33.64,33.73,5877082.0,33.907,27252
2020-07-17,33.85,34.18,33.78,33.85,4914336.0,33.961,23548
2020-07-20,33.8,34.16,33.61,34.15,5381623.0,33.942,26226
2020-07-21,34.36,35.58,34.33,34.79,10139764.0,34.916,48516
2020-07-22,34.9,35.16,34.58,35.16,5089894.0,34.968,27610
2020-07-23,35.24,35.39,34.97,35.13,4289015.0,35.126,24369
2020-07-24,35.0,35.37,34.56,34.71,4111057.0,34.853,21387
2020-07-27,34.7,34.94,34.3,34.76,4301639.0,34.713,21694
2020-07-28,34.88,35.42,34.81,35.23,4457703.0,35.215,22732
2020-07-29,35.13,35.17,34.72,35.11,4443313.0,34.952,24053
2020-07-30,34.86,34.93,34.33,34.41,4644220.0,34.529,24906
2020-07-31,34.48,34.8,34.38,34.79,4752064.0,34.598,26936
2020-08-03,34.9,35.17,34.47,35.1,4362804.0,34.958,23388
2020-08-04,35.24,35.47,34.94,35.39,4353417.0,35.209,22940
2020-08-05,35.16,35.35,34.9,35.09,4406659.0,35.102,23581
2020-08-06,35.2,35.45,34.98,35.03,2868252.0,35.138,14316
2020-08-07,35.0,35.28,34.97,35.24,3246940.0,35.155,18215
2020-08-10,35.28,35.36,34.95,35.03,3727728.0,35.132,20541
2020-08-11,34.94,34.97,34.15,34.26,6182551.0,34.366,32073
2020-08-12,34.38,34.79,34.22,34.61,4101548.0,34.601,22950
2020-08-13,34.52,34.75,34.21,34.59,3294554.0,34.595,18159
2020-08-14,34.61,36.03,34.53,35.39,8797115.0,35.434,34680
2020-08-17,35.7,36.19,35.31,36.0,5294291.0,35.941,28788
2020-08-18,35.95,36.69,35.69,36.24,6411304.0,36.258,32913
2020-08-19,36.33,36.89,36.11,36.22,3896915.0,36.445,22305
2020-08-20,36.18,36.4,35.78,35.92,3330502.0,36.001,17473
2020-08-21,35.92,36.24,35.72,35.91,3317136.0,35.958,17284
2020-08-24,36.01,36.09,35.67,36.06,3417551.0,35.896,20042
2020-08-25,36.09,36.16,35.74,36.08,3086076.0,35.962,17059
2020-08-26,35.98,36.43,35.64,36.37,3388890.0,36.062,19629
2020-08-27,36.42,36.71,36.14,36.16,4359326.0,36.385,24821
2020-08-28,36.21,36.21,35.0,35.3,5726126.0,35.406,27949
2020-08-31,35.34,35.7,35.09,35.68,6042173.0,35.422,31587
2020-09-01,35.5,35.68,34.92,35.4,6895673.0,35.285,34246
2020-09-02,35.45,36.62,35.45,36.6,7878162.0,36.148,35117
2020-09-03,36.31,37.22,35.79,36.11,7459225.0,36.342,43702
2020-09-04,36.03,36.2,34.93,35.47,5837893.0,35.521,36004
2020-09-08,35.64,35.74,34.6,34.62,7129523.0,34.941,43115
2020-09-09,34.86,35.49,34.72,35.18,8439291.0,35.208,42117
2020-09-10,35.2,35.38,34.69,34.74,8609849.0,34.978,46310
2020-09-11,35.0,35.12,33.8,34.37,17769749.0,34.472,86239
2020-09-14,33.71,33.84,32.75,32.84,12587080.0,33.033,58569
2020-09-15,32.81,33.22,32.43,32.72,9988202.0,32.749,44084
2020-09-16,32.74,32.98,31.9,32.02,19598016.0,32.361,67127
2020-09-17,32.07,32.94,32.0,32.51,8751786.0,32.563,41752
2020-09-18,32.47,33.4,32.41,33.21,11238577.0,32.936,52413
2020-09-21,32.92,33.5,32.83,33.46,6871873.0,33.24,34947
