date,open,high,low,close,volume,average,barCount
2020-07-13,63.6,63.71,62.37,62.82,1605847.8098689117,62.9805726,9412
2020-07-14,62.64,64.26,62.41,64.18,1224096.7707556218,63.6833593,7908
2020-07-15,64.13,64.79,63.76,63.89,861269.3168496216,64.2632287,6020
2020-07-16,63.94,64.78,63.64,64.03,948531.3865501438,64.1722136,6361
2020-07-17,64.23,64.59,64.14,64.4,1442086.752637749,64.3495523,8382
2020-07-20,64.23,64.27,63.03,63.26,1427015.8797825854,63.2817669,8907
2020-07-21,63.34,64.23,63.32,63.49,1006395.6090802515,63.8165979,7119
2020-07-22,63.49,63.53,62.44,63.3,1451637.003090696,62.8116786,8854
2020-07-23,63.49,64.25,63.49,64.19,793641.6924224661,63.9676642,5477
2020-07-24,64.39,64.94,63.66,64.44,841632.7400618138,64.2059924,5844
2020-07-27,64.27,65.77,64.27,65.65,1761230.9495896834,65.3601014,11555
2020-07-28,65.65,66.92,65.65,66.53,1661286.3689651496,66.5207785,11589
2020-07-29,66.9,67.14,66.23,66.56,2024799.1047639346,66.6577703,12691
2020-07-30,67.56,68.38,65.52,66.23,3452218.906533092,66.7750578,24199
2020-07-31,65.77,66.23,63.87,64.73,2449807.0979430885,64.6713892,17431
2020-08-03,64.81,65.35,64.52,65.07,1266657.7853564958,65.0101155,8978
2020-08-04,65.08,65.47,64.8,65.41,1319484.1735052755,65.1855776,8647
2020-08-05,65.47,65.88,64.89,64.99,596318.8745603751,65.2662714,3926
2020-08-06,64.83,65.53,64.69,64.96,884757.5402323351,64.9707069,6444
2020-08-07,64.98,65.43,64.46,65.23,885511.0305872322,65.0645369,6117
2020-08-10,65.29,65.49,64.33,64.76,997060.6415858468,64.7314404,7472
2020-08-11,64.81,64.96,63.72,63.93,960702.3340083129,64.1722136,6885
2020-08-12,64.09,65.52,63.97,65.01,784957.90258979,64.9481877,5383
2020-08-13,65.01,65.01,64.31,64.76,558782.9052541831,64.7633426,3914
2020-08-14,64.62,65.06,64.38,64.84,785617.6063092827,64.7661575,5039
2020-08-17,64.84,65.48,64.55,65.38,1063895.3426409464,65.2944204,5854
2020-08-18,65.25,66.12,64.82,65.78,1341078.5463071512,65.4877102,7051
2020-08-19,65.65,65.91,64.49,64.6,995962.9116487264,64.9331749,7235
2020-08-20,64.59,64.97,64.31,64.5,617308.9630182245,64.5878805,4448
2020-08-21,64.55,64.8,63.95,64.64,740394.330171587,64.4790377,4598
2020-08-24,64.71,65.29,64.2,65.29,680544.6019396781,64.8853216,4458
2020-08-25,65.52,65.52,64.56,65.2,1452389.4276883726,64.9191004,5094
2020-08-26,65.02,66.12,64.76,66.04,908010.2312693169,65.6885064,5608
2020-08-27,66.15,66.75,66.03,66.11,732892.465096451,66.4100591,4618
2020-08-28,66.02,66.41,65.07,66.19,1353218.5868059255,65.812362,6702
2020-08-31,65.75,66.74,65.69,66.53,968389.6408398167,66.3462547,6354
2020-09-01,66.09,66.41,64.65,64.97,1155062.3467973995,65.0176219,7672
2020-09-02,64.82,66.43,64.82,66.08,979344.5593093893,66.0037752,6709
2020-09-03,65.97,67.23,64.98,65.62,1560717.2546094,65.8658451,10106
2020-09-04,65.39,65.92,64.43,64.95,2014239.5822231695,65.0945625,9878
2020-09-08,64.74,65.3,61.81,62.25,2143615.0484919534,62.8980022,14023
2020-09-09,62.82,63.35,62.01,62.43,1559375.466268784,62.5799185,11092
2020-09-10,62.32,63.03,61.76,61.93,1346306.085473729,62.3350222,10195
2020-09-11,61.82,61.95,61.08,61.4,1284576.3615048493,61.4999352,9386
2020-09-14,61.51,61.98,61.33,61.38,988890.5467334541,61.6322355,7101
2020-09-15,61.36,62.21,61.1,61.58,1345677.288713631,61.7223123,9669
2020-09-16,61.54,61.75,59.91,59.99,3588415.219013109,60.6282545,14478
2020-09-17,59.44,59.68,58.79,59.59,2344569.9669615263,59.2771025,13848
2020-09-18,58.85,59.64,58.43,59.04,3627589.2571672173,58.8267185,13725
2020-09-21,58.59,59.35,58.09,58.85,1346593.8399232654,58.7169374,9112
2020-09-22,58.86,59.73,58.57,58.8,1331223.4892891399,59.0012423,7942
2020-09-23,59.21,59.49,57.32,57.36,1422150.6980709794,58.0141507,8435
2020-09-24,57.17,58.91,57.09,58.78,1885554.7266332728,58.3829026,12079
2020-09-25,58.75,59.41,58.66,59.19,1037012.682510924,59.0800595,7126
2020-09-28,59.64,59.86,58.95,59.47,902611.1051902376,59.5276286,5034
2020-09-29,59.81,59.93,59.19,59.53,1084952.5738036875,59.5923713,7457
2020-09-30,59.8,60.75,59.61,60.6,1197547.6926356177,60.4208902,8240
2020-10-01,60.73,60.8,59.73,60.41,1012742.1933283597,60.2322919,6930
2020-10-02,59.84,61.2,59.49,60.72,1102849.8348076309,60.70801,7776
2020-10-05,60.84,61.48,60.53,61.41,1274866.2474688266,61.1499493,5551
2020-10-06,61.45,61.8,60.86,61.14,965486.5181711606,61.3000773,5835
2020-10-07,61.16,61.51,60.39,60.86,816752.6377491207,60.8628295,5425
2020-10-08,61.05,61.39,60.75,61.2,489429.8198870297,61.0579959,3402
2020-10-09,61.51,62.13,61.13,61.79,841985.5057018012,61.7438932,6017
2020-10-12,61.93,62.58,61.82,62.22,790596.8240434829,62.293737,5723
2020-10-13,62.0,62.8,61.93,62.7,632456.5703932644,62.4541863,4293
2020-10-14,62.62,63.31,62.46,62.73,757073.4306724928,62.8210616,5573
2020-10-15,62.53,63.28,62.22,63.0,1374790.5787061707,62.9073852,7336
2020-10-16,63.14,63.4,62.8,62.96,835039.965895769,63.0687728,5714
2020-10-19,63.01,63.68,62.49,62.58,959151.6572524778,62.9364725,5770
2020-10-20,63.15,63.19,62.1,62.16,864426.0897367579,62.4391735,6140
2020-10-21,61.85,62.51,61.72,61.9,737721.4110625599,62.0554088,5522
2020-10-22,61.96,62.43,61.55,62.27,745908.5580304806,62.0704216,5524
2020-10-23,62.68,63.13,62.31,62.64,658099.7548758392,62.6014994,4721
2020-10-26,62.48,62.68,61.37,61.65,1032053.7141639134,61.8855765,7526
2020-10-27,61.43,61.89,60.89,60.92,895225.4076521369,61.3216582,6511
2020-10-28,60.52,60.76,59.56,59.57,1577748.0549930725,60.0202361,10069
2020-10-29,59.84,60.71,58.78,59.19,2511233.0811041244,59.6083224,16366
2020-10-30,58.93,59.67,58.7,59.01,1730978.3651284238,59.1082085,11551
2020-11-02,59.78,60.61,59.38,59.99,1385174.2513055527,60.0380638,9598
2020-11-03,60.44,61.45,60.13,60.41,1193725.887242886,60.6404524,8589
2020-11-04,60.6,61.18,59.57,59.66,1374268.3576681232,60.3852348,8591
2020-11-05,60.12,61.19,60.05,60.33,1428465.3096024725,60.6160566,9045
2020-11-06,60.35,61.11,60.1,60.38,958772.247681978,60.4997074,5913
2020-11-09,60.52,61.04,58.98,59.08,2264208.675263775,59.807242,13864
2020-11-10,59.05,60.3,58.27,60.23,2585624.000852606,59.5980011,15073
2020-11-11,60.45,61.62,60.16,61.55,1063652.3499946713,61.1236769,6186
2020-11-12,61.55,61.62,60.58,61.08,1526452.0942129383,60.9172509,9615
2020-11-13,61.62,61.72,61.07,61.7,622763.5084727699,61.4896139,4015
2020-11-16,61.5,62.52,61.0,62.47,1129264.6275178513,61.9278,7380
2020-11-17,62.12,62.88,61.82,62.23,842712.3521261857,62.3462818,5432
2020-11-18,62.3,62.51,60.99,61.01,892427.7949483107,61.6960399,5650
2020-11-19,60.97,61.36,60.42,61.19,779355.2168815944,61.0279703,5153
2020-11-20,61.19,61.36,60.51,61.0,1133320.899499094,60.8975466,7267
2020-11-23,59.21,60.33,59.21,59.74,1856102.5258446126,59.8626017,10823
2020-11-24,60.1,60.29,58.57,58.62,2520718.3203666206,59.1241596,15070
2020-11-25,59.05,60.2,58.95,59.36,1589996.8027283384,59.6327182,9787
2020-11-27,59.76,59.84,59.11,59.56,593316.636470212,59.4797753,3251
2020-11-30,59.0,59.98,58.63,59.97,1691860.812107002,59.3437218,10911
2020-12-01,59.78,60.02,59.39,59.75,1732078.226579985,59.6467927,10671
2020-12-02,59.61,59.88,58.65,58.85,1473392.3052328678,59.1025787,9151
2020-12-03,58.64,59.18,58.6,59.11,1087575.4023233508,58.915857,6448
2020-12-04,59.04,59.04,58.17,58.52,1993854.8438665671,58.4701645,11373
2020-12-07,58.58,58.8,57.96,58.13,1491317.2759245443,58.230898,9175
2020-12-08,58.28,58.75,57.94,58.69,2324661.6220824895,58.4870539,13592
2020-12-09,58.8,58.96,57.76,58.17,2264916.3380581904,58.2168235,13069
2020-12-10,58.3,58.47,57.88,58.16,1645632.5269103698,58.1802298,6829
2020-12-11,57.84,58.61,57.72,58.28,1556749.4404774592,58.3209748,9585
2020-12-14,58.64,58.97,58.05,58.1,1448285.1966322071,58.5133263,9053
2020-12-15,58.19,58.29,57.27,57.46,1602041.9908344878,57.5534454,9276
2020-12-16,57.82,58.16,57.47,57.71,1828645.4225727378,57.771131,10821
2020-12-17,58.1,58.85,57.97,58.62,1339125.0133219652,58.5639945,8435
2020-12-18,58.64,58.9,57.75,58.25,1980997.5487583927,58.2900109,11237
2020-12-21,57.86,57.87,56.9,57.73,1232812.5333049132,57.3413896,7673
2020-12-22,57.61,57.71,57.07,57.41,1181829.9051476074,57.4633686,7201
2020-12-23,57.75,58.16,57.57,57.81,933491.4206543749,57.9006164,5464
2020-12-24,57.78,58.08,57.63,57.97,310349.5683683257,57.8527631,1702
2020-12-28,58.11,58.51,57.99,58.49,671365.2349994672,58.2834428,3632
2020-12-29,58.62,59.19,58.18,58.45,731336.4595545135,58.5912052,4142
2020-12-30,58.34,58.37,57.66,57.73,763813.2793349675,57.8433801,4555
2020-12-31,57.73,58.45,57.55,58.39,1106887.988916125,57.9297037,6128
2021-01-04,58.19,58.37,57.19,57.66,2426324.203346478,57.5778412,12590
2021-01-05,57.7,58.15,57.48,57.99,1125431.0987956943,57.8415035,6971
2021-01-06,57.42,57.94,57.13,57.54,1755156.133432804,57.5984838,9794
2021-01-07,57.74,57.86,57.02,57.13,1624250.2397953747,57.4202068,9716
2021-01-08,57.16,57.61,55.84,56.49,2727545.5611211765,56.2736042,13482
2021-01-11,56.75,56.88,55.62,55.71,2036795.2680379408,55.9771014,12758
2021-01-12,55.83,55.86,54.28,54.95,2397540.232335074,54.8652159,13854
2021-01-13,55.11,55.92,54.66,55.49,1504448.4706383885,55.4891854,8453
2021-01-14,55.82,55.82,55.12,55.41,5025853.138655014,55.3953554,13182
2021-01-15,55.57,55.92,54.9,55.39,4160352.7656399873,55.369083,18476
2021-01-19,55.77,56.11,54.42,54.85,3061585.8467441117,54.9224522,14240
2021-01-20,54.84,54.84,53.52,54.08,4000014.920601087,53.9109648,19134
2021-01-21,54.1,54.33,53.72,54.32,2099973.3560694875,54.0291906,10286
2021-01-22,54.42,54.99,53.96,54.7,1500491.3140786528,54.6071834,8023
2021-01-25,54.72,57.12,54.59,56.15,3371093.4669082384,56.2623446,19164
2021-01-26,56.13,57.23,55.47,57.16,2320903.7621229882,56.3880768,14497
2021-01-27,57.4,59.51,57.24,58.51,5120700.202493872,58.7798035,30011
2021-01-28,58.27,58.96,56.2,56.46,2539231.589044016,57.1659275,16480
2021-01-29,56.3,57.0,55.16,55.3,2643681.125439625,55.7265753,16865
2021-02-01,55.3,55.77,54.63,55.19,1982384.09890227,55.2152018,12025
2021-02-02,55.27,55.59,54.29,54.84,2015371.416391346,55.0800866,13199
2021-02-03,54.8,54.89,54.06,54.43,1538817.0094852392,54.5161683,8381
2021-02-04,54.41,54.69,54.15,54.3,2451271.4483640627,54.3866829,11733
2021-02-05,54.36,54.75,54.09,54.45,2171955.664499627,54.4608086,11280
2021-02-08,54.58,54.63,53.68,54.18,2416468.080571246,54.0601545,13093
2021-02-09,54.37,54.39,53.61,54.08,2055438.5590962379,53.9259776,11275
2021-02-10,54.56,54.97,54.21,54.52,2455826.494724502,54.5846642,14394
2021-02-11,54.33,54.79,53.12,53.48,5021347.117126718,53.7308112,25851
2021-02-12,53.5,54.36,53.42,53.84,2737402.749653629,53.6688834,15539
2021-02-16,53.9,54.02,53.3,53.35,2577598.848982202,53.5891279,13731
2021-02-17,53.38,54.56,53.2,54.45,2635029.308323564,54.1689973,15519
2021-02-18,54.32,55.87,54.05,55.86,3253542.5770009593,55.4450853,17501
2021-02-19,55.86,56.05,54.14,54.34,2586038.580411382,54.9393416,14207
2021-02-22,54.59,55.72,54.3,55.6,2802218.906533092,55.0810249,18716
2021-02-23,55.91,56.39,55.12,55.62,3189532.1325801983,55.8082074,21859
2021-02-24,55.64,55.95,54.65,54.99,3714540.125759352,55.2058188,21061
2021-02-25,54.97,55.97,54.82,55.12,2762241.2874347223,55.4854322,17689
2021-02-26,55.36,55.51,54.15,54.15,3352291.378024086,54.6822474,21776
2021-03-01,53.67,54.25,53.25,53.4,2726568.2617499735,53.7279963,15914
2021-03-02,53.55,54.07,53.42,53.7,1767221.570926143,53.7542687,10697
2021-03-03,53.51,54.08,53.36,53.79,1712324.4164979218,53.7589602,10622
2021-03-04,54.26,54.89,53.84,54.14,2217977.192795481,54.4157702,12489
2021-03-05,54.38,55.65,54.13,55.58,3268555.8989662156,55.1129271,19376
2021-03-08,55.7,56.27,55.31,55.72,2483420.014920601,55.8044542,15652
2021-03-09,55.59,56.16,55.17,55.35,1902649.4724501758,55.8091457,11087
2021-03-10,55.65,56.31,54.52,56.04,2601838.4312053714,55.5464217,17097
2021-03-11,55.74,56.08,55.55,55.6,1574776.7238623041,55.7903797,9887
2021-03-12,56.0,56.99,55.74,56.9,2228322.498134925,56.4997345,12716
2021-03-15,57.17,57.2,55.98,56.32,2076589.5768943834,56.3421001,13322
2021-03-16,56.3,56.85,56.1,56.64,1670811.0412448044,56.5100558,11459
2021-03-17,56.77,57.05,56.36,56.65,1327631.8874560376,56.7530755,8849
2021-03-18,56.44,57.11,56.21,56.89,960282.4256634339,56.6873945,6203
