date,open,high,low,close,volume,average,barCount
2020-07-13,88.55,88.96,84.78,85.04,781666.0,86.469,5720
2020-07-14,84.66,86.23,84.05,86.2,876724.0,85.249,5676
2020-07-15,87.71,88.57,87.42,87.82,470994.0,87.988,3504
2020-07-16,87.13,87.37,85.88,86.58,494430.0,86.351,3971
2020-07-17,87.15,88.59,86.63,88.17,705811.0,87.882,5109
2020-07-20,87.7,88.73,87.51,88.64,542605.0,88.228,4288
2020-07-21,88.71,90.54,88.63,89.11,637566.0,89.794,4601
2020-07-22,89.08,91.65,88.99,91.37,394016.0,90.893,3075
2020-07-23,91.33,92.2,90.39,90.67,364331.0,91.189,2672
2020-07-24,90.36,91.32,90.11,91.07,426937.0,90.707,3250
2020-07-27,90.66,91.04,89.65,90.16,535215.0,90.156,3966
2020-07-28,90.0,91.47,89.85,90.18,540348.0,90.733,3647
2020-07-29,90.86,92.19,90.59,91.97,606741.0,91.54,5150
2020-07-30,91.01,92.54,90.81,92.36,430953.0,92.085,3285
2020-07-31,92.37,95.18,91.52,95.16,617457.0,93.85,4774
2020-08-03,95.36,98.59,94.9,98.3,752784.0,97.585,5848
2020-08-04,98.41,99.88,91.34,92.27,1721980.0,93.845,12241
2020-08-05,92.17,92.74,89.33,89.73,760303.0,90.325,4861
2020-08-06,89.95,91.58,89.55,91.01,764243.0,90.675,4883
2020-08-07,91.21,93.82,90.68,93.21,1127947.0,92.707,7638
2020-08-10,92.87,95.28,92.87,94.42,674672.0,94.484,4554
2020-08-11,94.86,96.7,94.71,95.95,1059809.0,95.745,6381
2020-08-12,96.21,96.74,93.14,94.41,983448.0,94.363,5423
2020-08-13,94.0,95.53,94.0,94.39,670840.0,94.751,4017
2020-08-14,94.33,95.34,94.21,94.72,383835.0,94.732,2825
2020-08-17,94.73,95.2,91.97,92.24,542130.0,92.901,3877
2020-08-18,92.25,92.78,91.51,91.81,500418.0,92.15,3765
2020-08-19,91.83,93.23,91.59,92.6,546089.0,92.499,3751
2020-08-20,91.88,92.04,90.8,91.02,453118.0,91.113,3607
2020-08-21,91.2,91.37,88.94,89.17,621607.0,89.612,4923
2020-08-24,89.59,90.82,89.1,90.81,529644.0,90.267,4059
2020-08-25,90.96,91.94,90.4,90.62,380473.0,90.772,2529
2020-08-26,90.45,90.8,89.05,90.54,474230.0,90.032,3562
2020-08-27,90.85,91.87,90.43,91.68,399555.0,91.244,2423
2020-08-28,92.22,92.22,90.73,91.31,266337.0,91.307,2214
2020-08-31,90.83,90.87,88.96,90.49,894172.0,90.102,5675
