date,open,high,low,close,volume,average,barCount
2020-07-13,62.7,63.72,59.88,60.11,2890459.985430326,62.1932916,19559
2020-07-14,59.91,63.74,59.81,63.7,2801880.528671038,62.4056505,16891
2020-07-15,65.31,66.18,64.05,65.65,2822449.7866583415,65.1826515,18655
2020-07-16,65.21,67.31,64.97,67.08,2492293.683005516,66.7277787,15875
2020-07-17,67.98,68.88,66.54,66.88,2373253.200124883,67.4446101,15004
2020-07-20,66.42,66.54,65.21,66.16,1512441.4611301906,65.8639296,10286
2020-07-21,66.32,66.72,64.74,65.68,1827098.553439484,65.5612461,12494
2020-07-22,65.65,68.41,65.57,68.16,2158540.9511915916,67.7040531,13566
2020-07-23,69.02,70.87,66.3,67.34,2988237.0694140913,68.7879483,16876
2020-07-24,67.14,67.64,65.77,67.06,1567921.7400353835,66.9439812,9743
2020-07-27,67.56,70.26,67.2,70.17,2658997.814548861,69.261672,16738
2020-07-28,70.67,71.41,67.47,67.63,2639109.168487876,69.1646211,17086
2020-07-29,68.02,70.09,67.96,69.84,1574309.5015090022,69.501897,11521
2020-07-30,68.47,70.2,68.35,69.45,1075403.267769799,69.4894053,6990
2020-07-31,69.55,69.66,68.04,69.52,1107901.9669060258,68.8090881,7606
2020-08-03,70.01,70.91,69.43,70.72,1313274.0139452596,70.385925,9107
2020-08-04,70.34,71.04,69.67,69.89,1049364.1377874909,70.2734997,7586
2020-08-05,70.31,71.15,69.58,70.68,734837.1318555521,70.6540161,5325
2020-08-06,70.91,71.44,70.2,70.42,918231.8659589968,70.6078929,6551
2020-08-07,70.13,70.54,69.12,70.38,1222265.584348007,69.8324466,8161
2020-08-10,70.55,73.69,70.49,71.59,2343293.7870746176,72.6007995,15427
2020-08-11,72.24,72.52,70.46,70.69,1987203.6632323863,71.5466922,11218
2020-08-12,71.39,71.51,70.41,71.39,2043773.5456343014,70.9307553,14117
2020-08-13,71.08,72.1,70.6,71.66,974488.5003642419,71.5745583,6799
2020-08-14,71.21,71.72,70.87,71.35,718025.8091372672,71.2305561,4887
2020-08-17,71.93,74.49,71.65,74.06,1957850.9730461028,73.5645822,11862
2020-08-18,75.39,75.52,74.02,74.15,1643500.8845873661,74.6830698,11594
2020-08-19,73.85,74.26,73.16,73.81,1059026.953897388,73.7634885,6874
2020-08-20,73.14,75.09,72.65,73.93,990981.3716307629,74.2708437,6546
2020-08-21,73.85,76.53,73.26,76.26,2659881.3612238527,75.151989,13527
2020-08-24,76.87,76.87,75.06,75.67,1238271.4122177127,75.5738241,7738
2020-08-25,76.17,76.17,74.2,74.93,1101281.0906441878,74.8790934,7330
2020-08-26,75.32,75.83,74.1,74.13,1081982.5163908836,74.8656408,6815
2020-08-27,74.49,75.22,72.8,72.84,1319763.7631387243,73.5511296,8965
2020-08-28,73.11,74.34,72.69,72.96,1020566.1359142471,73.2753513,7361
2020-08-31,72.62,73.0,71.32,71.89,1187895.7227599127,72.2154786,7977
2020-09-01,71.97,75.11,71.4,75.08,1594947.445103549,74.1555357,10100
2020-09-02,75.44,75.66,73.37,75.31,1585121.2405036946,74.8906242,11092
