date,open,high,low,close,volume,average,barCount
2020-07-13,163.68,165.3,161.41,162.43,971557.0,163.411,6699
2020-07-14,162.09,162.71,158.77,162.36,834142.0,161.014,6402
2020-07-15,165.84,168.83,165.11,166.83,745434.0,167.407,5978
2020-07-16,165.41,168.2,164.01,167.03,742104.0,166.445,5549
2020-07-17,167.75,171.42,167.3,169.96,1023760.0,169.624,7428
2020-07-20,169.43,169.95,165.84,167.1,730015.0,167.059,5191
2020-07-21,169.25,170.67,168.38,168.89,693197.0,169.454,4980
2020-07-22,168.32,174.09,167.65,173.34,602776.0,172.066,4242
2020-07-23,173.41,174.92,171.76,172.67,449468.0,173.278,3534
2020-07-24,172.41,175.0,169.21,171.24,820765.0,170.943,5686
2020-07-27,170.51,171.6,166.92,167.55,576831.0,168.164,4030
2020-07-28,167.01,173.03,166.88,171.4,672805.0,171.598,4562
2020-07-29,172.03,173.65,170.9,173.0,684379.0,172.494,5403
2020-07-30,171.76,174.17,171.05,173.23,751373.0,172.98,5575
2020-07-31,172.8,174.65,166.84,168.33,1501753.0,168.669,9471
2020-08-03,169.99,170.62,167.8,167.88,1365994.0,169.155,9327
2020-08-04,168.78,169.63,166.43,167.29,988837.0,167.609,7143
2020-08-05,168.33,173.05,168.25,172.14,1294223.0,171.47,9037
2020-08-06,171.35,173.67,171.11,173.67,1083041.0,172.715,4759
2020-08-07,173.84,176.99,173.4,175.64,959098.0,175.306,7516
2020-08-10,175.53,180.0,175.4,179.18,900458.0,178.661,7315
2020-08-11,182.32,185.75,180.58,180.64,1232599.0,183.036,9177
2020-08-12,183.31,185.45,181.3,183.07,1282338.0,183.827,10060
2020-08-13,181.13,184.58,180.15,180.97,908795.0,182.078,6718
2020-08-14,178.68,183.24,178.16,182.58,747289.0,181.827,4832
2020-08-17,182.84,185.16,180.95,181.55,832672.0,182.379,6380
2020-08-18,181.55,182.64,179.72,180.98,588366.0,181.008,4388
2020-08-19,180.42,182.2,179.99,181.18,668377.0,181.29,4243
2020-08-20,180.26,181.66,178.69,178.96,633359.0,179.818,4172
2020-08-21,178.28,180.3,178.0,178.59,770892.0,179.064,5790
2020-08-24,179.33,182.96,178.12,182.53,520370.0,181.728,4053
2020-08-25,183.6,185.18,181.0,181.02,747717.0,182.117,5086
2020-08-26,180.14,180.3,178.5,179.3,985344.0,179.481,7260
2020-08-27,180.04,182.72,179.68,181.17,811154.0,181.704,6102
2020-08-28,181.72,181.75,179.25,179.89,728681.0,180.134,4715
2020-08-31,179.96,181.64,179.38,180.74,752290.0,180.809,5801
2020-09-01,179.54,180.25,177.15,177.72,881847.0,178.414,6757
2020-09-02,177.85,183.73,177.18,182.94,907655.0,180.536,7040
2020-09-03,184.0,186.87,180.93,182.11,859771.0,182.992,6713
2020-09-04,184.48,185.81,181.43,181.73,868101.0,183.329,6650
2020-09-08,180.39,182.9,178.61,179.61,871031.0,181.099,6869
2020-09-09,180.53,182.95,178.38,180.84,546502.0,180.943,4336
2020-09-10,181.4,182.68,175.62,176.4,872828.0,178.054,6848
2020-09-11,176.95,181.6,176.87,181.03,747650.0,180.394,5743
2020-09-14,181.72,182.55,180.53,181.63,413816.0,181.769,3081
2020-09-15,182.45,182.5,178.11,178.78,482508.0,179.806,4049
2020-09-16,179.09,184.87,178.14,182.18,885767.0,182.065,6285
2020-09-17,180.61,185.98,179.76,185.44,667320.0,184.72,5239
2020-09-18,184.33,187.7,184.31,185.21,1016712.0,185.38,5862
2020-09-21,181.5,183.15,176.8,177.58,1131976.0,178.655,7027
2020-09-22,177.01,181.69,177.01,180.75,647956.0,179.966,5095
2020-09-23,181.52,183.87,177.5,178.13,625767.0,180.067,3901
2020-09-24,177.62,177.85,172.63,175.74,786406.0,175.047,4820
2020-09-25,174.84,178.58,174.82,178.02,348412.0,176.95,2661
2020-09-28,179.81,181.18,178.35,178.63,366275.0,179.84,2939
2020-09-29,178.33,178.33,175.43,175.75,548342.0,176.468,4079
2020-09-30,174.48,175.62,168.39,169.84,1697088.0,172.448,10600
2020-10-01,172.0,174.89,171.47,172.69,1098353.0,173.167,8381
2020-10-02,170.7,174.15,169.98,173.07,548823.0,172.122,3760
2020-10-05,174.41,175.87,172.46,174.4,453601.0,174.185,3473
2020-10-06,175.64,177.33,173.65,173.96,573731.0,175.11,4307
2020-10-07,174.88,177.39,174.8,175.4,539114.0,175.746,3749
2020-10-08,175.4,178.14,175.0,178.14,487167.0,176.511,3574
2020-10-09,179.11,179.49,174.48,175.45,647670.0,176.101,4525
2020-10-12,175.52,175.84,174.27,175.04,776126.0,175.036,4617
2020-10-13,174.13,175.49,173.56,174.41,584154.0,174.628,4177
2020-10-14,174.62,177.38,174.3,176.35,403475.0,176.376,3227
2020-10-15,175.11,176.02,172.92,173.47,684602.0,173.928,4676
2020-10-16,174.46,175.41,174.16,174.37,687750.0,174.666,3751
2020-10-19,174.83,176.47,170.9,171.43,517123.0,173.236,4059
2020-10-20,173.0,173.32,170.13,171.21,532672.0,171.719,3827
2020-10-21,170.85,172.25,169.81,169.81,527350.0,170.879,3708
2020-10-22,170.1,172.0,169.51,169.6,588844.0,170.157,3959
2020-10-23,171.19,172.88,169.81,171.8,724636.0,171.45,5367
2020-10-26,170.37,170.51,167.15,169.83,988869.0,168.862,3751
2020-10-27,169.19,170.03,166.19,166.26,764065.0,167.914,3528
2020-10-28,164.56,166.19,161.13,161.32,762679.0,163.185,4840
2020-10-29,160.65,163.54,160.18,162.95,729346.0,161.956,4882
2020-10-30,163.0,164.4,158.09,161.11,1338442.0,160.011,8266
2020-11-02,164.24,171.95,163.82,170.4,1277573.0,169.656,7994
