date,open,high,low,close,volume,average,barCount
2020-07-13,152.92,157.17,150.84,153.14,948098.0095448724,154.5752857,6398
2020-07-14,155.92,161.45,153.88,161.37,943723.6642998486,158.8441536,6109
2020-07-15,163.23,163.98,159.94,162.16,633447.7942032359,162.0649195,4148
2020-07-16,161.73,166.67,160.88,163.62,421815.85380048887,163.4334658,2650
2020-07-17,164.67,167.37,164.67,166.36,514511.69828890695,166.0142022,2721
2020-07-20,166.67,168.63,165.28,167.94,433827.26108718425,167.0597269,2628
2020-07-21,168.28,169.96,168.05,169.08,444533.8144569899,168.993561,2673
2020-07-22,169.72,172.4,169.29,171.88,630251.4259108369,170.7761935,3974
2020-07-23,171.22,173.44,169.39,170.75,481304.85391688976,171.1456065,2872
2020-07-24,170.0,171.13,166.73,170.74,629089.7450820626,169.4531795,4047
2020-07-27,170.05,173.23,169.33,172.94,727697.5905016878,172.0966302,3909
2020-07-28,174.41,177.61,167.56,168.85,1226922.3606099405,170.1292912,7119
2020-07-29,170.27,171.39,166.82,167.19,725058.7824467466,168.3861773,5238
2020-07-30,166.14,167.81,164.49,167.39,509831.2187172622,166.3088735,3102
2020-07-31,167.14,167.6,162.85,165.74,434866.7209870795,164.6611197,2962
2020-08-03,165.44,170.14,165.19,168.4,372961.23850541265,168.4360051,2702
2020-08-04,167.69,168.72,165.8,167.33,327791.87521825166,167.2710655,2385
2020-08-05,168.22,168.87,165.81,166.25,441346.7582353626,166.8913433,2830
2020-08-06,166.01,166.99,161.85,163.03,585860.7845419624,163.3827789,4173
2020-08-07,162.48,165.9,162.48,165.9,580187.4054242813,164.4532175,3897
2020-08-10,165.56,166.12,160.81,160.98,536038.877895472,162.2470487,4015
2020-08-11,161.17,162.99,156.41,159.9,710264.230008148,160.2152772,4656
2020-08-12,160.72,162.54,159.5,161.6,364455.82586427656,160.918021,2103
2020-08-13,160.8,163.83,159.72,163.74,343225.4685135607,162.9747064,2415
2020-08-14,163.58,164.19,161.92,163.09,313344.19741590036,162.997043,2275
2020-08-17,163.71,163.99,159.6,161.3,684340.5889884763,161.7376024,4169
2020-08-18,161.42,162.41,159.38,160.24,344034.4546618554,160.2599504,2382
2020-08-19,161.22,161.23,156.55,156.97,504553.6026073798,157.9094528,3423
2020-08-20,156.04,159.23,155.82,156.08,435719.93947154,157.2565368,2660
2020-08-21,156.08,156.6,154.51,155.17,568092.1895006401,155.3347301,3185
2020-08-24,155.81,155.91,152.69,153.84,414664.1834477942,153.8545008,2961
2020-08-25,153.61,154.66,152.03,154.27,510256.08194622275,153.7144675,3349
2020-08-26,153.64,154.31,151.86,154.03,479789.31439878943,153.1680799,3548
2020-08-27,149.44,153.1,146.09,149.71,2421397.9746246072,149.5830556,14754
2020-08-28,149.9,152.57,148.07,152.41,920756.6057502037,151.1440403,5913
2020-08-31,151.66,152.68,150.97,150.99,449650.7973460598,151.4584709,3337
2020-09-01,150.9,152.68,148.12,149.58,682914.678151554,149.4112356,3693
2020-09-02,150.34,152.71,148.66,151.99,398260.97078337794,151.6698095,2572
2020-09-03,152.44,153.24,148.25,150.1,495758.35176347336,149.9464549,3613
2020-09-04,150.55,152.29,147.1,150.96,529776.5103014783,150.2849403,3882
2020-09-08,150.27,151.2,147.06,149.25,500927.71505063435,149.8055625,3551
2020-09-09,150.28,152.37,148.63,150.96,575461.5295076242,150.9129424,3405
2020-09-10,152.08,158.46,151.72,156.0,1227290.1874054242,156.9799066,5970
2020-09-11,157.49,157.49,154.36,155.9,307724.36270515656,155.6921157,2228
2020-09-14,156.11,158.08,155.18,157.33,322580.60761261784,157.0254389,2120
2020-09-15,158.08,162.21,157.58,159.72,413574.67116750084,160.5090894,2839
2020-09-16,161.12,161.36,158.62,159.2,472396.694214876,159.7642497,3038
2020-09-17,157.93,157.93,155.33,157.27,382457.2226748923,156.7092901,2414
2020-09-18,156.95,158.53,155.35,157.56,357067.861715749,157.2384957,2114
2020-09-21,155.15,159.08,153.43,158.36,425751.36771039455,157.6182179,3127
2020-09-22,157.6,160.05,156.48,158.85,338379.6996857176,158.5374549,2454
2020-09-23,158.59,158.59,153.19,153.5,459864.9749738098,155.0048357,3171
2020-09-24,153.18,154.71,151.62,152.79,278072.40135025023,152.9954008,2131
2020-09-25,152.71,156.23,151.95,155.49,277861.71574903966,154.2651506,1974
2020-09-28,157.26,159.98,157.26,158.13,275018.0421371202,158.7891712,1645
2020-09-29,159.18,162.06,158.32,160.2,424359.2131300198,159.8484415,2709
2020-09-30,159.78,163.09,159.65,161.74,400382.9589104877,161.5331366,3090
2020-10-01,162.47,164.49,159.69,160.57,301396.8106157607,161.4291855,1713
2020-10-02,158.5,163.14,157.57,161.5,288695.14608311024,161.4498039,1649
2020-10-05,162.99,166.92,162.89,165.86,283326.73728320334,165.9033783,1879
2020-10-06,166.06,168.35,164.15,164.18,216711.67500873006,166.1645447,1421
2020-10-07,165.49,167.24,164.91,165.39,357170.29449423816,165.7478812,2422
2020-10-08,166.34,167.33,164.35,166.89,203391.9217786055,166.0408343,1499
2020-10-09,167.95,169.12,166.95,168.18,235289.2561983471,168.1610931,1607
2020-10-12,168.91,169.29,166.16,166.36,192098.70795018043,167.6662515,1333
2020-10-13,165.04,168.01,164.28,166.88,317610.28983820276,166.8612748,2132
2020-10-14,167.54,169.32,164.56,165.69,252559.65545338145,166.1851631,1615
2020-10-15,164.36,166.57,163.23,165.58,295505.76184379,165.488433,1964
