date,open,high,low,close,volume,average,barCount
2020-07-13,227.92,230.89,225.78,225.82,786612.0,228.43,5792
2020-07-14,225.73,233.89,225.49,233.13,1238545.0,230.245,9424
2020-07-15,240.66,241.18,235.6,237.63,1752781.0,238.773,13148
2020-07-16,245.17,245.52,237.47,238.89,2216937.0,241.216,16816
2020-07-17,241.32,243.67,240.98,242.6,1032476.0,242.124,7241
2020-07-20,242.56,243.88,239.84,240.32,1253106.0,241.511,9319
2020-07-21,243.7,245.99,243.01,244.0,930266.0,244.451,6677
2020-07-22,244.55,246.35,242.36,245.34,768386.0,244.833,5604
2020-07-23,245.61,248.25,244.6,245.98,547898.0,246.219,4415
2020-07-24,242.99,244.86,242.53,244.07,747897.0,243.461,5823
2020-07-27,246.05,248.88,245.24,246.86,814002.0,246.961,6223
2020-07-28,247.11,247.59,243.58,243.7,1040168.0,245.463,8367
2020-07-29,244.83,245.62,243.64,244.71,1101042.0,244.749,8554
2020-07-30,240.82,242.98,237.05,242.02,898010.0,240.969,6924
2020-07-31,246.84,247.1,241.45,245.11,1072694.0,244.545,8126
2020-08-03,247.6,248.11,244.09,244.31,1172112.0,246.138,9335
2020-08-04,242.45,245.5,242.03,243.85,1099481.0,244.063,8481
2020-08-05,247.5,251.36,246.76,248.27,1174880.0,249.432,8829
2020-08-06,247.47,248.0,244.66,246.66,949066.0,246.608,7719
2020-08-07,244.78,245.67,243.69,245.31,727881.0,244.776,6114
2020-08-10,242.89,243.99,241.7,243.34,635992.0,242.919,4929
2020-08-11,247.58,248.24,244.49,244.85,639008.0,246.431,5278
2020-08-12,247.91,251.0,247.36,248.63,681982.0,248.944,4873
2020-08-13,247.28,249.92,247.21,249.24,462486.0,248.846,3656
2020-08-14,247.89,249.55,247.38,248.5,429484.0,248.364,3362
2020-08-17,249.64,250.58,247.49,248.43,530206.0,248.732,3985
2020-08-18,249.74,250.25,246.01,246.88,523982.0,247.477,4182
2020-08-19,248.27,249.32,246.6,247.24,583561.0,247.793,4567
2020-08-20,244.33,245.7,243.79,245.31,1319766.0,244.542,7452
2020-08-21,240.44,244.93,240.24,244.3,885942.0,242.784,6245
2020-08-24,250.83,250.88,248.63,248.91,768803.0,249.493,5794
2020-08-25,250.44,251.38,249.26,250.08,469274.0,250.195,3701
2020-08-26,249.71,254.25,249.04,252.88,414059.0,252.28,3272
2020-08-27,253.76,254.01,250.14,250.93,602144.0,251.845,4532
2020-08-28,251.7,254.08,250.75,253.57,522848.0,252.742,4326
2020-08-31,251.54,253.26,249.17,249.74,823060.0,250.812,6563
2020-09-01,249.97,257.05,248.55,256.94,1171341.0,253.526,9295
2020-09-02,257.59,260.49,255.66,260.23,1247524.0,258.21,9595
2020-09-03,259.12,259.14,247.36,250.45,1221588.0,251.441,9851
2020-09-04,251.1,251.96,243.49,247.7,1201007.0,247.102,9617
2020-09-08,243.71,245.95,241.89,243.05,848378.0,244.204,6750
2020-09-09,245.89,253.58,245.85,251.15,783054.0,250.423,6274
2020-09-10,253.32,254.61,247.0,247.29,566794.0,250.576,4769
2020-09-11,249.9,251.43,248.71,250.17,565505.0,250.248,4483
2020-09-14,251.76,253.64,250.58,251.25,645798.0,251.911,5226
2020-09-15,252.1,254.27,250.71,250.73,642449.0,251.979,4881
2020-09-16,250.3,251.89,248.44,248.84,860533.0,250.207,7024
2020-09-17,247.0,250.53,245.9,250.39,814061.0,248.391,6005
2020-09-18,249.32,250.61,245.25,246.1,1304967.0,247.83,7767
2020-09-21,239.26,240.61,234.87,238.44,1226476.0,237.376,8916
2020-09-22,237.86,238.68,236.17,238.23,1257611.0,237.763,10224
2020-09-23,238.13,238.37,232.87,233.15,923307.0,235.847,7399
2020-09-24,233.41,235.48,231.7,234.5,791706.0,233.557,6327
2020-09-25,228.96,233.67,228.47,232.75,1397636.0,231.398,9635
2020-09-28,237.91,238.9,236.4,237.05,653372.0,237.634,5283
2020-09-29,237.6,239.29,236.27,236.43,641424.0,237.317,5091
2020-09-30,235.65,240.02,235.65,238.13,1120771.0,237.98,8495
2020-10-01,236.58,238.37,232.09,232.7,1451183.0,235.023,11515
2020-10-02,229.12,234.98,229.12,232.15,1285741.0,232.76,9617
2020-10-05,234.43,236.65,234.24,235.09,916862.0,235.226,7010
2020-10-06,236.13,237.81,231.78,232.08,949769.0,235.044,7434
2020-10-07,234.41,240.01,234.36,238.95,933090.0,237.727,7678
2020-10-08,238.87,240.38,237.09,237.75,1066233.0,238.097,8173
2020-10-09,239.16,241.33,238.81,239.94,1160676.0,239.885,8521
2020-10-12,241.74,242.83,239.94,240.26,610215.0,241.117,4741
2020-10-13,238.51,239.09,234.87,235.98,890304.0,236.93,6970
2020-10-14,236.49,236.61,234.1,234.86,634212.0,235.453,5126
2020-10-15,229.08,230.71,228.0,229.6,1461437.0,229.284,9825
2020-10-16,231.1,234.43,230.56,233.08,1083311.0,232.782,7743
2020-10-19,233.98,234.42,229.43,229.87,551419.0,231.771,4393
2020-10-20,231.49,234.14,230.98,233.24,938005.0,232.927,7455
2020-10-21,232.48,235.61,230.72,230.91,868647.0,233.086,6365
2020-10-22,229.67,234.08,228.46,233.2,977453.0,231.808,7218
2020-10-23,236.4,236.93,233.76,234.27,827781.0,235.257,5568
2020-10-26,231.14,231.49,226.28,227.99,789394.0,228.207,5806
2020-10-27,226.34,228.55,225.18,225.47,783965.0,226.873,6099
2020-10-28,218.23,220.5,216.14,216.91,1410202.0,218.096,10340
2020-10-29,215.76,221.59,214.14,219.84,1416190.0,219.009,10830
2020-10-30,219.13,220.9,217.28,220.34,1332067.0,218.984,10465
