date,open,high,low,close,volume,average,barCount
2020-07-13,25.85,26.49,25.54,25.7,919159.0,25.996,6096
2020-07-14,25.43,26.02,25.26,26.0,1506380.0,25.819,10308
2020-07-15,26.81,28.7,26.31,28.47,3038211.0,28.092,16388
2020-07-16,28.18,28.63,28.03,28.45,1934212.0,28.377,12062
2020-07-17,28.42,28.77,27.95,28.49,2379449.0,28.457,13670
2020-07-20,28.36,28.36,27.5,27.64,1039264.0,27.732,6873
2020-07-21,27.8,28.4,27.71,27.95,939191.0,28.084,6321
2020-07-22,27.95,28.71,27.75,28.51,1196735.0,28.426,8062
2020-07-23,28.87,28.87,27.95,28.16,1895679.0,28.436,10209
2020-07-24,28.11,28.39,27.76,27.96,1735904.0,28.049,10404
2020-07-27,28.02,28.26,27.28,27.73,1958708.0,27.624,12050
2020-07-28,27.46,27.75,27.32,27.41,1544321.0,27.525,11243
2020-07-29,27.5,28.43,27.43,28.38,1933825.0,28.124,11839
2020-07-30,28.18,29.63,27.44,29.21,3801727.0,29.012,21736
2020-07-31,29.32,29.35,27.66,28.19,2042157.0,28.089,14307
2020-08-03,28.17,28.8,27.88,28.66,2375218.0,28.365,12765
2020-08-04,28.78,29.1,28.64,28.8,1599452.0,28.82,9322
2020-08-05,28.85,30.16,28.73,30.01,2566411.0,29.542,15355
2020-08-06,29.78,30.22,29.51,30.05,2565112.0,30.002,12815
2020-08-07,29.9,30.2,29.73,30.14,1489487.0,30.038,9703
2020-08-10,30.22,30.92,30.18,30.76,1087612.0,30.681,7053
2020-08-11,31.05,31.79,31.05,31.46,2652975.0,31.497,16232
2020-08-12,31.97,32.7,31.44,32.31,4454327.0,32.281,21016
2020-08-13,32.07,32.27,31.16,31.33,1596343.0,31.638,10648
2020-08-14,31.21,31.72,30.88,31.49,940339.0,31.505,6462
2020-08-17,31.66,31.79,31.23,31.33,1228064.0,31.338,8232
2020-08-18,31.36,31.48,31.01,31.05,1322922.0,31.156,7277
2020-08-19,31.1,31.59,30.8,31.34,1159028.0,31.337,6889
2020-08-20,30.96,31.21,30.83,30.95,1103620.0,31.058,7608
2020-08-21,30.91,31.01,30.58,30.92,1546223.0,30.784,7536
2020-08-24,31.29,31.69,30.92,31.65,800589.0,31.516,5617
2020-08-25,31.87,31.97,31.19,31.74,1900297.0,31.537,11460
2020-08-26,31.63,31.96,31.56,31.86,1166904.0,31.794,8731
2020-08-27,32.05,32.27,31.72,31.76,1684318.0,31.92,10911
2020-08-28,31.84,32.63,31.7,32.62,1391252.0,32.338,10230
2020-08-31,32.54,32.56,31.64,31.74,1527537.0,31.905,11550
2020-09-01,31.48,31.85,31.12,31.82,1657924.0,31.665,10270
2020-09-02,32.05,33.24,31.96,33.19,1854981.0,32.827,11353
2020-09-03,33.29,33.42,31.41,31.61,1623752.0,31.947,11606
2020-09-04,32.05,32.18,31.15,31.8,1431908.0,31.697,10810
2020-09-08,31.95,32.78,31.28,32.12,2843085.0,32.312,18817
2020-09-09,32.32,32.53,31.68,31.74,2643362.0,31.936,15561
2020-09-10,31.46,32.19,30.99,31.31,3027827.0,31.427,17947
2020-09-11,32.33,32.7,31.8,32.16,1938095.0,32.216,14936
2020-09-14,32.37,32.62,31.77,32.34,2064539.0,32.109,14921
2020-09-15,32.33,32.53,31.64,31.85,2487951.0,31.883,17710
2020-09-16,32.13,32.13,31.42,31.65,2201458.0,31.619,14241
2020-09-17,31.16,31.66,30.79,31.61,1532436.0,31.447,12436
2020-09-18,31.48,32.14,30.88,31.03,1873321.0,31.41,13658
2020-09-21,30.15,30.29,28.72,28.92,1878549.0,29.052,13583
2020-09-22,29.2,29.41,28.17,28.48,2670937.0,28.651,17403
2020-09-23,28.57,28.84,27.87,27.89,3032648.0,28.238,17747
2020-09-24,27.73,28.01,27.06,27.2,1909758.0,27.424,14102
2020-09-25,27.0,27.31,26.72,27.08,2970075.0,26.969,21197
2020-09-28,27.7,28.49,27.6,28.26,1365392.0,28.251,10574
2020-09-29,28.21,28.26,27.62,27.65,1259648.0,27.904,8285
