date,open,high,low,close,volume,average,barCount
2020-07-13,353.6,357.02,348.6,353.06,1390446.0,353.53,9392
2020-07-14,349.13,355.92,349.0,355.66,1104982.0,352.472,7382
2020-07-15,361.64,365.58,360.56,364.56,920466.0,363.599,7030
2020-07-16,362.3,365.94,359.02,365.88,583438.0,363.766,4091
2020-07-17,366.3,369.0,362.85,368.5,673663.0,366.684,4593
2020-07-20,369.0,369.0,362.42,365.53,858840.0,366.291,6527
2020-07-21,378.88,378.9,370.58,375.12,1256264.0,374.897,8278
2020-07-22,376.71,394.67,375.61,394.08,1521099.0,388.476,9879
2020-07-23,393.77,394.15,385.71,387.62,901904.0,390.291,6211
2020-07-24,388.0,393.49,383.61,386.21,721936.0,387.064,4811
2020-07-27,384.73,385.99,380.11,382.09,580833.0,381.91,3936
2020-07-28,382.0,390.21,382.0,386.66,709527.0,387.849,5271
2020-07-29,389.56,390.48,384.63,387.3,525595.0,387.531,3841
2020-07-30,382.71,385.85,380.86,381.72,578846.0,383.172,4040
2020-07-31,380.56,381.37,373.67,378.97,595625.0,376.971,4176
2020-08-03,376.84,378.41,371.44,377.1,513866.0,376.363,3741
2020-08-04,379.08,380.85,376.29,377.99,506020.0,378.194,3667
2020-08-05,380.0,384.87,378.27,383.5,564206.0,382.547,4277
2020-08-06,381.78,383.19,378.09,379.74,389032.0,379.88,2744
2020-08-07,380.01,386.66,378.76,385.62,524529.0,383.701,3873
2020-08-10,386.02,391.11,385.96,389.26,482401.0,389.031,3640
2020-08-11,391.51,399.49,391.33,391.96,788536.0,395.632,5069
2020-08-12,394.02,396.52,391.29,392.44,487213.0,393.564,3411
2020-08-13,390.35,394.05,387.0,389.24,539439.0,390.394,3812
2020-08-14,388.64,394.2,388.02,391.42,332241.0,391.491,2158
2020-08-17,393.98,395.19,387.73,388.96,377088.0,390.459,2571
2020-08-18,389.17,391.91,388.34,390.26,407995.0,390.005,2748
2020-08-19,390.08,391.97,388.84,390.05,320158.0,390.47,2507
2020-08-20,388.28,389.2,383.57,387.88,650907.0,386.177,4626
2020-08-21,387.71,390.79,386.85,389.57,377440.0,388.449,2403
2020-08-24,390.83,395.57,389.9,395.04,544108.0,393.493,3520
2020-08-25,395.72,402.38,392.4,394.84,528853.0,395.084,3753
2020-08-26,393.0,397.66,390.56,395.44,437040.0,394.592,2955
2020-08-27,396.84,400.09,394.88,395.02,307936.0,396.723,2019
2020-08-28,395.51,396.0,391.73,395.59,349127.0,393.748,2471
2020-08-31,392.17,395.0,388.47,390.26,404712.0,390.46,3129
2020-09-01,387.82,389.19,385.0,386.81,503292.0,386.851,3344
2020-09-02,385.15,398.9,384.11,398.07,705603.0,393.553,5048
2020-09-03,399.5,401.88,383.38,386.29,757773.0,389.991,5368
2020-09-04,388.51,391.55,379.58,385.02,458168.0,385.204,2942
2020-09-08,383.99,385.29,378.36,380.23,551084.0,381.577,4074
2020-09-09,382.69,389.42,381.01,385.24,451925.0,385.526,3137
2020-09-10,386.02,388.54,378.33,379.11,313743.0,382.469,2166
2020-09-11,381.47,390.5,380.75,389.45,509376.0,387.329,3189
2020-09-14,393.37,396.67,391.62,393.75,515824.0,394.273,4025
2020-09-15,395.65,396.0,386.89,392.55,436178.0,391.89,2845
2020-09-16,391.11,399.6,390.93,395.58,462686.0,396.129,3396
2020-09-17,392.0,398.55,389.54,395.94,456525.0,396.026,3463
2020-09-18,394.15,399.0,394.15,395.14,769749.0,396.162,4382
2020-09-21,388.5,389.87,377.23,379.61,782669.0,380.312,5370
2020-09-22,381.88,392.48,381.34,388.42,670435.0,387.59,4642
2020-09-23,389.23,394.43,381.99,383.24,605113.0,388.498,4371
2020-09-24,383.25,384.49,375.09,378.76,618266.0,379.869,4408
2020-09-25,377.45,388.4,376.45,386.7,884622.0,382.885,5589
2020-09-28,390.0,396.61,389.65,390.51,524488.0,392.675,3778
2020-09-29,389.61,393.15,387.51,388.74,431661.0,389.95,3259
2020-09-30,389.47,389.76,380.51,383.28,637681.0,385.538,4441
2020-10-01,384.0,390.0,379.0,380.89,597265.0,382.744,4406
2020-10-02,376.0,383.48,374.28,380.58,658502.0,378.947,5071
2020-10-05,383.24,385.89,378.86,383.96,377711.0,382.72,2821
2020-10-06,386.03,386.11,376.02,376.46,480171.0,381.541,3399
2020-10-07,378.6,383.84,378.56,382.94,421390.0,381.292,3295
2020-10-08,383.9,389.19,382.27,388.59,321711.0,386.61,2202
2020-10-09,388.41,390.1,385.29,385.93,338253.0,387.033,2334
2020-10-12,386.42,390.51,383.26,388.92,426398.0,388.56,3102
2020-10-13,386.14,390.56,385.12,388.95,547790.0,388.343,4325
2020-10-14,387.14,395.46,387.14,390.72,628623.0,392.469,4324
2020-10-15,387.33,388.87,383.22,386.12,412060.0,385.556,2896
2020-10-16,388.49,389.78,386.09,386.5,441992.0,387.796,2825
2020-10-19,387.24,389.6,381.67,383.71,560367.0,385.519,4245
2020-10-20,382.59,385.79,371.8,372.21,1033806.0,377.124,7324
2020-10-21,372.21,375.0,365.0,367.14,1102330.0,368.36,7990
2020-10-22,367.5,371.11,365.15,368.96,786913.0,368.582,5506
2020-10-23,371.34,376.19,369.01,374.33,720270.0,372.655,3996
2020-10-26,369.43,369.87,362.5,368.55,750300.0,366.044,5136
2020-10-27,367.0,367.98,360.8,362.43,556262.0,363.277,3970
2020-10-28,355.53,360.0,350.45,350.86,1000483.0,355.067,6403
2020-10-29,350.0,356.23,348.29,352.44,902689.0,351.606,6240
2020-10-30,350.64,353.73,345.65,350.13,705039.0,348.417,5008
2020-11-02,356.12,359.91,350.72,352.42,1001931.0,354.21,6045
2020-11-03,357.13,366.2,356.21,363.44,848925.0,363.538,6144
2020-11-04,371.07,381.46,369.51,372.16,1230689.0,376.905,8757
2020-11-05,374.55,376.5,363.77,364.7,1031216.0,368.818,6843
2020-11-06,363.3,363.73,357.95,361.27,829972.0,360.502,5881
2020-11-09,379.6,381.52,363.73,363.95,1104046.0,369.506,7904
2020-11-10,365.0,373.44,363.94,371.28,1063712.0,370.07,7617
2020-11-11,372.87,373.33,365.68,369.28,650354.0,368.684,4628
2020-11-12,367.5,370.57,365.51,367.89,467066.0,367.712,3306
2020-11-13,370.57,376.0,369.23,375.14,497431.0,373.071,3352
2020-11-16,378.05,380.69,376.08,377.13,718814.0,377.837,5293
2020-11-17,375.66,380.48,375.25,375.9,633300.0,377.3,4607
2020-11-18,377.49,383.47,376.24,377.56,627981.0,379.47,4569
2020-11-19,375.0,377.75,372.17,376.46,587892.0,374.836,4303
2020-11-20,375.97,377.24,367.62,368.02,589316.0,370.763,4237
2020-11-23,371.54,374.53,369.86,370.85,410948.0,371.593,2893
2020-11-24,375.28,378.48,373.06,378.48,487722.0,376.491,3514
2020-11-25,377.09,381.95,376.23,378.34,402835.0,379.056,2997
2020-11-27,378.81,378.81,373.45,374.34,331033.0,375.124,2338
2020-11-30,370.79,372.44,363.39,365.0,800905.0,367.54,5116
2020-12-01,368.47,373.29,364.87,364.99,718849.0,368.403,5406
2020-12-02,364.99,365.99,360.01,361.36,1471661.0,361.913,9150
2020-12-03,362.12,369.5,360.96,362.03,994087.0,364.646,6990
2020-12-04,363.12,367.73,362.11,366.61,670143.0,365.973,4437
2020-12-07,366.19,366.38,360.54,362.13,795443.0,361.75,5420
2020-12-08,360.98,363.17,358.83,359.23,863442.0,360.679,6509
2020-12-09,359.85,362.59,356.94,361.35,842387.0,359.13,5944
2020-12-10,359.52,364.22,355.19,355.39,798602.0,357.641,5869
2020-12-11,354.55,363.12,354.19,361.71,719759.0,359.335,4806
2020-12-14,363.5,365.62,357.44,357.66,749473.0,361.147,4933
2020-12-15,358.73,359.89,355.44,357.57,755628.0,357.783,5254
2020-12-16,357.25,357.9,353.65,354.57,1164259.0,355.371,7642
2020-12-17,355.93,357.66,351.88,352.6,988676.0,354.19,6896
2020-12-18,352.04,356.79,350.01,356.03,1293547.0,352.794,7690
2020-12-21,353.16,353.94,346.6,349.35,1111275.0,350.214,7377
2020-12-22,349.35,350.62,347.38,347.92,957671.0,348.906,7033
2020-12-23,349.95,355.0,349.4,351.6,740615.0,353.224,4880
2020-12-24,352.83,354.06,350.4,351.97,302806.0,351.861,2025
2020-12-28,353.11,357.82,351.71,354.18,636111.0,354.054,4026
2020-12-29,356.0,357.35,351.8,353.9,605615.0,354.606,3587
2020-12-30,353.0,356.61,353.0,354.16,444047.0,354.562,2634
2020-12-31,353.82,356.03,352.23,354.98,591114.0,354.406,4059
2021-01-04,354.98,354.98,341.06,344.64,1041882.0,345.878,6495
2021-01-05,344.64,351.19,343.3,348.79,791824.0,347.595,5116
2021-01-06,343.0,351.92,342.78,348.03,1169597.0,346.394,8037
2021-01-07,344.36,347.85,341.33,342.55,1240922.0,343.276,7444
2021-01-08,341.88,343.47,335.01,336.1,1960874.0,337.477,11504
2021-01-11,335.0,339.0,333.32,337.68,2314274.0,337.11,13189
2021-01-12,336.52,343.37,335.63,341.85,1929796.0,339.769,12708
2021-01-13,341.41,347.2,339.16,345.49,917246.0,343.631,6041
2021-01-14,348.0,354.79,346.85,347.44,1205400.0,351.558,8092
2021-01-15,347.09,350.5,344.27,347.27,1025098.0,347.277,6679
2021-01-19,350.74,350.97,341.48,341.5,1193005.0,344.701,7667
2021-01-20,342.54,343.78,339.21,341.67,919486.0,341.929,5901
2021-01-21,341.67,343.61,338.96,339.67,995547.0,339.937,6876
2021-01-22,338.74,341.84,337.21,339.88,824767.0,339.725,5349
2021-01-25,339.49,346.89,337.9,343.51,1194263.0,343.201,7869
2021-01-26,339.0,343.98,330.69,330.69,2394845.0,334.659,15320
2021-01-27,332.28,335.73,329.67,332.51,1661837.0,332.777,11847
2021-01-28,332.14,334.68,327.17,327.93,1074655.0,331.185,7084
