date,open,high,low,close,volume,average,barCount
2020-07-13,48.94,49.34,48.66,48.95,1635156.0,49.05,9979
2020-07-14,49.29,49.66,48.89,49.49,1050119.0,49.327,8023
2020-07-15,50.04,50.54,49.34,49.37,760989.0,49.764,6046
2020-07-16,49.31,49.94,49.25,49.73,539037.0,49.677,4380
2020-07-17,50.0,50.83,49.87,50.77,752880.0,50.419,5933
2020-07-20,50.55,50.9,50.25,50.45,455852.0,50.477,3772
2020-07-21,50.39,51.43,50.26,50.73,700071.0,50.865,4982
2020-07-22,50.35,52.61,50.27,52.55,870806.0,52.083,6878
2020-07-23,52.7,53.44,52.67,53.25,922253.0,53.145,7449
2020-07-24,53.45,54.0,52.81,53.12,862396.0,53.146,6883
2020-07-27,53.01,53.13,52.36,52.87,666587.0,52.791,4975
2020-07-28,52.79,53.94,52.57,53.62,672957.0,53.602,5452
2020-07-29,53.79,54.11,53.5,54.01,381125.0,53.809,2846
2020-07-30,53.22,53.95,52.63,53.77,675288.0,53.674,4850
2020-07-31,53.63,53.9,53.01,53.85,674675.0,53.481,5277
2020-08-03,53.73,53.84,52.83,53.51,419506.0,53.467,3202
2020-08-04,53.54,54.13,53.41,53.8,615117.0,53.683,5185
2020-08-05,54.12,54.17,52.75,52.87,1067983.0,53.089,7475
2020-08-06,52.76,53.45,52.35,53.34,877672.0,52.885,6937
2020-08-07,52.57,55.12,52.22,54.72,933753.0,54.51,7211
2020-08-10,55.03,55.59,54.64,55.35,745656.0,55.291,5885
2020-08-11,55.6,55.6,53.49,53.66,589983.0,54.266,4304
2020-08-12,53.95,54.44,53.55,53.93,551262.0,54.111,3221
2020-08-13,54.1,54.13,53.4,53.98,862950.0,53.826,4758
2020-08-14,54.08,54.41,53.65,53.77,433493.0,54.007,2816
2020-08-17,54.04,54.47,53.69,53.9,623876.0,54.055,4186
2020-08-18,53.79,54.01,53.31,53.65,515486.0,53.666,3484
2020-08-19,53.81,54.06,53.46,53.82,620110.0,53.791,4538
2020-08-20,53.5,54.13,53.15,53.62,418535.0,53.75,3453
2020-08-21,53.81,54.2,53.16,54.08,570344.0,53.859,3986
2020-08-24,54.27,54.69,53.6,54.65,439793.0,54.353,3356
2020-08-25,55.06,55.07,54.14,54.25,584556.0,54.405,3320
2020-08-26,54.32,54.34,53.32,54.04,909536.0,53.857,4478
2020-08-27,54.47,54.87,53.79,54.0,500557.0,54.064,4027
2020-08-28,54.06,54.35,53.55,54.32,515830.0,54.063,3604
2020-08-31,54.1,54.6,54.01,54.15,753227.0,54.24,5014
2020-09-01,53.98,54.07,53.25,53.48,677154.0,53.486,3488
2020-09-02,53.63,54.85,53.21,54.66,1581271.0,54.55,9273
2020-09-03,54.85,55.15,53.57,53.97,1144606.0,54.428,7167
2020-09-04,54.33,54.39,52.66,53.29,1059409.0,53.392,6790
2020-09-08,53.28,53.4,52.31,52.65,1347202.0,52.767,9197
2020-09-09,52.96,54.46,52.96,53.78,2149093.0,53.852,12643
2020-09-10,53.51,53.89,52.03,52.08,1192921.0,52.755,7599
2020-09-11,52.11,52.26,51.51,51.86,1230840.0,51.865,7828
2020-09-14,52.12,52.57,51.84,52.33,1600269.0,52.278,9978
2020-09-15,52.93,53.56,52.59,52.76,875523.0,53.026,6392
2020-09-16,52.75,53.67,52.45,53.06,903719.0,53.194,6452
2020-09-17,52.77,52.77,51.78,52.18,597402.0,52.162,3996
2020-09-18,52.02,52.11,50.88,50.98,1034879.0,51.473,6403
