date,open,high,low,close,volume,average,barCount
2020-07-13,34.3,35.02,33.69,33.71,14302270.0,34.4087,10847
2020-07-14,33.61,34.75,33.14,34.61,11201720.0,34.1721,8665
2020-07-15,34.71,34.88,33.56,34.32,9948920.0,34.2172,7924
2020-07-16,34.03,34.67,33.89,34.49,7177310.0,34.4064,4830
2020-07-17,34.74,34.83,34.12,34.63,5708340.0,34.536,4047
2020-07-20,34.63,35.59,34.2,35.38,7474030.0,35.0325,5616
2020-07-21,35.62,36.22,35.23,35.7,11250240.0,35.7343,7643
2020-07-22,36.0,36.3,35.65,36.2,6551840.0,35.9866,4494
2020-07-23,35.89,36.76,35.09,35.48,10996240.0,35.9789,7187
2020-07-24,34.42,34.8,33.63,34.57,13394400.0,34.3941,9548
2020-07-27,34.74,36.01,34.67,35.81,9994210.0,35.6358,7324
2020-07-28,35.46,35.89,34.86,34.89,7950780.0,35.2768,5437
2020-07-29,35.2,36.18,34.9,36.08,13629890.0,35.8085,8704
2020-07-30,36.78,38.15,36.71,37.85,17094650.0,37.4096,12275
2020-07-31,37.96,38.02,36.93,37.72,12491740.0,37.4086,8909
2020-08-03,38.12,38.77,37.92,38.14,9326300.0,38.1893,6001
2020-08-04,38.22,38.58,38.02,38.5,7189270.0,38.3273,4607
2020-08-05,38.46,38.71,38.23,38.35,4509910.0,38.4062,3426
2020-08-06,37.7,37.96,37.08,37.78,10725110.0,37.5975,7718
2020-08-07,37.84,38.17,36.65,37.24,8140630.0,37.286,6385
2020-08-10,37.24,37.68,36.92,37.58,5417440.0,37.3855,3647
2020-08-11,37.89,38.09,36.74,36.9,6536580.0,37.4172,5012
2020-08-12,37.22,38.33,36.99,38.15,7109820.0,37.9046,5123
2020-08-13,38.0,38.24,37.44,37.7,6664780.0,37.8489,5009
2020-08-14,37.9,38.5,37.3,37.36,8805820.0,37.6265,6457
2020-08-17,37.66,38.42,37.28,37.91,9123130.0,37.9519,6355
2020-08-18,38.2,38.27,37.29,37.46,6488270.0,37.5924,4747
2020-08-19,37.36,37.62,36.83,37.22,6681840.0,37.292,4814
2020-08-20,36.01,36.34,35.53,35.85,14376870.0,35.893,10363
2020-08-21,35.6,35.67,35.03,35.34,16936220.0,35.2802,12099
