date,open,high,low,close,volume,average,barCount
2020-07-13,33.42,33.53,32.27,32.64,13232269.0,32.968,54051
2020-07-14,31.84,33.38,31.75,33.25,9404463.0,32.96,41224
2020-07-15,35.03,36.1,34.27,35.75,18127036.0,35.247,73897
2020-07-16,34.83,35.08,33.9,34.21,9781764.0,34.527,42050
2020-07-17,34.07,34.52,33.81,34.13,6720080.0,34.055,27765
2020-07-20,33.97,34.3,32.73,32.98,10827965.0,33.187,46064
2020-07-21,33.33,34.16,33.25,33.62,9635451.0,33.701,42689
2020-07-22,33.5,33.91,33.05,33.3,8952100.0,33.387,36957
2020-07-23,32.75,34.16,32.06,32.79,20712799.0,33.003,72549
2020-07-24,32.31,32.45,31.57,31.66,12957755.0,31.905,51801
2020-07-27,31.57,31.93,31.23,31.53,8385960.0,31.554,35879
2020-07-28,31.51,32.67,31.48,32.29,9149630.0,32.199,38722
2020-07-29,32.58,32.63,31.48,31.79,9187304.0,31.763,35629
2020-07-30,31.3,31.65,30.77,30.96,10283370.0,31.115,40528
2020-07-31,30.8,31.02,30.24,30.89,9457118.0,30.613,39285
2020-08-03,30.75,32.15,30.29,31.58,11541371.0,31.303,45919
2020-08-04,31.7,32.27,31.38,31.4,10574915.0,31.74,43395
2020-08-05,31.88,33.2,31.79,32.72,12333486.0,32.36,47249
2020-08-06,33.26,33.35,32.31,33.02,13283285.0,32.922,47808
2020-08-07,32.84,33.3,32.69,33.28,8193378.0,32.954,37449
2020-08-10,33.65,35.15,33.55,34.99,13770715.0,34.602,52335
2020-08-11,36.61,37.44,35.07,35.29,18841572.0,36.081,75791
2020-08-12,35.83,36.08,34.36,35.25,10858447.0,35.139,44447
2020-08-13,34.71,35.7,34.62,34.71,7097720.0,35.035,29464
2020-08-14,34.3,35.13,34.2,34.9,6267033.0,34.764,26227
2020-08-17,35.06,35.18,33.79,33.81,6902044.0,34.11,28642
2020-08-18,33.82,34.25,33.54,34.16,6244136.0,33.955,25793
2020-08-19,34.91,35.78,34.14,34.27,12864097.0,34.942,44730
2020-08-20,33.65,34.58,33.48,34.46,7892651.0,34.173,28596
2020-08-21,34.3,35.19,34.28,34.69,9719146.0,34.874,33084
2020-08-24,35.29,36.94,34.96,36.91,13108279.0,36.347,52856
2020-08-25,37.43,37.5,36.34,37.06,10243151.0,36.84,43684
2020-08-26,37.03,37.07,36.32,36.38,6552145.0,36.589,26543
2020-08-27,37.54,38.88,37.31,37.65,12403527.0,37.931,52699
2020-08-28,38.11,39.06,37.59,38.81,12108711.0,38.544,48978
2020-08-31,38.75,38.81,37.58,37.58,8055562.0,37.974,33662
2020-09-01,36.84,38.67,36.56,37.91,8825961.0,37.765,36900
2020-09-02,38.57,39.34,37.68,39.17,9468728.0,38.603,40535
2020-09-03,39.28,40.66,37.85,38.74,14848310.0,39.183,55562
2020-09-04,39.19,40.07,38.06,39.39,13391612.0,39.116,54837
2020-09-08,39.18,40.8,39.18,40.5,13336459.0,40.255,59014
2020-09-09,40.09,40.44,38.81,39.22,10144993.0,39.363,44966
2020-09-10,39.52,39.95,38.86,38.94,7567274.0,39.376,32080
