date,open,high,low,close,volume,average,barCount
2020-07-13,46.57,50.1,45.22,48.53,9474827.0,48.52,49246
2020-07-14,47.85,47.9,46.54,47.39,3837590.0,47.381,25169
2020-07-15,49.03,50.45,48.65,50.25,5019638.0,49.78,29343
2020-07-16,49.43,49.96,48.91,49.71,2606545.0,49.544,16068
2020-07-17,49.87,49.87,48.28,48.69,2269657.0,48.759,14866
2020-07-20,48.0,48.57,46.55,47.28,3760673.0,47.275,21471
2020-07-21,47.93,48.98,47.58,48.0,3814763.0,48.264,22345
2020-07-22,47.64,48.08,46.6,46.84,5558250.0,47.045,28008
2020-07-23,45.49,45.98,44.25,44.88,9253347.0,44.988,52222
2020-07-24,44.25,44.95,43.81,44.36,4112426.0,44.205,25181
2020-07-27,43.86,44.21,42.69,43.48,4946207.0,43.281,26737
2020-07-28,43.19,44.8,43.15,44.22,6505841.0,44.251,32523
2020-07-29,44.15,45.13,43.36,44.32,3201832.0,44.074,17793
2020-07-30,44.41,45.75,44.24,45.5,4952731.0,45.304,25701
2020-07-31,45.14,45.17,43.14,43.64,3433409.0,43.651,19414
2020-08-03,43.18,44.53,42.58,44.0,3123440.0,43.872,17424
2020-08-04,44.03,44.27,43.33,43.73,3188282.0,43.694,16300
2020-08-05,44.24,44.86,42.95,43.34,4273972.0,43.494,23974
2020-08-06,43.12,45.62,42.68,45.22,7460873.0,44.78,34100
2020-08-07,44.75,44.96,43.5,44.2,4545928.0,43.973,27095
2020-08-10,46.45,48.26,46.31,47.52,7696810.0,47.488,38120
2020-08-11,49.55,51.41,49.39,51.0,16070108.0,50.436,61566
2020-08-12,51.39,51.52,48.58,49.07,4264942.0,49.474,23050
2020-08-13,48.49,49.11,47.98,48.62,3657968.0,48.472,18019
2020-08-14,48.09,48.73,47.8,48.37,3209428.0,48.373,16734
2020-08-17,48.2,48.39,47.51,47.72,3182882.0,47.883,16733
2020-08-18,47.63,48.11,47.21,47.69,2712453.0,47.827,15674
2020-08-19,48.15,48.48,47.22,47.47,2648308.0,47.835,16262
2020-08-20,46.91,47.79,46.62,47.46,2147380.0,47.369,12475
2020-08-21,48.15,49.37,47.86,48.52,5123916.0,48.756,28875
2020-08-24,48.72,49.9,47.72,49.81,3869639.0,49.299,23174
2020-08-25,50.18,50.8,49.63,49.96,2526080.0,50.105,15415
2020-08-26,50.0,50.2,49.1,49.86,2598637.0,49.725,15638
2020-08-27,49.9,51.29,49.81,50.53,3770805.0,50.778,22827
2020-08-28,51.14,52.96,50.67,52.16,5708490.0,52.219,31280
2020-08-31,52.06,52.1,50.71,50.71,3901019.0,51.386,20007
2020-09-01,50.73,51.32,49.58,49.65,3864875.0,50.05,21134
2020-09-02,49.7,51.64,49.6,51.33,5555969.0,50.561,28823
2020-09-03,51.51,52.27,49.92,50.63,4575051.0,51.03,26433
2020-09-04,51.4,52.45,50.96,51.96,6405162.0,51.734,29659
