date,open,high,low,close,volume,average,barCount
2020-07-13,63.68,64.64,63.0,63.8,580563.0,63.944,4412
2020-07-14,63.63,66.23,63.09,66.15,724884.0,65.566,5723
2020-07-15,67.78,68.8,66.97,68.26,838126.0,68.291,7061
2020-07-16,67.84,68.36,66.69,66.92,847842.0,67.293,5457
2020-07-17,67.26,67.43,66.08,66.4,735589.0,66.558,5223
2020-07-20,66.23,66.54,64.76,65.0,587407.0,65.166,4579
2020-07-21,65.29,67.26,65.29,65.94,589620.0,66.383,4869
2020-07-22,65.95,68.28,65.34,68.16,498384.0,67.439,4053
2020-07-23,67.94,69.44,67.94,68.72,341965.0,68.672,2909
2020-07-24,68.38,68.83,67.42,67.79,680837.0,67.995,5476
2020-07-27,67.86,71.03,67.62,70.5,1081875.0,69.719,8278
2020-07-28,65.26,68.48,62.2,62.42,2936974.0,64.199,17097
2020-07-29,62.32,62.88,59.61,59.81,2255534.0,60.75,16738
2020-07-30,59.04,60.47,58.67,59.32,664326.0,59.608,5269
2020-07-31,59.87,60.08,58.82,60.08,650143.0,59.61,5292
2020-08-03,60.24,60.92,59.25,60.13,782525.0,60.137,4937
2020-08-04,60.21,62.12,60.21,61.74,634749.0,61.423,4648
2020-08-05,62.12,63.03,61.51,62.8,630333.0,62.365,4638
2020-08-06,61.9,63.7,61.78,63.5,943905.0,62.848,4873
2020-08-07,63.12,63.46,62.54,62.75,587613.0,62.87,4479
2020-08-10,63.01,64.93,62.88,64.57,433585.0,64.359,3216
2020-08-11,65.41,65.49,63.88,64.21,469631.0,64.516,3929
2020-08-12,64.87,64.87,63.45,64.38,558872.0,64.183,4384
2020-08-13,64.03,65.59,63.72,64.69,378852.0,64.886,2970
2020-08-14,64.21,64.95,63.43,64.65,297736.0,64.481,2245
2020-08-17,64.92,65.15,63.32,63.45,596403.0,64.09,4636
2020-08-18,63.46,63.57,62.04,63.28,734927.0,62.991,4698
2020-08-19,63.3,64.74,63.02,64.06,533071.0,64.25,3751
2020-08-20,63.17,63.7,62.15,62.34,458542.0,62.651,3557
2020-08-21,62.39,62.56,61.3,61.48,471998.0,61.664,3496
2020-08-24,61.82,63.66,61.59,63.66,606890.0,62.976,4649
2020-08-25,63.97,63.97,62.18,62.93,310960.0,62.661,2486
2020-08-26,62.46,62.77,61.0,61.45,734503.0,61.536,5637
2020-08-27,62.06,63.57,61.77,62.45,797547.0,62.719,5986
2020-08-28,62.62,64.35,61.86,64.19,716222.0,63.15,4912
2020-08-31,63.97,64.48,62.83,62.85,510501.0,63.374,3736
2020-09-01,62.55,62.79,61.12,61.33,585596.0,61.707,4457
2020-09-02,61.37,63.23,61.16,62.77,620524.0,62.343,5116
2020-09-03,63.26,65.2,62.64,63.28,718471.0,63.503,5454
2020-09-04,63.44,63.91,61.77,62.44,329493.0,62.759,2722
2020-09-08,62.19,62.4,60.86,61.1,431892.0,61.554,3401
2020-09-09,61.78,62.6,60.65,61.4,536796.0,61.579,3914
