date,open,high,low,close,volume,average,barCount
2020-07-13,46.86,47.23,45.27,45.66,2429931.0,46.015,15576
2020-07-14,45.65,47.2,44.92,46.41,1813541.0,46.232,11599
2020-07-15,48.73,52.09,48.43,51.84,4434422.0,50.718,27673
2020-07-16,50.7,51.78,49.86,50.85,2180870.0,51.026,15025
2020-07-17,50.85,51.26,49.96,51.04,1454373.0,50.633,9613
2020-07-20,50.61,51.77,48.6,49.21,1881404.0,49.497,13093
2020-07-21,49.52,50.46,48.97,49.18,1151453.0,49.599,8869
2020-07-22,48.79,49.79,48.5,48.99,1178045.0,49.141,7425
2020-07-23,48.56,48.98,47.32,48.0,1336102.0,47.993,8820
2020-07-24,47.94,48.6,47.16,47.92,820468.0,47.851,5298
2020-07-27,47.85,47.88,46.5,47.34,1259297.0,47.305,8601
2020-07-28,47.08,47.87,46.74,47.29,1295643.0,47.336,9590
2020-07-29,47.21,47.67,46.28,46.94,904294.0,46.795,6728
2020-07-30,46.31,46.63,45.82,46.47,978007.0,46.261,7021
2020-07-31,46.66,47.29,45.42,46.81,1148263.0,46.442,8758
2020-08-03,46.68,47.04,44.95,46.67,1164076.0,46.206,8143
2020-08-04,46.62,48.99,46.44,47.76,1241630.0,48.091,8406
2020-08-05,48.5,48.6,47.04,47.64,1521084.0,47.642,10019
2020-08-06,47.11,47.5,45.57,47.47,3443069.0,46.632,21782
2020-08-07,47.11,47.98,46.44,47.65,1559067.0,47.258,11017
2020-08-10,48.01,52.09,48.01,50.8,2419623.0,50.885,16886
2020-08-11,52.14,53.05,51.3,51.69,2280111.0,52.09,15894
2020-08-12,52.41,52.5,50.75,51.35,760134.0,51.352,5357
2020-08-13,50.98,52.02,50.88,51.3,892269.0,51.457,6782
2020-08-14,50.62,51.94,50.6,51.48,633636.0,51.344,4545
2020-08-17,51.66,51.66,49.65,50.89,1653028.0,50.453,8802
2020-08-18,50.8,51.02,49.8,50.32,786531.0,50.242,5390
2020-08-19,50.62,52.0,50.44,51.56,1376023.0,51.563,7887
2020-08-20,50.75,51.76,50.5,51.55,1089905.0,51.507,7115
2020-08-21,51.48,52.64,51.02,51.12,1039639.0,51.71,7181
2020-08-24,51.39,54.12,51.11,54.09,1889366.0,53.129,10789
2020-08-25,54.16,54.72,52.97,53.68,1695888.0,53.842,10766
2020-08-26,53.46,53.74,52.18,52.64,1433472.0,52.783,7863
2020-08-27,53.37,58.5,53.02,57.26,5183709.0,56.971,27671
2020-08-28,57.41,59.03,57.02,58.71,2382675.0,58.228,12334
2020-08-31,58.73,58.73,56.66,56.8,1742707.0,57.575,8965
2020-09-01,56.11,58.0,55.85,57.2,1371999.0,57.1,7824
2020-09-02,56.66,57.94,56.45,57.9,1227671.0,57.182,6460
2020-09-03,58.0,59.48,55.38,56.1,1836781.0,57.174,9947
2020-09-04,56.99,58.3,56.03,57.58,2286516.0,57.302,15508
2020-09-08,56.03,58.53,55.67,57.81,1700694.0,57.674,12514
2020-09-09,58.0,58.13,56.05,57.24,1667611.0,57.212,11143
2020-09-10,57.53,59.31,56.74,56.93,2047492.0,58.219,11802
2020-09-11,56.99,57.43,56.37,57.14,949249.0,57.015,5986
2020-09-14,57.7,58.87,57.0,58.66,1043513.0,58.196,7632
2020-09-15,58.66,59.07,57.82,58.85,1409273.0,58.556,9477
2020-09-16,58.92,60.67,58.69,59.97,1804574.0,59.957,11126
2020-09-17,59.39,60.24,57.91,58.56,888057.0,58.996,6412
2020-09-18,58.32,58.76,56.51,56.99,1873001.0,57.347,10088
2020-09-21,55.5,55.76,52.51,53.16,3487485.0,53.266,23737
2020-09-22,53.54,54.08,52.28,53.11,1306148.0,52.919,7720
2020-09-23,53.61,54.14,51.3,51.34,1926581.0,51.966,11098
2020-09-24,50.78,52.18,50.11,50.91,1635628.0,51.045,11436
2020-09-25,50.79,53.58,50.77,53.24,897119.0,52.767,6019
2020-09-28,54.19,55.09,53.3,54.41,982691.0,54.355,7360
2020-09-29,54.17,54.32,53.0,53.29,922269.0,53.527,6186
2020-09-30,53.62,55.5,53.45,53.88,966879.0,54.412,7511
2020-10-01,54.37,54.58,52.93,53.74,799107.0,53.544,6376
2020-10-02,52.24,55.25,52.12,54.73,904433.0,54.019,5874
2020-10-05,55.28,55.52,53.93,54.56,1070235.0,54.531,8031
2020-10-06,55.01,56.68,53.8,54.21,1307595.0,55.063,9291
2020-10-07,55.23,55.97,54.43,54.82,572257.0,54.953,3739
2020-10-08,55.25,56.38,54.63,56.27,1018152.0,55.84,6416
2020-10-09,56.89,57.98,56.76,56.83,1121355.0,57.222,6976
2020-10-12,56.13,56.37,54.69,55.84,720295.0,55.621,5133
2020-10-13,55.84,55.84,54.62,54.69,758701.0,55.145,5755
2020-10-14,54.5,55.42,54.15,54.36,692845.0,54.722,4765
2020-10-15,53.67,54.6,52.5,54.37,1075200.0,53.861,7986
2020-10-16,54.67,55.54,54.19,54.6,771511.0,54.873,5352
2020-10-19,55.21,55.95,53.76,53.97,1105654.0,54.742,7284
2020-10-20,54.59,56.41,54.26,55.64,1251647.0,55.668,9474
