date,open,high,low,close,volume,average,barCount
2020-07-13,34.71,35.23,34.45,34.67,539989.0,34.817,4217
2020-07-14,34.98,35.65,34.54,35.52,494360.0,35.281,3473
2020-07-15,36.36,36.7,35.65,36.05,480125.0,36.007,3785
2020-07-16,35.83,36.77,35.57,36.24,271312.0,36.214,2100
2020-07-17,36.3,36.42,35.95,36.17,521808.0,36.24,3299
2020-07-20,35.91,36.01,35.24,35.44,464811.0,35.598,3328
2020-07-21,35.7,36.83,35.53,36.45,569854.0,36.301,3507
2020-07-22,36.06,36.73,35.83,36.67,381353.0,36.442,2953
2020-07-23,36.63,37.27,36.57,37.06,328816.0,37.0,2504
2020-07-24,37.29,37.54,36.77,36.87,435170.0,37.044,2994
2020-07-27,36.67,36.67,35.94,36.28,258992.0,36.29,1822
2020-07-28,36.13,36.63,36.04,36.38,444137.0,36.34,3273
2020-07-29,36.4,37.47,36.4,37.37,281565.0,37.004,2289
2020-07-30,36.35,36.9,35.8,36.53,374437.0,36.415,2933
2020-07-31,36.51,36.58,35.75,36.41,320528.0,36.135,2397
2020-08-03,33.98,36.05,33.7,35.6,1106856.0,35.419,7622
2020-08-04,35.5,35.79,35.1,35.38,602796.0,35.402,4158
2020-08-05,36.03,36.88,35.81,36.48,460296.0,36.566,3429
2020-08-06,36.25,37.18,36.25,36.51,328581.0,36.642,2587
2020-08-07,36.38,37.79,36.37,37.76,377287.0,37.191,2741
2020-08-10,37.96,38.8,37.86,38.6,506138.0,38.512,3373
2020-08-11,39.58,40.18,38.58,38.61,684975.0,38.958,4755
2020-08-12,39.4,39.44,38.01,38.14,477034.0,38.554,3356
2020-08-13,37.58,38.33,37.29,37.86,283875.0,37.885,2188
2020-08-14,37.49,38.06,37.32,37.61,359290.0,37.698,2843
2020-08-17,37.61,37.73,36.75,36.8,370198.0,37.034,2588
2020-08-18,36.86,37.49,36.23,36.37,919501.0,36.759,5282
2020-08-19,36.57,36.94,36.02,36.21,503081.0,36.353,3426
2020-08-20,35.75,36.25,35.6,35.61,376710.0,35.812,2853
2020-08-21,35.64,35.97,35.16,35.32,513368.0,35.398,3414
2020-08-24,35.45,36.61,35.45,36.61,709524.0,36.203,4938
2020-08-25,37.07,37.14,36.19,36.48,384584.0,36.528,2693
2020-08-26,36.32,36.46,35.63,35.9,478764.0,36.028,3512
2020-08-27,36.09,37.05,35.93,36.78,375206.0,36.803,2702
2020-08-28,37.0,37.0,36.08,36.92,347913.0,36.719,2741
2020-08-31,36.71,36.78,35.84,35.86,510273.0,36.08,4040
2020-09-01,35.58,36.64,35.31,36.17,554232.0,36.231,4200
2020-09-02,36.01,36.78,35.86,36.6,892011.0,36.43,5819
2020-09-03,36.86,37.9,36.34,36.62,629159.0,37.017,4928
2020-09-04,37.25,37.57,36.57,36.87,505875.0,37.025,3718
2020-09-08,36.44,36.53,35.25,35.63,636889.0,35.743,5127
2020-09-09,36.03,36.35,35.61,35.81,551813.0,36.064,4335
2020-09-10,36.19,36.44,35.13,35.16,528625.0,35.707,4242
2020-09-11,34.97,35.6,34.67,35.27,613065.0,35.265,4928
2020-09-14,35.56,36.47,35.33,36.1,533163.0,36.096,4240
2020-09-15,36.17,36.57,35.35,35.39,693963.0,35.863,5617
2020-09-16,35.65,37.5,35.44,37.07,1839265.0,36.235,3543
2020-09-17,36.61,37.25,36.4,36.99,411840.0,36.964,3150
2020-09-18,36.83,37.28,36.62,36.69,687667.0,36.899,4148
2020-09-21,35.73,35.92,34.13,34.82,759259.0,34.718,5721
2020-09-22,34.62,35.31,34.38,34.72,458825.0,34.699,3461
2020-09-23,34.77,35.15,33.51,33.54,442280.0,34.087,3559
2020-09-24,33.53,34.18,32.83,33.54,479927.0,33.503,3749
2020-09-25,33.12,33.79,32.9,33.68,378801.0,33.371,2821
2020-09-28,34.46,35.19,34.12,34.73,410829.0,34.868,3062
2020-09-29,34.46,34.7,33.83,34.2,372360.0,34.234,3013
2020-09-30,34.49,35.06,34.33,34.75,509812.0,34.726,4007
2020-10-01,34.91,35.12,34.37,34.86,518018.0,34.765,3789
