date,open,high,low,close,volume,average,barCount
2020-07-13,114.1,114.1,112.19,112.34,335711.0,113.023,2869
2020-07-14,111.69,113.49,111.5,112.94,237658.0,112.73,1846
2020-07-15,114.52,114.7,112.14,112.43,314764.0,112.805,2783
2020-07-16,111.7,112.88,111.19,112.02,291522.0,111.721,2401
2020-07-17,112.5,113.62,111.46,112.92,310643.0,112.621,2478
2020-07-20,112.31,113.07,109.08,110.02,214140.0,110.078,1865
2020-07-21,110.62,111.15,108.86,109.36,230977.0,109.871,1961
2020-07-22,108.81,112.87,108.63,112.17,397036.0,111.886,3403
2020-07-23,111.88,112.75,110.42,111.65,231385.0,111.711,1961
2020-07-24,112.13,112.21,110.71,111.27,274985.0,111.125,2382
2020-07-27,110.81,110.81,109.06,110.32,228436.0,110.158,1847
2020-07-28,110.4,113.63,109.88,112.99,262157.0,112.605,2324
2020-07-29,114.14,114.5,111.94,113.92,295615.0,113.078,2475
2020-07-30,112.69,118.76,112.67,117.52,576203.0,117.015,4874
2020-07-31,117.03,119.2,114.75,119.19,405814.0,117.167,3366
2020-08-03,118.56,118.56,115.4,116.88,324215.0,116.718,2812
2020-08-04,116.44,117.74,115.0,116.92,229721.0,116.852,1835
2020-08-05,117.54,117.62,115.51,116.26,163346.0,116.295,1158
2020-08-06,115.74,116.92,115.37,116.5,200300.0,116.459,1559
2020-08-07,115.82,116.87,115.56,116.49,291193.0,116.42,2378
2020-08-10,116.94,118.39,116.35,117.05,344587.0,117.389,2915
2020-08-11,118.09,119.25,116.14,116.71,338444.0,117.186,2661
2020-08-12,117.13,117.52,116.05,117.09,120189.0,116.817,1030
2020-08-13,116.44,117.93,115.44,115.69,219799.0,116.144,1813
2020-08-14,115.55,116.22,114.31,114.86,315420.0,115.223,2560
2020-08-17,114.95,116.23,114.04,116.04,165159.0,115.762,1139
2020-08-18,116.28,116.52,114.43,116.07,117501.0,115.895,983
2020-08-19,116.06,116.06,112.66,113.28,316269.0,113.847,2330
2020-08-20,112.84,115.27,112.84,114.83,216048.0,114.707,1511
2020-08-21,115.25,115.47,113.11,114.84,164419.0,114.435,1187
2020-08-24,114.7,115.83,112.85,115.69,178159.0,114.522,1438
2020-08-25,115.74,116.19,114.87,116.19,171559.0,115.586,1293
2020-08-26,115.49,116.32,113.26,113.65,185467.0,113.92,1613
2020-08-27,114.33,116.56,114.23,116.38,174851.0,115.856,1323
2020-08-28,116.62,117.19,115.19,117.16,225996.0,116.619,1834
2020-08-31,116.66,117.35,115.8,117.12,177101.0,116.66,1512
2020-09-01,116.5,116.66,114.8,116.55,190480.0,115.946,1582
2020-09-02,116.44,118.88,115.25,118.67,405146.0,118.198,3301
2020-09-03,119.43,120.83,117.03,117.83,298690.0,118.229,2165
2020-09-04,118.12,119.43,116.06,118.35,278663.0,118.08,2243
2020-09-08,117.97,118.25,115.01,115.68,359312.0,115.885,3121
2020-09-09,116.12,118.38,115.39,116.44,252108.0,116.467,2178
2020-09-10,116.29,117.41,114.31,116.44,345261.0,116.645,2657
2020-09-11,116.45,116.45,114.96,115.91,316719.0,115.846,2538
2020-09-14,116.99,120.09,116.44,119.65,198178.0,119.365,1597
2020-09-15,119.61,120.84,118.05,118.57,134764.0,119.174,1163
2020-09-16,119.44,120.55,117.95,118.19,284126.0,118.929,2350
2020-09-17,117.36,118.36,115.69,117.14,360781.0,116.94,2995
2020-09-18,116.32,117.38,114.68,114.93,589566.0,115.733,3690
2020-09-21,113.38,114.3,111.19,113.17,438434.0,113.128,3439
2020-09-22,113.41,116.0,113.41,115.18,354451.0,115.137,2764
2020-09-23,115.38,115.72,113.04,113.42,371896.0,114.084,2496
2020-09-24,113.04,113.96,111.27,112.39,265308.0,112.491,2330
2020-09-25,111.89,115.52,111.22,115.38,422840.0,113.757,3349
2020-09-28,116.83,118.17,116.15,117.14,228323.0,117.336,1963
2020-09-29,116.92,117.43,114.64,115.34,140267.0,115.547,1229
2020-09-30,116.07,116.63,114.44,115.95,335545.0,115.722,2581
2020-10-01,116.0,120.33,115.56,120.29,349989.0,118.172,2906
2020-10-02,118.81,124.33,117.42,123.71,406674.0,122.369,3075
2020-10-05,124.56,124.88,122.48,124.5,294234.0,123.884,2264
2020-10-06,124.87,125.24,122.83,123.54,300304.0,123.951,2497
2020-10-07,124.04,125.03,121.77,122.95,240387.0,123.043,1886
2020-10-08,123.03,125.35,123.03,124.88,243121.0,124.553,1836
2020-10-09,126.14,126.14,123.01,123.66,174969.0,123.765,1436
2020-10-12,123.83,125.0,123.06,124.66,106853.0,124.225,752
2020-10-13,125.07,126.51,122.63,124.2,401040.0,124.51,2557
2020-10-14,123.03,124.04,121.56,122.76,305102.0,122.659,2223
2020-10-15,121.72,123.91,121.19,122.47,372352.0,123.058,2048
2020-10-16,122.34,122.7,119.3,119.44,401838.0,120.292,2231
