date,open,high,low,close,volume,average,barCount
2020-07-13,89.02,90.54,87.31,87.5,3103109.0,88.946,17363
2020-07-14,86.95,87.73,86.0,87.12,2197400.0,86.841,13453
2020-07-15,90.3,94.75,90.16,94.03,5416667.0,92.829,30920
2020-07-16,92.13,93.43,90.76,93.11,1787753.0,92.261,12141
2020-07-17,93.03,93.1,90.1,91.48,1667324.0,91.245,11165
2020-07-20,90.64,91.63,87.57,88.48,2342555.0,88.733,15808
2020-07-21,89.67,91.5,88.5,89.96,1729795.0,90.303,11376
2020-07-22,89.16,90.96,88.81,90.81,1200638.0,90.449,7509
2020-07-23,89.87,90.2,87.92,88.97,1425592.0,88.755,9041
2020-07-24,88.7,88.89,86.57,87.5,1492447.0,87.605,9192
2020-07-27,86.03,87.14,85.2,86.27,1923854.0,86.281,12055
2020-07-28,86.06,87.88,85.96,86.55,1559081.0,86.795,9101
2020-07-29,87.08,88.18,86.0,87.14,1154019.0,86.765,7339
2020-07-30,85.46,86.11,84.54,85.51,1774815.0,85.437,11015
2020-07-31,84.6,84.62,82.06,83.83,2833143.0,83.364,16339
2020-08-03,83.51,84.19,81.3,83.52,2019422.0,83.083,12055
2020-08-04,83.42,86.27,82.62,86.1,2229819.0,85.395,11529
2020-08-05,87.72,87.94,85.88,87.27,1401746.0,86.866,8916
2020-08-06,86.44,91.22,85.95,90.39,2747327.0,89.396,15683
2020-08-07,90.22,94.05,88.62,93.78,3584200.0,92.35,22727
2020-08-10,94.25,98.13,93.29,97.13,4319062.0,96.222,26250
2020-08-11,101.17,101.62,96.87,97.01,4123245.0,98.792,22971
2020-08-12,99.21,99.65,95.39,96.03,2826994.0,97.0,17053
2020-08-13,95.93,98.5,95.54,96.5,1428865.0,97.159,9541
2020-08-14,97.24,97.67,95.96,96.01,2500684.0,96.694,14581
2020-08-17,97.23,97.5,95.16,95.72,1366243.0,95.896,8933
2020-08-18,95.52,95.84,93.43,94.44,1089942.0,94.491,7631
2020-08-19,94.91,95.85,93.67,94.0,1002771.0,94.698,6645
2020-08-20,92.85,95.63,92.07,94.02,1622740.0,94.199,9750
2020-08-21,93.77,97.03,93.5,95.27,1445121.0,95.675,9850
2020-08-24,96.1,98.57,95.0,97.89,1971658.0,97.284,11552
2020-08-25,98.97,100.38,97.52,98.77,1627224.0,98.551,9535
2020-08-26,98.45,98.57,96.33,97.38,1467272.0,97.154,9685
2020-08-27,99.04,103.33,99.0,101.79,2790049.0,101.89,16721
2020-08-28,102.96,106.61,101.95,106.26,2505943.0,104.83,15315
2020-08-31,105.24,105.96,102.84,102.91,1819827.0,103.85,11863
2020-09-01,101.48,104.58,100.76,103.09,1313694.0,102.86,8792
2020-09-02,103.59,104.84,102.4,104.39,1157185.0,103.696,7471
2020-09-03,104.47,107.9,102.21,103.09,1863878.0,104.33,12793
2020-09-04,105.01,107.04,103.21,104.82,1844603.0,104.888,12880
2020-09-08,103.0,107.15,102.37,103.98,1821328.0,104.984,12540
2020-09-09,103.81,103.94,100.83,102.01,1734102.0,102.11,10579
2020-09-10,102.94,105.38,100.11,100.38,1481939.0,102.062,10042
2020-09-11,100.94,101.11,97.39,99.26,1638832.0,99.031,10629
2020-09-14,100.88,104.91,100.55,104.68,1695657.0,103.683,10521
2020-09-15,104.98,106.36,103.22,105.39,1269643.0,105.048,8399
2020-09-16,106.11,108.89,104.44,107.76,2074056.0,106.938,12794
2020-09-17,105.77,107.13,103.7,104.41,1692067.0,104.973,11458
2020-09-18,103.37,103.94,99.58,99.88,3070397.0,101.745,14814
2020-09-21,95.93,96.4,91.4,93.02,3522216.0,93.019,21919
2020-09-22,93.5,95.53,93.0,95.5,2147066.0,94.448,12717
2020-09-23,96.35,97.86,92.61,92.94,1911462.0,94.707,13018
2020-09-24,92.3,93.58,90.48,91.35,2293086.0,91.63,13155
2020-09-25,90.12,93.43,90.12,92.99,1561403.0,91.99,9848
2020-09-28,95.05,97.39,93.94,96.0,1632936.0,96.048,10513
2020-09-29,96.1,96.19,92.81,93.22,1381154.0,93.801,8988
2020-09-30,94.41,96.02,92.15,92.58,1873732.0,93.871,12735
2020-10-01,93.24,94.95,92.51,94.35,1401178.0,93.993,8577
2020-10-02,91.62,95.62,91.44,95.25,1328195.0,94.108,7897
2020-10-05,95.78,97.24,95.13,96.78,1255939.0,96.163,8003
2020-10-06,97.83,100.34,96.52,96.92,2068118.0,98.696,13074
2020-10-07,98.16,99.94,98.01,99.01,1162042.0,98.962,8114
2020-10-08,99.71,100.44,98.2,100.31,1160865.0,99.35,7207
2020-10-09,101.3,102.09,99.26,99.34,1048017.0,100.364,6871
2020-10-12,99.46,101.11,98.84,100.71,1384749.0,100.247,8437
2020-10-13,99.42,99.53,96.91,98.24,1848144.0,98.486,11324
2020-10-14,98.51,99.2,96.56,97.07,1650396.0,97.331,9039
2020-10-15,96.29,97.29,94.77,97.07,1262829.0,96.036,7969
2020-10-16,97.33,98.99,96.8,97.76,1161060.0,98.045,6272
2020-10-19,98.37,98.52,93.64,93.94,1250061.0,95.545,8109
2020-10-20,95.28,97.09,94.2,96.09,1034875.0,95.901,6079
2020-10-21,95.51,96.02,94.31,95.15,982240.0,95.076,5959
2020-10-22,96.07,101.21,95.64,100.82,1919206.0,99.318,12589
2020-10-23,101.56,102.27,100.18,101.76,1278891.0,101.262,9217
2020-10-26,99.5,99.51,94.42,96.02,1551477.0,96.472,10081
2020-10-27,96.47,96.87,93.35,93.46,1551948.0,94.747,8479
2020-10-28,91.38,92.52,88.92,89.97,1932819.0,90.644,11458
2020-10-29,90.01,93.77,89.01,93.33,1559189.0,92.325,10152
2020-10-30,91.94,94.03,90.55,92.88,1846765.0,92.385,12174
2020-11-02,93.0,93.39,91.6,92.9,1599379.0,92.744,9559
2020-11-03,94.26,97.19,93.89,96.09,1863071.0,95.389,11864
2020-11-04,97.55,100.56,95.13,98.04,2245937.0,98.503,13451
2020-11-05,98.73,102.89,98.13,100.91,2403621.0,101.444,16013
2020-11-06,102.06,104.65,101.5,103.89,3009566.0,103.662,19492
2020-11-09,123.05,131.9,113.6,118.3,9887439.0,120.603,52137
2020-11-10,117.2,119.8,115.92,118.48,3583752.0,118.307,19713
2020-11-11,117.59,118.2,115.07,116.39,2473371.0,116.143,16416
2020-11-12,114.98,116.31,111.87,115.34,2130125.0,114.648,13141
2020-11-13,116.31,120.13,115.65,120.0,2043521.0,118.637,10816
2020-11-16,125.7,125.7,121.65,123.76,3205421.0,123.404,17507
2020-11-17,123.55,123.66,120.36,122.78,2091303.0,121.928,12776
2020-11-18,122.43,124.22,120.22,120.34,1482550.0,122.261,9632
2020-11-19,120.34,121.71,119.53,121.11,1121953.0,120.624,6526
2020-11-20,121.0,121.91,119.21,119.28,3646745.0,120.302,28573
2020-11-23,120.95,123.42,120.57,123.09,1467476.0,122.396,8498
2020-11-24,126.33,131.35,125.36,130.91,2993943.0,128.93,18290
2020-11-25,129.87,130.25,127.76,129.22,1382317.0,128.897,8652
2020-11-27,127.8,130.74,127.2,128.35,784394.0,128.615,5049
2020-11-30,127.5,128.31,124.88,126.87,1193990.0,126.793,8233
2020-12-01,129.5,129.67,127.67,128.52,995630.0,128.784,6978
2020-12-02,128.11,130.64,127.68,128.72,1204442.0,129.239,8641
2020-12-03,129.7,134.67,129.1,132.32,1759492.0,132.735,10895
2020-12-04,133.96,135.84,132.77,135.61,1252229.0,134.565,8541
2020-12-07,134.76,134.99,132.16,132.96,877590.0,133.324,6365
2020-12-08,131.51,134.17,131.05,132.55,991535.0,132.859,6783
2020-12-09,133.93,134.34,129.32,130.47,1397084.0,131.521,8517
2020-12-10,129.86,132.41,128.88,131.77,1080436.0,131.332,6048
2020-12-11,130.66,131.81,127.64,128.51,1293394.0,128.891,8576
2020-12-14,131.3,131.43,126.43,126.62,1138763.0,128.045,7186
2020-12-15,129.35,130.49,126.84,130.36,1123315.0,129.303,7976
2020-12-16,130.6,130.92,128.73,130.44,840221.0,129.93,5591
2020-12-17,130.79,132.4,128.67,130.29,1118735.0,130.109,7875
2020-12-18,130.45,130.91,128.27,128.82,1031010.0,129.732,5253
2020-12-21,125.79,128.15,123.77,127.32,1284120.0,126.24,8868
2020-12-22,126.54,127.28,124.44,126.26,838534.0,125.862,5827
2020-12-23,126.94,129.08,126.74,128.61,894520.0,128.138,5768
2020-12-24,128.62,128.98,127.5,128.75,387356.0,128.184,2647
2020-12-28,130.25,130.57,128.12,128.32,824343.0,129.175,6317
2020-12-29,129.49,131.33,128.4,129.0,1010896.0,129.433,6843
2020-12-30,129.21,131.35,128.5,130.47,817445.0,130.43,4320
2020-12-31,130.35,132.52,128.83,131.92,941495.0,131.499,5904
2021-01-04,131.43,132.11,123.36,124.77,2469982.0,125.655,16819
2021-01-05,123.98,127.31,123.58,126.09,795988.0,125.753,4976
2021-01-06,124.97,130.73,124.84,129.39,1337167.0,128.778,9280
2021-01-07,129.26,131.19,129.14,130.35,1029043.0,130.168,7042
2021-01-08,131.2,132.19,128.98,129.69,869883.0,130.292,6200
2021-01-11,127.75,129.25,127.07,128.66,980941.0,128.195,6446
2021-01-12,127.89,128.6,126.09,127.39,1961991.0,127.344,11292
2021-01-13,126.75,127.32,124.39,126.51,1645447.0,125.721,10945
2021-01-14,128.19,130.63,127.26,128.93,1188957.0,128.647,7645
2021-01-15,128.1,128.38,125.74,126.8,967180.0,127.028,5793
2021-01-19,127.25,128.23,125.46,126.86,959172.0,126.998,6494
2021-01-20,126.03,127.64,125.03,126.73,1256424.0,126.079,7577
2021-01-21,126.04,127.69,124.52,126.62,904012.0,126.438,5756
2021-01-22,125.14,126.27,122.77,122.9,1367698.0,123.858,8518
2021-01-25,122.49,122.59,116.9,119.62,2984975.0,119.373,19775
2021-01-26,120.38,121.44,119.3,120.44,1373293.0,120.661,7924
2021-01-27,118.69,120.39,115.95,117.47,1693345.0,117.993,10562
2021-01-28,120.01,123.47,120.01,120.71,1708453.0,121.868,10808
2021-01-29,119.88,119.97,115.5,116.31,3571775.0,117.317,17287
2021-02-01,117.95,119.77,117.07,117.75,1373333.0,118.365,10304
2021-02-02,119.54,122.56,118.99,122.1,1821234.0,121.544,11160
2021-02-03,121.97,124.77,121.75,123.35,1409228.0,123.727,9537
2021-02-04,123.88,125.85,123.31,125.45,1246367.0,124.718,8735
2021-02-05,126.95,129.52,126.95,129.48,1629636.0,128.524,9831
2021-02-08,130.15,130.82,126.7,129.09,1333480.0,128.335,8891
2021-02-09,129.29,129.29,126.1,127.05,913988.0,127.526,5737
2021-02-10,127.09,128.93,126.16,126.75,963211.0,127.412,6210
2021-02-11,127.56,128.74,125.03,126.65,1067198.0,126.55,7083
2021-02-12,125.7,129.79,125.51,129.48,1110580.0,128.364,7540
2021-02-16,130.51,131.09,128.58,130.4,1278953.0,129.851,8946
2021-02-17,128.4,133.26,127.53,131.34,1991863.0,131.265,14533
2021-02-18,128.26,132.77,127.54,131.98,1745640.0,131.064,12319
2021-02-19,131.28,137.58,131.28,136.28,1893470.0,136.032,12664
2021-02-22,139.23,145.43,138.67,142.56,3463275.0,143.287,23111
2021-02-23,144.57,149.67,142.15,149.55,3977736.0,146.853,26146
2021-02-24,149.39,157.6,149.39,157.5,4458390.0,154.434,25817
2021-02-25,156.26,159.98,148.8,150.09,3641898.0,152.888,23086
2021-02-26,150.28,152.23,145.8,148.07,2527558.0,148.019,18492
2021-03-01,151.03,151.03,147.97,148.47,1411823.0,149.393,10189
2021-03-02,147.15,149.78,145.87,148.95,1904667.0,148.137,12672
2021-03-03,149.51,150.33,146.28,146.31,1403531.0,148.23,10071
2021-03-04,147.23,147.62,139.6,144.77,2703025.0,143.391,18592
2021-03-05,146.66,147.39,138.97,146.92,1968462.0,143.733,14131
2021-03-08,148.82,153.05,146.32,150.44,1972730.0,150.315,14978
2021-03-09,151.37,151.41,146.66,147.0,1556910.0,148.276,10496
2021-03-10,147.52,150.81,146.83,147.14,1411695.0,148.081,10147
2021-03-11,147.57,150.64,145.76,148.83,1432354.0,149.048,10216
2021-03-12,149.35,151.91,148.12,150.2,981933.0,150.166,6854
2021-03-15,152.49,154.05,150.25,153.56,1296116.0,152.315,9319
2021-03-16,153.74,154.15,149.54,150.63,1075498.0,151.462,7727
2021-03-17,149.85,156.15,149.77,155.95,1647294.0,153.711,11424
2021-03-18,154.63,157.64,152.1,154.29,1793002.0,155.331,13204
2021-03-19,152.72,153.44,149.04,152.28,1642744.0,151.803,10593
2021-03-22,150.6,152.25,149.38,151.5,1251580.0,150.955,8985
2021-03-23,150.05,150.05,141.4,142.42,2348099.0,144.202,17669
2021-03-24,143.8,147.65,143.19,143.28,1641481.0,145.415,11907
2021-03-25,141.84,146.96,139.41,146.57,1353822.0,143.458,10309
2021-03-26,147.35,147.54,142.81,146.82,1754328.0,145.178,13056
2021-03-29,146.0,146.8,143.15,144.6,1638660.0,144.766,11526
2021-03-30,144.79,149.68,144.53,148.23,1615169.0,147.866,10656
2021-03-31,148.96,150.34,147.03,148.11,1273004.0,148.645,9546
2021-04-01,148.17,149.33,146.57,148.27,1182982.0,147.963,9353
2021-04-05,150.5,153.23,150.24,150.93,1488562.0,151.633,10635
2021-04-06,151.0,152.77,150.73,151.62,1074971.0,152.013,8042
2021-04-07,152.25,152.41,148.07,148.81,969102.0,149.205,7570
2021-04-08,148.67,149.94,146.79,149.44,896985.0,148.681,6388
2021-04-09,148.26,149.0,146.07,148.48,875670.0,147.85,6609
2021-04-12,148.29,149.45,146.9,149.35,706227.0,148.554,5315
2021-04-13,148.11,149.16,145.99,148.81,949743.0,148.033,6248
2021-04-14,149.09,151.94,148.7,149.59,960359.0,150.507,6376
2021-04-15,149.81,150.62,148.46,149.18,832498.0,149.307,6440
2021-04-16,149.8,151.32,147.7,148.63,1421620.0,148.839,9678
