date,open,high,low,close,volume,average,barCount
2020-07-13,297.86,298.62,290.02,290.18,2498698.0,295.395,17728
2020-07-14,292.0,299.1,288.65,298.95,3154460.0,294.166,23293
2020-07-15,302.81,306.78,301.39,305.72,3235701.0,304.832,22783
2020-07-16,302.88,303.53,298.91,299.35,1972870.0,300.532,14354
2020-07-17,301.73,305.24,299.41,304.06,1702681.0,302.574,11855
2020-07-20,301.92,314.99,301.92,311.96,3868157.0,310.763,24291
2020-07-21,313.13,314.05,306.3,307.6,2134588.0,309.716,16173
2020-07-22,308.13,313.57,308.13,313.37,1816160.0,311.871,13021
2020-07-23,313.55,317.24,308.72,309.9,1862370.0,313.133,13216
2020-07-24,306.48,310.73,304.54,306.92,1589009.0,307.676,11495
2020-07-27,307.06,310.0,306.02,308.86,1207589.0,308.689,8706
2020-07-28,308.5,310.2,306.03,306.33,1306032.0,308.19,9778
2020-07-29,304.5,311.66,304.12,309.3,2285577.0,309.391,17129
2020-07-30,304.0,312.82,303.04,309.0,2666518.0,307.56,18737
2020-07-31,310.0,310.09,305.61,308.53,3274088.0,308.105,19009
2020-08-03,311.0,313.5,309.3,312.59,2393177.0,311.813,14967
2020-08-04,312.5,315.69,311.1,314.39,2150832.0,313.736,15351
2020-08-05,316.37,329.68,315.87,328.0,3981452.0,325.571,27621
2020-08-06,327.4,331.22,325.9,330.14,3424533.0,328.788,21154
2020-08-07,328.0,328.33,323.93,328.02,2462129.0,326.575,16166
2020-08-10,327.19,329.74,321.85,322.88,2412949.0,325.027,16154
2020-08-11,325.0,334.55,323.58,328.54,3090677.0,330.097,20468
2020-08-12,328.66,331.4,326.2,327.63,1729701.0,328.196,12455
2020-08-13,325.93,329.84,325.62,326.19,1486938.0,327.722,10165
2020-08-14,325.67,327.64,324.81,326.8,747209.0,326.637,5556
2020-08-17,327.0,331.23,326.67,330.23,1906093.0,329.697,11755
2020-08-18,330.2,331.4,326.35,331.0,1997081.0,329.659,11538
2020-08-19,330.04,334.46,330.0,332.4,2115281.0,332.263,13795
2020-08-20,330.19,338.0,330.19,337.32,1907778.0,335.193,13727
2020-08-21,338.0,338.8,335.97,337.1,1644119.0,337.483,11231
2020-08-24,339.36,343.83,338.75,343.64,1772393.0,341.687,12532
2020-08-25,344.71,348.46,343.33,347.66,1775221.0,346.479,11827
2020-08-26,348.0,352.29,345.5,351.02,2095925.0,349.905,14744
2020-08-27,351.73,358.0,350.58,356.0,2473171.0,355.292,15948
2020-08-28,357.48,367.25,356.16,366.12,2243707.0,363.281,14177
2020-08-31,366.63,366.63,357.68,358.19,2096338.0,360.677,14603
2020-09-01,357.71,359.44,353.56,356.9,2767692.0,356.093,19307
2020-09-02,357.39,361.6,356.28,360.7,2639432.0,359.444,16923
2020-09-03,358.47,358.94,341.26,343.84,3477873.0,347.346,23876
2020-09-04,343.0,346.99,326.55,335.01,4217547.0,334.975,31274
2020-09-08,328.76,335.71,326.9,329.88,2633225.0,331.703,19458
2020-09-09,337.39,342.76,332.37,339.64,1904006.0,338.772,13576
2020-09-10,342.5,345.13,331.14,332.88,1638926.0,338.682,11466
2020-09-11,334.71,334.71,327.31,330.15,1836880.0,331.162,12351
2020-09-14,334.97,340.0,334.02,338.6,1606341.0,338.306,11871
2020-09-15,342.74,343.93,338.53,339.14,1253622.0,341.308,8980
2020-09-16,341.28,346.04,339.78,341.85,1853111.0,342.874,12989
2020-09-17,337.14,343.72,335.5,339.43,1900082.0,339.637,14380
2020-09-18,338.21,341.14,333.37,335.26,2085682.0,337.456,12486
2020-09-21,329.47,331.67,320.81,327.85,2601901.0,325.295,18311
2020-09-22,329.51,336.03,325.11,335.31,1993062.0,330.607,13362
2020-09-23,334.84,335.17,323.47,324.53,1452791.0,328.384,10775
2020-09-24,323.2,330.78,321.18,328.21,2577796.0,327.543,15299
2020-09-25,325.65,333.48,322.1,331.78,1930994.0,329.282,12876
2020-09-28,336.61,340.57,335.81,338.39,1546463.0,338.303,11693
2020-09-29,338.39,340.72,335.82,336.23,1560521.0,338.086,10640
2020-09-30,336.7,343.65,336.42,338.17,1574007.0,339.895,10753
2020-10-01,342.24,346.7,340.28,343.37,1415381.0,342.996,10768
2020-10-02,338.27,342.61,336.01,338.83,1256532.0,339.778,8886
2020-10-05,341.68,343.25,338.97,343.25,1174892.0,341.247,8217
2020-10-06,342.06,346.36,336.22,337.43,1513025.0,342.328,9753
2020-10-07,341.78,344.65,340.33,343.9,1891426.0,342.736,12150
2020-10-08,345.01,347.69,344.24,345.15,1155429.0,345.551,8460
2020-10-09,347.99,353.36,347.0,352.39,1430244.0,351.289,9977
2020-10-12,355.0,355.0,350.82,352.04,1333417.0,353.363,8925
2020-10-13,351.43,351.5,345.02,345.84,1486254.0,347.931,10520
2020-10-14,345.51,347.19,341.19,342.7,1245416.0,343.729,8257
2020-10-15,338.51,339.61,332.81,338.57,2373296.0,336.639,16945
2020-10-16,340.0,344.98,339.23,339.4,1970518.0,341.31,13426
2020-10-19,340.12,341.3,330.43,331.67,1638704.0,334.658,12067
2020-10-20,333.04,336.8,331.68,331.72,1564496.0,334.382,10638
2020-10-21,332.49,336.32,331.3,333.42,1812767.0,333.755,12107
2020-10-22,333.37,335.38,329.25,333.6,1224597.0,332.97,8305
2020-10-23,335.69,335.69,328.31,329.61,1763127.0,330.091,13113
2020-10-26,326.41,327.24,314.23,318.06,3139091.0,318.63,20672
2020-10-27,318.9,319.56,312.35,317.11,2648503.0,315.765,19975
2020-10-28,301.69,302.0,288.6,291.38,8397613.0,296.558,52702
2020-10-29,293.2,295.3,287.55,293.18,6900834.0,292.29,41117
2020-10-30,289.85,291.85,281.2,288.64,4192759.0,286.026,27710
2020-11-02,294.24,294.84,288.12,289.97,3149854.0,291.254,22603
2020-11-03,293.94,300.34,291.78,295.39,2623923.0,296.43,17254
2020-11-04,305.09,312.72,302.24,307.2,3202253.0,308.059,17763
2020-11-05,315.14,319.35,313.58,316.53,2034300.0,316.532,14306
2020-11-06,315.98,316.49,310.09,313.64,1840589.0,314.111,11366
2020-11-09,346.92,357.0,340.9,344.56,7630141.0,347.206,46341
2020-11-10,339.99,345.86,333.44,334.78,3264592.0,338.276,22345
2020-11-11,337.41,337.7,331.07,332.39,1814641.0,333.706,12891
2020-11-12,329.06,333.09,326.29,328.29,1853445.0,329.258,12926
2020-11-13,330.3,336.11,327.34,335.03,1435829.0,332.294,10003
2020-11-16,341.8,342.65,333.17,335.45,2155765.0,335.973,14883
2020-11-17,333.17,337.77,330.72,336.5,2114150.0,334.561,14792
2020-11-18,336.53,340.95,334.85,335.94,1983613.0,338.367,14215
2020-11-19,335.49,339.16,331.42,333.88,1475307.0,335.337,10510
2020-11-20,334.78,335.16,323.0,323.0,2399735.0,327.904,15188
2020-11-23,326.21,333.2,324.37,332.04,2008209.0,329.347,13338
2020-11-24,336.91,344.11,334.11,342.39,1850297.0,340.545,12156
2020-11-25,343.71,343.71,339.34,341.32,1374391.0,341.712,9120
2020-11-27,342.83,342.88,337.61,339.07,785566.0,339.747,5499
2020-11-30,337.66,338.05,330.18,336.51,1966852.0,334.9,13548
2020-12-01,339.67,342.63,337.62,338.88,2040628.0,339.915,13078
2020-12-02,336.78,340.24,334.0,340.22,1565631.0,337.685,10293
2020-12-03,338.56,342.32,334.12,335.14,1509254.0,338.237,10334
2020-12-04,336.92,344.36,335.8,344.35,1152315.0,341.021,8444
2020-12-07,343.0,347.99,340.05,340.96,1050134.0,342.975,7542
2020-12-08,338.28,342.83,336.7,340.79,1193615.0,340.289,8483
2020-12-09,340.41,341.71,334.69,336.85,1405485.0,337.838,10082
2020-12-10,334.65,335.54,331.19,331.52,1709159.0,333.555,11310
2020-12-11,327.09,331.57,325.53,327.42,2580658.0,327.569,17159
2020-12-14,329.0,338.75,327.59,331.15,2069888.0,333.858,14895
2020-12-15,333.16,335.22,327.62,333.65,1337652.0,331.986,9777
2020-12-16,333.96,334.0,329.25,332.1,1666145.0,331.708,11553
2020-12-17,334.54,338.33,333.4,336.9,1468565.0,336.311,10946
2020-12-18,336.51,341.6,334.35,340.33,2528196.0,337.947,14692
2020-12-21,333.21,336.15,327.24,334.37,2113669.0,331.666,14975
2020-12-22,334.16,335.22,331.6,332.24,1296820.0,333.43,9254
2020-12-23,334.13,335.21,329.03,329.23,1493181.0,331.463,8811
2020-12-24,330.65,336.37,330.35,336.0,871970.0,334.327,4902
2020-12-28,337.86,345.59,336.87,344.47,1895709.0,342.92,10981
2020-12-29,347.78,348.75,344.76,346.66,1702772.0,347.065,11219
2020-12-30,348.68,357.82,347.21,355.55,2616313.0,354.582,18096
2020-12-31,355.03,359.41,353.25,356.94,1373057.0,356.012,10882
2021-01-04,358.0,358.13,347.36,351.49,2716629.0,351.32,19928
2021-01-05,348.8,353.0,345.43,347.42,1532803.0,348.162,11196
2021-01-06,350.42,354.03,344.56,347.55,2135521.0,350.322,14794
2021-01-07,348.95,352.37,348.38,349.86,1525436.0,350.55,11128
2021-01-08,351.36,354.98,349.49,353.85,1247405.0,352.305,9122
2021-01-11,352.11,353.42,347.79,348.2,1211452.0,350.027,8361
2021-01-12,347.08,348.0,336.03,342.92,3014255.0,340.944,19359
2021-01-13,349.61,349.76,344.23,346.33,2539513.0,347.347,16425
2021-01-14,348.69,349.58,326.69,326.93,5383561.0,333.173,34916
2021-01-15,327.54,329.69,321.88,323.26,5380228.0,324.614,29754
2021-01-19,326.99,329.13,324.66,325.94,2521577.0,327.054,16548
2021-01-20,329.99,337.93,329.13,334.91,3102977.0,335.37,21940
2021-01-21,334.41,336.86,331.75,334.44,2265493.0,334.601,15190
2021-01-22,330.39,335.15,328.91,328.99,2340777.0,331.025,15261
2021-01-25,327.51,329.95,317.23,329.19,4300705.0,323.82,29498
2021-01-26,330.0,330.54,325.82,327.7,2341221.0,328.523,16182
2021-01-27,320.36,323.0,313.12,315.49,4924964.0,316.448,35730
2021-01-28,327.09,329.0,321.97,324.28,4496867.0,326.314,31741
2021-01-29,323.8,325.68,312.38,316.29,4904795.0,317.669,33184
2021-02-01,320.91,323.52,317.58,321.56,3335922.0,320.161,22070
2021-02-02,323.45,336.16,323.45,334.37,3569959.0,331.913,25057
2021-02-03,333.84,336.0,331.07,332.82,2154850.0,333.164,14532
2021-02-04,335.49,343.25,335.06,340.83,2437586.0,340.628,17643
2021-02-05,342.52,344.33,337.39,338.75,1743261.0,339.745,12554
2021-02-08,340.0,341.49,335.53,337.03,1652209.0,337.267,11746
2021-02-09,335.95,336.22,330.0,333.44,1976509.0,333.215,13859
2021-02-10,335.0,335.47,332.25,334.21,2923557.0,333.601,18452
