date,open,high,low,close,volume,average,barCount
2020-07-13,54.36,55.07,52.23,52.29,3854878.0,53.656,12752
2020-07-14,51.94,53.93,51.66,53.79,5082260.0,53.1195,12436
2020-07-15,54.24,54.43,53.35,53.94,2002802.0,53.8545,7007
2020-07-16,53.07,53.42,52.51,52.82,2385404.0,52.8575,9270
2020-07-17,53.24,53.56,52.62,52.84,2167308.0,53.01,7074
2020-07-20,53.05,53.96,52.49,53.84,2813918.0,53.129,9135
2020-07-21,53.87,54.33,53.19,53.35,2379022.0,53.618,8430
2020-07-22,53.57,53.7,52.19,52.24,3269190.0,52.8175,10448
2020-07-23,52.2,52.47,50.42,50.77,3836872.0,51.271,13128
2020-07-24,50.34,51.28,49.67,50.1,3288766.0,50.47,10778
2020-07-27,50.91,52.19,50.63,51.55,4228686.0,51.46,11110
2020-07-28,51.27,51.28,50.04,50.26,1904862.0,50.5995,7276
2020-07-29,50.64,51.6,50.34,51.35,2067336.0,51.174,7882
2020-07-30,50.26,51.19,49.88,51.13,2145786.0,50.5565,7611
2020-07-31,51.14,51.33,50.21,50.87,1920838.0,50.5465,6232
2020-08-03,51.23,52.58,51.13,52.44,2409570.0,52.1985,8914
2020-08-04,52.11,53.83,52.1,53.66,3460780.0,53.2145,11605
2020-08-05,49.99,50.38,48.93,49.25,11357740.0,49.5695,35679
2020-08-06,49.01,49.6,48.76,49.6,3089072.0,49.363,11091
2020-08-07,49.59,49.9,48.83,49.49,3253114.0,49.2365,8913
2020-08-10,49.3,50.17,49.22,50.13,2383676.0,49.828,6714
2020-08-11,50.3,51.58,50.24,50.32,3273532.0,50.9805,9470
2020-08-12,50.93,51.21,50.52,51.05,2256610.0,50.9685,6673
2020-08-13,51.15,51.16,50.05,50.29,1533696.0,50.408,6373
2020-08-14,50.2,50.54,49.97,50.1,1411472.0,50.175,4406
2020-08-17,50.3,51.79,50.22,51.68,2721690.0,51.341,9446
2020-08-18,51.97,53.83,51.77,53.68,8003952.0,53.4695,30867
2020-08-19,53.77,55.49,53.51,54.06,7450874.0,54.5665,27991
