date,open,high,low,close,volume,average,barCount
2020-07-13,294.76,296.41,284.34,285.76,268476.0,290.84,2246
2020-07-14,284.49,291.43,282.86,291.24,225759.0,287.399,1809
2020-07-15,296.16,296.36,290.15,293.52,259222.0,292.399,2230
2020-07-16,291.28,292.44,286.23,289.38,249876.0,288.463,2236
2020-07-17,291.09,292.82,288.75,292.51,244422.0,291.51,1841
2020-07-20,292.97,295.32,291.97,293.93,241804.0,294.143,2026
2020-07-21,296.11,296.11,289.99,290.88,280865.0,292.573,2482
2020-07-22,290.35,293.93,290.35,293.5,334980.0,292.484,2607
2020-07-23,293.55,295.75,286.35,288.12,285003.0,289.709,2604
2020-07-24,288.05,290.96,284.36,289.68,306527.0,289.151,2388
2020-07-27,289.98,295.53,288.37,289.5,632798.0,290.704,5237
2020-07-28,289.19,289.19,282.08,282.66,511641.0,284.124,4278
2020-07-29,282.9,292.13,282.26,291.36,393340.0,289.765,2979
2020-07-30,285.25,288.6,280.08,283.77,455727.0,283.641,3585
2020-07-31,285.38,285.38,276.72,281.3,432016.0,279.95,3364
2020-08-03,284.95,286.34,279.9,280.63,290831.0,282.433,2365
2020-08-04,279.04,279.96,271.32,276.0,505399.0,275.401,4064
2020-08-05,275.91,278.63,274.32,277.62,468973.0,276.844,3520
2020-08-06,276.55,279.34,274.4,279.32,335432.0,276.661,2669
2020-08-07,277.61,277.82,272.7,275.52,310576.0,275.006,2697
2020-08-10,273.55,274.98,270.54,271.15,260920.0,272.549,2186
2020-08-11,272.76,276.61,268.18,274.53,458857.0,273.405,3557
2020-08-12,277.12,282.15,277.12,278.84,317250.0,279.726,2664
2020-08-13,278.44,282.87,278.44,281.97,324618.0,281.433,2338
2020-08-14,282.71,283.75,279.76,281.05,197664.0,280.965,1623
2020-08-17,281.41,285.05,281.37,283.62,264484.0,283.746,2289
2020-08-18,283.51,286.99,282.64,285.49,351956.0,285.231,2743
2020-08-19,286.12,288.36,281.54,281.69,286596.0,283.803,2545
2020-08-20,279.8,284.84,279.02,283.46,252779.0,283.126,1984
2020-08-21,284.48,285.27,281.07,284.47,262980.0,283.895,1994
2020-08-24,286.44,286.56,283.88,284.22,264712.0,284.938,2311
2020-08-25,286.02,286.02,283.47,285.38,347429.0,284.861,2944
2020-08-26,285.04,293.75,284.02,291.95,303362.0,289.962,2174
2020-08-27,292.44,295.15,289.99,292.16,170405.0,292.811,1468
2020-08-28,293.36,294.98,291.63,294.39,224197.0,293.908,1867
2020-08-31,294.77,297.16,292.69,294.64,214932.0,295.244,1714
2020-09-01,294.0,297.04,292.81,296.07,201331.0,295.088,1477
2020-09-02,297.67,305.96,297.67,304.49,289220.0,302.679,2129
2020-09-03,302.42,302.42,288.8,291.25,350159.0,292.416,2954
2020-09-04,292.53,292.67,277.47,282.47,273440.0,282.565,2216
2020-09-08,277.97,281.89,274.24,278.7,484859.0,279.232,3519
2020-09-09,283.88,290.16,282.48,288.41,279987.0,287.925,2070
2020-09-10,287.43,290.9,281.87,283.78,299034.0,286.899,2583
2020-09-11,283.95,287.83,282.13,284.94,258357.0,284.853,1831
2020-09-14,289.28,292.22,286.87,288.68,221700.0,289.657,1869
2020-09-15,289.54,293.0,286.76,286.95,392874.0,289.222,3113
2020-09-16,287.0,290.08,285.67,286.82,353848.0,288.411,2766
2020-09-17,282.96,285.51,279.68,282.71,199640.0,282.18,1749
2020-09-18,280.9,284.81,278.6,280.82,458324.0,280.889,2632
2020-09-21,277.04,280.42,274.8,280.04,469431.0,277.512,2945
2020-09-22,279.85,282.0,274.52,279.13,211400.0,277.488,1768
2020-09-23,279.52,281.11,273.43,273.66,166653.0,276.768,1470
2020-09-24,273.39,278.86,272.61,275.51,219274.0,275.773,1945
2020-09-25,273.78,281.36,273.11,280.49,239003.0,278.304,2040
2020-09-28,283.66,286.5,282.65,285.16,271966.0,285.192,2351
2020-09-29,285.53,288.29,282.94,285.73,191016.0,286.692,1532
2020-09-30,286.88,292.63,286.0,289.85,269593.0,290.069,2248
2020-10-01,294.08,298.18,290.43,293.5,306161.0,294.414,2350
2020-10-02,289.88,296.4,287.68,293.96,216018.0,293.527,1898
2020-10-05,295.88,297.93,292.07,295.18,134129.0,294.441,1117
2020-10-06,296.35,296.77,286.02,287.94,376758.0,290.778,2882
2020-10-07,288.86,291.22,287.19,288.25,196743.0,288.3,1489
2020-10-08,289.22,294.03,289.22,292.14,169861.0,291.814,1164
2020-10-09,293.79,295.19,292.65,294.73,197512.0,293.993,1470
2020-10-12,296.9,297.14,292.78,293.33,213003.0,294.518,1516
2020-10-13,293.98,296.5,290.84,293.41,164978.0,293.908,1192
2020-10-14,294.13,296.17,289.9,290.11,227134.0,291.913,1665
2020-10-15,288.28,290.74,284.39,290.48,380813.0,287.318,2093
2020-10-16,291.48,296.05,288.99,289.06,242300.0,291.651,1672
2020-10-19,289.67,293.07,283.38,284.53,237915.0,286.138,1803
2020-10-20,284.98,288.65,282.59,285.39,238553.0,285.387,1805
2020-10-21,284.9,287.26,277.01,277.16,229253.0,280.52,1910
2020-10-22,277.13,278.29,271.2,272.72,581439.0,273.641,4495
2020-10-23,273.37,274.78,270.19,271.88,422083.0,271.948,3475
2020-10-26,269.28,270.92,266.34,269.0,410662.0,268.489,3353
2020-10-27,270.1,272.33,265.2,266.19,289949.0,267.105,2478
2020-10-28,261.46,263.71,257.95,261.86,450813.0,260.747,3788
2020-10-29,261.22,266.0,253.17,263.0,835730.0,261.742,4468
2020-10-30,261.26,268.34,259.45,262.9,677409.0,263.228,4644
2020-11-02,266.55,273.49,263.62,265.93,523413.0,266.548,4177
2020-11-03,269.38,273.56,268.44,269.18,378966.0,270.716,3294
2020-11-04,272.63,288.39,272.63,285.61,522928.0,284.49,3949
2020-11-05,290.44,293.74,287.45,291.06,361822.0,291.336,3097
2020-11-06,291.08,292.73,285.96,290.63,259643.0,290.299,2114
2020-11-09,302.7,304.64,274.63,275.45,870193.0,285.131,6938
2020-11-10,276.46,276.46,268.05,270.33,654643.0,271.089,4202
2020-11-11,273.43,282.3,273.43,280.25,319550.0,279.669,2552
2020-11-12,280.83,281.67,274.99,276.34,268528.0,276.987,2281
2020-11-13,277.55,278.2,273.24,275.41,277378.0,275.665,2148
2020-11-16,277.03,278.02,272.9,275.54,353136.0,275.626,2660
