date,open,high,low,close,volume,average,barCount
2020-07-13,51.97,52.2,51.51,51.65,4448900.0,51.917,34023
2020-07-14,51.57,53.03,51.3,52.85,5140075.0,52.55,35978
2020-07-15,53.35,53.54,52.36,52.57,5984878.0,52.987,41468
2020-07-16,52.59,53.44,52.51,53.04,3953060.0,53.06,28434
2020-07-17,53.43,54.34,53.14,54.07,4359252.0,53.912,25836
2020-07-20,54.0,54.07,53.25,53.42,3429477.0,53.494,22863
2020-07-21,53.46,54.8,53.44,54.04,4208639.0,54.256,26126
2020-07-22,54.1,54.65,53.82,54.55,3388123.0,54.239,21892
2020-07-23,54.94,55.18,54.56,54.88,3881452.0,54.916,24042
2020-07-24,55.27,55.63,54.54,54.87,3970199.0,55.023,24445
2020-07-27,54.61,55.63,54.55,55.58,3355903.0,55.247,23288
2020-07-28,55.46,56.0,55.46,55.71,4716117.0,55.764,29937
2020-07-29,57.04,57.7,55.92,56.79,7647465.0,56.684,39363
2020-07-30,56.21,56.38,55.69,55.77,6000781.0,55.925,36534
2020-07-31,55.43,55.68,54.56,55.49,4577327.0,55.106,30261
2020-08-03,55.46,55.96,55.36,55.49,2666192.0,55.619,17973
2020-08-04,55.29,55.84,54.97,55.58,2964015.0,55.515,17818
2020-08-05,55.51,55.69,55.09,55.15,3094827.0,55.347,19067
2020-08-06,54.4,55.53,54.4,55.49,4466204.0,55.236,24246
2020-08-07,55.46,55.69,55.28,55.6,3665675.0,55.507,21230
2020-08-10,55.39,55.7,55.21,55.49,2873865.0,55.44,19517
2020-08-11,55.7,55.89,55.05,55.2,3254911.0,55.389,23483
2020-08-12,55.05,56.41,55.03,56.03,5089277.0,55.996,31256
2020-08-13,56.19,56.35,55.86,56.01,2543336.0,56.099,17334
2020-08-14,56.07,56.42,55.87,56.12,2239675.0,56.13,15479
2020-08-17,55.99,56.69,55.85,56.52,3539026.0,56.435,20752
2020-08-18,56.55,57.34,56.42,57.27,5297639.0,57.047,32096
2020-08-19,57.19,57.33,56.66,56.76,4968712.0,56.879,31615
2020-08-20,56.4,57.27,56.25,57.24,3541442.0,56.979,22247
2020-08-21,57.03,57.73,57.03,57.47,4785820.0,57.427,28863
2020-08-24,57.44,58.0,57.39,57.98,2795708.0,57.766,18835
2020-08-25,58.1,58.24,57.63,57.89,3665076.0,57.816,18825
2020-08-26,57.85,58.4,57.54,58.36,3259143.0,57.99,19654
2020-08-27,58.6,58.87,58.06,58.13,2961058.0,58.383,20172
2020-08-28,58.0,58.36,57.51,58.31,2090169.0,57.967,14662
2020-08-31,58.2,58.8,58.01,58.42,3597226.0,58.35,24256
2020-09-01,58.37,58.43,57.59,58.2,3589882.0,57.936,22987
2020-09-02,58.22,59.25,58.01,59.01,3765598.0,58.881,25679
2020-09-03,58.94,59.72,57.42,57.83,5750293.0,58.353,40572
2020-09-04,58.09,58.35,57.08,57.88,6130982.0,57.71,41274
2020-09-08,57.36,57.88,56.12,56.39,5863649.0,56.764,41418
2020-09-09,56.5,58.0,56.5,57.5,4282098.0,57.509,29962
2020-09-10,57.24,57.97,56.87,57.1,4256578.0,57.461,32665
2020-09-11,57.3,57.74,56.91,57.55,4616942.0,57.393,34098
2020-09-14,57.69,58.32,57.42,58.01,3200605.0,58.081,22002
2020-09-15,58.18,58.32,57.91,58.09,3948489.0,58.149,23868
2020-09-16,58.25,58.67,57.89,57.97,4040706.0,58.315,27627
2020-09-17,57.44,57.66,56.66,57.21,5790612.0,57.112,38345
2020-09-18,57.23,57.47,56.13,56.52,6777670.0,56.929,33615
2020-09-21,56.04,56.15,55.24,55.85,3383398.0,55.77,23640
2020-09-22,55.79,56.3,55.54,55.81,5161095.0,55.81,32340
2020-09-23,55.59,56.19,54.72,54.82,4049818.0,55.246,27784
2020-09-24,54.83,55.93,54.48,55.61,4563939.0,55.387,32329
2020-09-25,55.08,56.24,54.97,56.16,3199893.0,55.736,22251
2020-09-28,56.96,57.37,56.5,57.01,3086297.0,57.041,21844
2020-09-29,57.07,57.09,56.3,56.48,3178227.0,56.704,19210
2020-09-30,56.59,57.73,56.42,57.45,3830541.0,57.288,25208
2020-10-01,57.63,57.96,57.16,57.91,3989489.0,57.646,25136
2020-10-02,57.44,57.78,56.56,56.86,4712463.0,57.096,32569
2020-10-05,56.95,57.14,56.7,57.08,2686648.0,56.937,17992
2020-10-06,57.02,57.2,55.92,56.09,3573140.0,56.553,26894
2020-10-07,56.17,56.42,55.66,56.19,3235036.0,56.016,20650
2020-10-08,56.42,56.75,56.23,56.5,3157495.0,56.494,19531
2020-10-09,56.87,57.48,56.67,57.3,2933580.0,57.189,20727
2020-10-12,57.63,59.07,57.62,58.65,6407867.0,58.635,37352
2020-10-13,58.89,59.02,58.53,58.9,3813613.0,58.773,26779
2020-10-14,58.71,59.11,58.11,58.59,3299554.0,58.58,21045
2020-10-15,57.8,58.49,57.63,58.34,3924858.0,58.042,26700
2020-10-16,58.58,58.7,57.83,57.97,4526183.0,58.299,23895
2020-10-19,57.98,58.31,57.03,57.17,2547403.0,57.585,17793
2020-10-20,57.53,57.62,56.8,56.98,2981676.0,57.205,21018
2020-10-21,56.68,57.25,56.64,56.82,2811474.0,56.938,18776
2020-10-22,56.83,56.91,56.24,56.82,2552233.0,56.642,16616
2020-10-23,57.26,57.3,56.47,56.61,2438705.0,56.683,17462
2020-10-26,56.16,56.17,54.79,55.23,4546531.0,55.248,34139
2020-10-27,55.39,55.76,54.93,55.01,3049748.0,55.393,21962
2020-10-28,54.28,54.59,53.07,53.15,4058365.0,53.658,27259
2020-10-29,53.16,53.78,52.51,53.19,4338802.0,53.232,29421
2020-10-30,52.91,53.51,52.56,53.12,4260486.0,52.988,30806
2020-11-02,53.79,54.6,53.6,54.34,4116106.0,54.193,29135
2020-11-03,54.03,55.49,54.0,54.42,4931074.0,54.75,29754
2020-11-04,55.61,55.81,54.67,54.94,5765426.0,55.088,38434
2020-11-05,55.56,56.11,55.37,55.64,4080378.0,55.807,26684
2020-11-06,55.81,56.38,55.62,55.84,3079146.0,55.928,23004
2020-11-09,57.63,58.24,55.88,55.92,5769841.0,56.816,41270
2020-11-10,55.37,57.36,55.06,57.09,4736120.0,56.766,35077
2020-11-11,57.2,58.1,57.04,57.74,3990459.0,57.736,27853
2020-11-12,57.81,57.81,57.0,57.47,2338518.0,57.377,17152
2020-11-13,57.53,58.13,57.34,58.06,3166651.0,57.654,20479
2020-11-16,58.3,58.7,57.97,58.68,3482267.0,58.357,23988
2020-11-17,58.26,58.95,58.19,58.54,3094766.0,58.629,22045
2020-11-18,58.73,59.03,57.75,57.76,3219708.0,58.487,20866
2020-11-19,57.52,57.65,56.93,57.6,4506003.0,57.233,27943
2020-11-20,57.42,57.78,56.97,57.14,3207893.0,57.235,21722
2020-11-23,57.05,57.51,56.87,57.35,3003411.0,57.208,21869
2020-11-24,57.55,58.03,57.35,57.82,6748114.0,57.679,39554
2020-11-25,58.0,58.09,57.47,57.49,2872126.0,57.759,19592
2020-11-27,57.63,57.82,57.3,57.46,1826340.0,57.529,13083
2020-11-30,57.25,57.51,56.89,57.45,3909125.0,57.207,26062
2020-12-01,57.79,58.69,57.49,58.46,4711943.0,58.309,33279
