date,open,high,low,close,volume,average,barCount
2020-07-13,37.5,37.95,37.1,37.41,4083353.0,37.54,26391
2020-07-14,37.34,37.96,36.98,37.89,3345774.0,37.674,24260
2020-07-15,38.72,38.84,38.09,38.64,3652867.0,38.524,23996
2020-07-16,38.24,39.52,37.96,38.73,3411515.0,38.847,22210
2020-07-17,38.73,38.86,38.15,38.47,2995939.0,38.433,18736
2020-07-20,38.25,38.45,37.64,37.78,3003549.0,37.859,21375
2020-07-21,38.02,39.0,38.01,38.32,3424946.0,38.561,24370
2020-07-22,38.04,38.49,37.88,38.42,2694429.0,38.216,18914
2020-07-23,38.21,38.85,38.14,38.56,2881078.0,38.484,19857
2020-07-24,38.73,38.82,38.17,38.22,2257155.0,38.412,15616
2020-07-27,38.03,38.08,37.42,37.8,2813704.0,37.776,17770
2020-07-28,37.62,38.02,37.5,37.59,2940435.0,37.705,18180
2020-07-29,37.61,38.73,37.42,38.68,3392948.0,38.179,22637
2020-07-30,37.61,37.73,36.93,37.55,3673355.0,37.334,22188
2020-07-31,37.53,37.89,37.17,37.85,3012876.0,37.504,18347
2020-08-03,37.47,37.98,37.05,37.3,2863285.0,37.567,18692
2020-08-04,37.2,37.31,36.82,36.9,2844741.0,36.991,17991
2020-08-05,37.44,38.46,37.32,38.28,4167826.0,38.182,26015
2020-08-06,37.49,38.46,36.93,36.98,5368199.0,37.431,31932
2020-08-07,36.92,38.92,36.57,38.72,6658814.0,38.102,34051
2020-08-10,38.89,39.97,38.89,39.78,4852353.0,39.626,26233
2020-08-11,40.94,41.47,40.54,40.57,6161646.0,41.01,37893
2020-08-12,41.48,41.48,39.53,40.04,4320574.0,40.222,26925
2020-08-13,39.5,39.98,39.13,39.44,3160028.0,39.399,21963
2020-08-14,39.11,39.79,38.98,39.61,2950910.0,39.433,19274
2020-08-17,39.68,39.7,38.77,38.88,2534461.0,39.079,16344
2020-08-18,38.89,39.19,38.18,38.31,3213212.0,38.511,19068
2020-08-19,38.34,39.01,38.12,38.2,2651076.0,38.442,16619
2020-08-20,37.81,38.1,37.51,37.62,2437844.0,37.735,16095
2020-08-21,37.61,37.98,37.16,37.28,2269346.0,37.427,13829
2020-08-24,37.46,38.64,37.27,38.62,7856692.0,38.069,19126
2020-08-25,39.07,39.32,38.41,38.66,2580970.0,38.765,16154
2020-08-26,38.56,38.65,38.19,38.32,2173199.0,38.427,14347
2020-08-27,38.46,39.37,38.36,39.07,2626794.0,39.083,17199
2020-08-28,39.52,39.55,38.88,39.42,1997083.0,39.263,13167
2020-08-31,39.24,39.34,38.42,38.46,2825139.0,38.635,18518
2020-09-01,38.32,39.05,37.97,38.5,2610495.0,38.563,15995
2020-09-02,38.31,38.93,37.97,38.82,2842521.0,38.641,17137
2020-09-03,39.2,40.05,37.95,38.2,4036654.0,38.734,24591
2020-09-04,38.9,39.48,38.25,39.15,4043932.0,38.987,27288
2020-09-08,38.91,39.0,37.72,37.88,3982680.0,38.088,26276
2020-09-09,38.24,38.64,37.92,38.28,2774743.0,38.319,18429
2020-09-10,38.42,39.07,37.62,37.69,3232632.0,38.106,21336
2020-09-11,37.83,38.48,37.57,38.23,3210337.0,38.141,20409
2020-09-14,38.52,39.08,38.3,38.84,2252781.0,38.791,14713
2020-09-15,38.79,38.88,37.48,37.51,3328769.0,37.922,20065
2020-09-16,37.75,38.25,37.55,37.63,6917028.0,37.978,39500
2020-09-17,37.5,39.48,36.97,39.32,7234936.0,38.736,41134
2020-09-18,39.21,40.1,39.15,39.67,5953255.0,39.731,33781
2020-09-21,38.51,38.83,37.03,37.43,5308466.0,37.612,33565
2020-09-22,37.27,37.79,36.5,36.95,4011137.0,36.961,25026
2020-09-23,37.12,37.62,36.0,36.09,4487939.0,36.684,25613
2020-09-24,36.26,36.48,35.19,35.75,4769566.0,35.82,29360
2020-09-25,35.5,36.43,35.38,36.26,2790218.0,35.936,18275
2020-09-28,36.87,37.75,36.87,37.25,2762029.0,37.388,17012
2020-09-29,37.11,37.32,36.46,36.77,2699092.0,36.832,16947
2020-09-30,36.97,37.54,36.74,37.17,3453856.0,37.099,21490
2020-10-01,37.24,37.67,36.83,37.26,2841773.0,37.182,18810
2020-10-02,36.65,37.95,36.57,37.63,2954671.0,37.432,19005
2020-10-05,38.15,38.92,37.71,38.52,2768224.0,38.569,17423
2020-10-06,39.01,39.75,38.26,38.37,4393343.0,39.054,27733
2020-10-07,38.98,39.78,38.91,39.34,4479915.0,39.377,23376
2020-10-08,39.49,40.07,39.41,39.85,2992610.0,39.709,18097
2020-10-09,40.08,40.29,39.42,39.48,2915797.0,39.741,18854
2020-10-12,39.63,40.42,39.52,40.34,3740371.0,40.205,22006
2020-10-13,39.88,39.88,38.78,39.0,4590531.0,39.144,24941
2020-10-14,39.0,39.72,38.95,38.97,2967255.0,39.256,18494
2020-10-15,38.37,39.21,38.17,39.13,2511897.0,38.901,15010
2020-10-16,39.28,39.86,38.86,39.28,3698058.0,39.418,18919
2020-10-19,39.52,39.79,38.96,39.07,2541677.0,39.329,16473
2020-10-20,39.56,40.09,39.3,39.34,2614301.0,39.662,17562
2020-10-21,39.12,39.58,39.04,39.13,3075675.0,39.309,19402
2020-10-22,39.18,40.66,39.04,40.61,3393890.0,40.149,22918
2020-10-23,41.0,41.24,40.58,40.94,3401741.0,40.993,22317
2020-10-26,40.33,40.45,39.1,39.38,4573471.0,39.525,29834
2020-10-27,39.32,39.34,37.67,37.77,4116389.0,38.11,25925
2020-10-28,36.82,37.6,36.47,36.6,5093630.0,36.867,33998
2020-10-29,36.31,37.65,35.9,37.31,3708987.0,36.998,25379
2020-10-30,37.12,37.85,36.79,37.85,4294400.0,37.371,29187
2020-11-02,38.09,38.97,37.41,38.7,4177501.0,38.389,29021
2020-11-03,39.5,40.31,39.32,39.97,4277708.0,40.005,28718
2020-11-04,38.89,40.06,38.28,39.0,4999323.0,39.429,34458
2020-11-05,39.95,41.81,39.51,41.13,5815625.0,41.235,36432
2020-11-06,41.77,41.93,40.08,40.48,4170031.0,40.966,27786
2020-11-09,42.93,46.15,42.83,44.94,8648926.0,44.962,56797
2020-11-10,45.8,46.48,44.89,46.03,7125496.0,45.799,46612
2020-11-11,46.0,46.34,45.2,45.51,5454067.0,45.602,31373
2020-11-12,44.71,44.91,43.13,43.78,4787531.0,43.843,32927
2020-11-13,44.27,45.06,44.19,44.74,3122579.0,44.732,21812
2020-11-16,46.2,46.35,45.49,46.03,4297435.0,45.907,28921
2020-11-17,45.63,46.36,45.28,46.01,3307264.0,45.924,23743
2020-11-18,46.25,47.15,45.7,45.71,3672703.0,46.416,24430
2020-11-19,45.19,45.65,44.59,45.51,3864019.0,45.089,25874
2020-11-20,45.29,46.0,44.75,45.87,5496404.0,45.41,34126
2020-11-23,46.47,47.36,46.37,47.17,3177735.0,46.918,21313
2020-11-24,48.0,48.84,47.51,48.67,4346156.0,48.418,27161
2020-11-25,48.12,48.18,47.27,47.76,3524529.0,47.687,22473
2020-11-27,47.72,48.15,47.16,47.45,1416487.0,47.556,9617
