date,open,high,low,close,volume,average,barCount
2020-07-13,16.48,17.3,15.82,16.38,29673915.0,16.723,99610
2020-07-14,16.36,16.45,15.98,16.16,15836115.0,16.172,55138
2020-07-15,17.12,18.29,16.82,18.2,27190581.0,17.6,95511
2020-07-16,17.84,18.08,17.47,17.6,14560006.0,17.798,58088
2020-07-17,17.61,17.7,16.62,16.81,17082594.0,16.926,56772
2020-07-20,16.69,16.93,16.04,16.33,14378099.0,16.34,49175
2020-07-21,16.55,16.92,16.34,16.69,13465785.0,16.642,52102
2020-07-22,16.4,16.83,16.26,16.33,11081998.0,16.502,37654
2020-07-23,16.1,16.17,15.52,15.89,23516808.0,15.828,82727
2020-07-24,15.58,15.94,15.47,15.79,14609586.0,15.683,54897
2020-07-27,15.76,15.77,14.64,14.96,22661597.0,15.014,73311
2020-07-28,14.8,15.82,14.76,15.41,19328613.0,15.486,65882
2020-07-29,15.65,16.26,15.57,16.25,19986139.0,16.034,66688
2020-07-30,16.18,16.7,16.04,16.64,24082811.0,16.435,88403
2020-07-31,15.99,16.49,15.58,16.09,29284201.0,15.921,108368
2020-08-03,16.0,16.51,15.84,16.32,14706157.0,16.247,55890
2020-08-04,16.33,16.79,16.29,16.72,12632129.0,16.626,51964
2020-08-05,17.03,17.31,16.31,16.72,16978742.0,16.723,57739
2020-08-06,16.69,18.6,16.56,18.46,32805929.0,17.876,113045
2020-08-07,18.29,19.39,18.25,19.03,31677221.0,18.903,109959
2020-08-10,22.48,23.79,20.88,21.65,63441266.0,21.918,220101
2020-08-11,22.42,22.48,21.19,21.5,29675790.0,21.815,118009
2020-08-12,21.94,21.95,20.69,21.13,20826679.0,21.134,78731
2020-08-13,20.87,21.68,20.72,21.34,12222485.0,21.367,48691
2020-08-14,21.17,21.85,20.96,21.81,11046870.0,21.542,41419
2020-08-17,21.72,21.88,20.92,21.38,11020539.0,21.389,44428
2020-08-18,21.19,21.32,20.73,20.95,9866905.0,20.952,39945
2020-08-19,20.89,21.21,20.75,20.9,7533824.0,20.951,31836
2020-08-20,20.59,21.08,20.4,20.83,7543777.0,20.886,30833
2020-08-21,20.98,21.7,20.95,21.16,10194716.0,21.346,36648
2020-08-24,21.29,22.28,21.02,22.27,14555631.0,21.97,51755
2020-08-25,22.5,22.65,21.78,22.09,10354249.0,22.1,38870
2020-08-26,22.13,22.18,21.79,21.99,7280231.0,21.98,27812
2020-08-27,22.16,23.43,22.13,22.81,15442181.0,22.996,58496
2020-08-28,23.37,24.37,22.97,23.86,21169778.0,23.854,72460
2020-08-31,23.63,23.65,22.5,22.5,13501082.0,22.863,46041
2020-09-01,22.26,23.02,21.86,22.77,9211966.0,22.596,37405
2020-09-02,22.78,23.83,22.5,23.72,14210292.0,23.22,50273
2020-09-03,23.57,24.42,22.59,23.07,17662465.0,23.442,75634
2020-09-04,23.33,23.94,22.47,23.52,15987399.0,23.308,64368
2020-09-08,22.85,23.7,22.61,23.17,13947047.0,23.265,58840
2020-09-09,23.25,23.35,22.6,23.11,10323137.0,23.005,43328
2020-09-10,23.52,24.13,22.82,22.84,15959584.0,23.506,66197
2020-09-11,23.07,23.12,21.91,22.73,15135450.0,22.517,56676
2020-09-14,22.39,23.16,22.38,23.06,13278618.0,22.867,53292
2020-09-15,23.08,24.25,22.89,23.74,15470428.0,23.65,64158
2020-09-16,23.69,23.78,22.55,23.01,16832712.0,23.005,62303
2020-09-17,22.5,22.88,21.96,22.52,13521109.0,22.439,53029
2020-09-18,22.24,22.7,21.67,22.02,13449769.0,22.114,53538
2020-09-21,21.23,21.48,20.57,21.09,12440587.0,20.976,54927
2020-09-22,21.19,21.76,21.01,21.62,9490844.0,21.458,34770
2020-09-23,21.64,22.38,21.34,21.38,10537163.0,21.818,43602
2020-09-24,21.23,21.71,20.66,21.19,9936501.0,21.188,42899
2020-09-25,21.29,22.25,21.19,22.1,8454019.0,21.825,33857
2020-09-28,22.61,22.86,22.08,22.63,7965538.0,22.541,36118
2020-09-29,22.58,22.58,21.36,21.72,11057439.0,21.785,43658
2020-09-30,21.9,22.55,21.58,21.75,8442262.0,22.108,33766
2020-10-01,21.94,22.23,21.62,21.82,9826220.0,21.88,40140
2020-10-02,21.0,21.91,20.88,21.66,8522868.0,21.508,36945
2020-10-05,21.83,22.02,21.39,21.55,6515458.0,21.593,27630
2020-10-06,21.92,22.26,21.05,21.05,12053747.0,21.78,47771
2020-10-07,21.42,21.75,21.29,21.5,7750797.0,21.521,33715
2020-10-08,21.79,22.03,21.43,21.93,9009838.0,21.792,37070
2020-10-09,21.87,22.08,21.32,21.36,8344922.0,21.594,35452
2020-10-12,21.28,21.49,21.05,21.4,7475027.0,21.323,28565
2020-10-13,21.1,21.24,20.75,20.97,11477529.0,20.97,39447
2020-10-14,21.07,21.42,20.83,21.09,9662270.0,21.144,38887
2020-10-15,20.75,21.18,20.67,21.16,8015676.0,20.922,27585
2020-10-16,21.1,21.48,20.86,21.24,7050070.0,21.199,27484
2020-10-19,21.35,21.49,20.69,20.8,6554436.0,21.083,29105
2020-10-20,21.1,21.67,20.9,21.41,6689006.0,21.395,29026
2020-10-21,21.34,21.57,21.09,21.41,5821949.0,21.386,23597
2020-10-22,21.97,22.69,21.9,22.62,8822366.0,22.344,36874
2020-10-23,22.69,23.47,22.48,23.36,9755422.0,23.013,43172
2020-10-26,22.86,22.89,21.7,22.13,7493935.0,22.234,31663
2020-10-27,21.97,22.12,20.83,21.04,9606917.0,21.3,41154
2020-10-28,20.24,20.64,19.81,20.1,16475378.0,20.169,60261
2020-10-29,20.07,21.34,20.01,21.29,10309473.0,20.974,51651
2020-10-30,20.28,20.74,19.55,20.57,14782207.0,20.163,69754
2020-11-02,20.57,21.17,20.57,20.97,7872037.0,20.944,38492
2020-11-03,21.27,21.9,21.27,21.75,5570056.0,21.67,24665
2020-11-04,21.79,22.44,21.42,21.44,7152957.0,21.862,34524
2020-11-05,21.82,22.38,21.71,21.84,8366197.0,22.066,37187
2020-11-06,21.8,22.14,21.51,22.02,6188459.0,21.87,28015
2020-11-09,25.66,27.5,24.63,25.3,21376623.0,25.586,97310
2020-11-10,25.16,25.4,24.08,24.78,9136650.0,24.673,45785
2020-11-11,24.78,24.78,23.91,23.98,7616070.0,24.233,36678
2020-11-12,23.59,23.78,23.25,23.69,11933280.0,23.502,47348
2020-11-13,23.72,25.9,23.72,25.9,13579796.0,25.263,51407
2020-11-16,27.28,27.28,26.19,26.51,13058507.0,26.658,56039
2020-11-17,26.0,26.71,25.51,26.42,7102187.0,26.251,33119
2020-11-18,26.52,28.06,26.11,26.91,12262506.0,27.361,52884
2020-11-19,26.65,27.28,26.51,27.24,7937801.0,27.017,37514
2020-11-20,27.1,27.35,26.21,26.21,7569887.0,26.687,36390
2020-11-23,26.49,26.85,25.79,26.15,10127171.0,26.189,42607
2020-11-24,26.96,28.56,26.96,28.45,10292132.0,27.966,44622
2020-11-25,28.0,28.62,27.66,28.39,6516398.0,28.223,29504
2020-11-27,28.45,29.27,28.42,28.62,3496824.0,28.903,16203
2020-11-30,28.76,28.93,27.59,28.25,7172456.0,28.295,36325
2020-12-01,28.85,29.18,28.4,28.81,5272899.0,28.908,27358
2020-12-02,28.63,29.61,28.23,29.35,5784114.0,29.266,29397
2020-12-03,29.58,30.6,29.52,29.91,7636389.0,30.105,38749
2020-12-04,30.25,30.79,29.51,30.72,13619944.0,30.21,68565
2020-12-07,30.96,30.96,29.49,29.83,6285850.0,29.828,31840
2020-12-08,29.5,30.35,29.5,29.89,5352299.0,29.79,27576
2020-12-09,30.15,30.49,29.69,29.94,6763504.0,30.074,35047
2020-12-10,29.64,31.05,29.58,30.93,6645095.0,30.514,35670
2020-12-11,30.79,31.08,29.75,30.18,5973724.0,30.247,26491
