date,open,high,low,close,volume,average,barCount
2020-07-13,93.25,94.14,91.29,91.46,512106.0,92.6305,2147
2020-07-14,91.24,94.92,91.24,94.71,783636.0,94.029,3432
2020-07-15,95.1,95.7,94.31,94.6,495756.0,94.8205,2068
2020-07-16,94.52,95.42,94.39,94.86,353314.0,94.841,1401
2020-07-17,95.38,96.17,94.92,95.45,484470.0,95.6225,1840
2020-07-20,95.21,95.86,94.87,95.78,416470.0,95.4535,1644
2020-07-21,97.0,98.26,96.53,96.79,637750.0,97.2845,2243
2020-07-22,97.36,97.46,95.79,96.91,619904.0,96.5545,2501
2020-07-23,97.1,98.39,97.1,97.95,370532.0,97.8605,1589
2020-07-24,97.62,98.26,96.31,96.76,561500.0,96.8925,2571
2020-07-27,96.91,98.04,96.59,98.01,334622.0,97.538,1501
2020-07-28,95.75,97.63,95.24,96.5,635854.0,96.8065,2404
2020-07-29,96.96,97.78,96.68,97.17,395792.0,97.204,1752
2020-07-30,96.68,97.05,95.75,96.92,474126.0,96.582,2021
2020-07-31,96.6,97.45,95.47,97.45,448016.0,96.6365,1743
2020-08-03,97.85,98.59,97.24,98.14,451886.0,98.2075,1793
2020-08-04,98.01,99.42,97.97,99.13,388666.0,98.946,1686
2020-08-05,99.35,99.39,97.82,98.63,415982.0,98.626,1841
2020-08-06,98.27,99.68,98.13,99.53,421812.0,99.0515,1921
2020-08-07,99.07,100.92,99.07,100.78,802712.0,100.2815,3322
2020-08-10,100.75,101.28,100.01,100.91,525398.0,100.7865,2229
2020-08-11,101.0,101.0,98.57,98.89,433126.0,99.078,1910
2020-08-12,99.26,101.57,99.25,100.83,414856.0,100.8595,1734
2020-08-13,100.74,101.49,99.37,101.02,602558.0,100.7675,2488
2020-08-14,101.0,101.76,100.42,100.78,455578.0,100.8575,2027
2020-08-17,100.25,101.71,100.04,101.15,542408.0,101.1195,2177
2020-08-18,101.17,102.0,100.46,101.25,303450.0,101.2815,1246
2020-08-19,101.7,101.7,100.62,101.26,294792.0,101.2455,1190
2020-08-20,100.39,102.07,100.24,101.45,396830.0,101.304,1625
2020-08-21,101.57,101.99,101.25,101.58,309926.0,101.538,1096
2020-08-24,101.8,102.08,100.89,101.42,333304.0,101.4835,1310
2020-08-25,102.13,102.13,100.82,101.39,283680.0,101.357,1187
2020-08-26,101.21,103.29,100.44,102.75,426620.0,102.4755,1952
2020-08-27,102.98,103.62,102.67,102.73,289140.0,103.0455,1177
2020-08-28,102.56,102.81,101.38,102.3,305128.0,102.0305,1289
2020-08-31,102.23,103.44,102.17,103.1,339034.0,102.978,1524
2020-09-01,102.69,103.1,101.7,102.97,316416.0,102.582,1272
2020-09-02,103.5,105.22,103.17,104.89,380324.0,104.589,1555
2020-09-03,104.45,105.54,101.21,102.01,461388.0,102.6455,1928
2020-09-04,102.2,102.69,99.4,100.92,625906.0,100.837,2552
2020-09-08,100.89,100.97,98.58,98.76,582726.0,99.3105,2324
2020-09-09,99.51,102.92,99.51,101.35,732072.0,101.4925,2528
2020-09-10,100.92,101.36,98.44,99.1,397302.0,99.806,1785
2020-09-11,99.36,99.69,98.42,99.32,338406.0,99.13,1350
2020-09-14,100.0,101.41,99.49,100.05,589298.0,100.547,2706
