date,open,high,low,close,volume,average,barCount
2020-07-13,541.32,542.85,515.18,517.57,93338.0,528.476,812
2020-07-14,517.6,522.51,506.36,522.22,110711.0,517.506,941
2020-07-15,525.84,535.3,520.03,531.86,77168.0,529.013,683
2020-07-16,528.35,539.94,525.71,530.76,81120.0,530.742,536
2020-07-17,535.26,536.26,529.95,532.54,71714.0,532.91,573
2020-07-20,534.66,540.33,532.67,534.05,287736.0,535.122,2340
2020-07-21,534.08,536.06,531.38,533.45,148194.0,534.553,1178
2020-07-22,510.0,536.82,510.0,527.11,180295.0,527.963,1187
2020-07-23,531.11,532.06,506.83,509.18,117868.0,520.64,944
2020-07-24,508.75,512.0,501.02,505.81,86432.0,506.357,758
2020-07-27,509.34,522.04,509.23,521.0,61086.0,518.227,534
2020-07-28,517.86,518.02,502.68,509.6,53592.0,509.34,437
2020-07-29,510.82,518.98,510.82,517.39,35022.0,516.823,317
2020-07-30,510.18,517.77,505.31,516.55,53189.0,513.937,455
2020-07-31,518.08,519.0,505.56,516.7,30017.0,512.211,261
2020-08-03,520.59,525.96,510.58,511.69,58791.0,517.518,481
2020-08-04,507.41,512.6,502.61,508.67,81275.0,507.484,655
2020-08-05,504.84,511.02,502.35,510.09,42811.0,507.173,341
2020-08-06,505.48,508.92,501.18,503.65,41172.0,503.314,322
2020-08-07,500.7,510.6,500.7,508.2,63716.0,507.324,541
2020-08-10,508.88,508.88,480.57,482.67,122454.0,487.971,851
2020-08-11,483.38,488.63,471.09,482.79,96149.0,479.738,794
2020-08-12,482.02,495.56,482.02,492.54,45451.0,492.323,416
2020-08-13,491.78,498.06,483.7,496.76,48613.0,493.929,382
2020-08-14,501.76,502.85,494.57,496.5,44747.0,499.144,390
2020-08-17,495.2,502.58,494.73,500.59,50670.0,499.8,443
2020-08-18,500.52,502.0,497.8,499.03,38509.0,499.949,317
2020-08-19,505.78,506.91,491.17,491.88,73868.0,497.012,564
2020-08-20,493.86,504.5,493.02,501.37,38307.0,500.643,355
2020-08-21,504.05,504.7,498.94,499.84,46377.0,501.173,366
2020-08-24,499.86,501.12,486.75,489.48,41911.0,491.231,377
2020-08-25,486.45,487.03,479.5,484.49,63678.0,483.649,471
2020-08-26,487.28,505.0,484.42,499.41,78438.0,498.065,660
2020-08-27,495.3,506.77,494.38,496.2,54333.0,500.36,403
2020-08-28,501.6,501.6,482.99,484.37,64290.0,489.117,541
2020-08-31,484.64,492.02,484.38,485.94,56474.0,486.846,398
2020-09-01,489.51,491.07,486.45,490.42,66042.0,489.444,546
2020-09-02,489.44,499.2,487.53,494.09,109790.0,492.703,820
2020-09-03,489.23,489.61,467.6,471.23,91298.0,476.897,755
2020-09-04,469.09,470.11,451.02,454.45,108793.0,458.112,870
2020-09-08,449.34,455.0,441.12,449.62,181475.0,450.761,1596
2020-09-09,457.18,463.75,450.41,458.67,87499.0,460.009,738
2020-09-10,462.08,467.64,450.68,451.53,83076.0,458.886,679
2020-09-11,455.08,459.8,448.57,453.07,48869.0,454.43,420
2020-09-14,457.93,465.41,457.89,461.85,96398.0,462.684,684
2020-09-15,463.91,465.53,461.64,464.06,64858.0,463.553,459
2020-09-16,468.85,472.71,461.36,461.92,74291.0,466.648,645
2020-09-17,458.03,458.03,444.22,447.49,119581.0,449.243,797
2020-09-18,446.84,449.4,437.89,438.66,189314.0,441.319,1175
2020-09-21,434.33,443.71,434.33,443.0,148318.0,439.824,1250
2020-09-22,442.77,447.08,437.07,446.95,110884.0,441.012,688
2020-09-23,449.84,458.39,447.3,449.46,79422.0,451.8,666
2020-09-24,448.23,463.59,447.83,452.12,75881.0,457.182,634
2020-09-25,450.69,465.66,450.69,465.1,50601.0,460.182,470
2020-09-28,467.18,478.13,464.75,476.05,83299.0,473.058,764
2020-09-29,473.7,491.18,473.07,485.43,160093.0,485.32,1347
2020-09-30,487.52,492.59,477.91,481.59,103858.0,484.76,843
2020-10-01,483.91,487.78,480.4,482.97,59385.0,484.611,540
2020-10-02,477.97,489.99,472.6,482.52,75257.0,484.182,674
2020-10-05,488.87,498.07,486.72,497.28,76725.0,492.586,680
2020-10-06,499.57,501.41,492.41,498.58,84255.0,497.15,736
2020-10-07,505.0,512.94,504.85,510.23,104140.0,509.995,895
2020-10-08,513.01,519.41,511.67,518.42,46238.0,517.112,434
2020-10-09,519.86,524.25,519.38,522.05,40167.0,521.734,381
2020-10-12,528.9,536.35,523.15,532.23,64966.0,532.056,562
2020-10-13,534.07,542.36,534.07,540.09,72023.0,539.254,620
2020-10-14,541.0,546.25,534.27,535.43,52022.0,539.014,458
2020-10-15,530.97,544.11,528.63,540.48,62367.0,538.276,502
2020-10-16,543.36,547.65,535.45,538.07,95429.0,541.125,718
2020-10-19,541.51,549.5,537.32,539.26,60383.0,542.429,554
2020-10-20,543.01,558.32,541.17,549.99,106846.0,552.237,910
2020-10-21,555.79,570.17,553.56,558.08,80502.0,558.279,730
2020-10-22,562.67,572.45,558.6,567.37,117950.0,566.548,1032
2020-10-23,567.0,568.47,553.38,558.91,53606.0,560.264,483
2020-10-26,558.25,559.01,541.67,547.31,73496.0,547.824,599
2020-10-27,544.41,575.6,539.87,573.0,153101.0,568.483,1140
2020-10-28,567.76,567.76,548.94,557.02,146556.0,555.903,1194
2020-10-29,556.76,564.39,550.26,555.86,98412.0,556.372,733
2020-10-30,550.34,556.31,532.6,538.85,151337.0,539.251,1179
2020-11-02,544.41,552.77,533.57,538.79,153926.0,541.381,1165
2020-11-03,542.95,545.8,535.41,539.69,112876.0,539.376,912
2020-11-04,549.27,585.18,545.09,579.92,125939.0,575.737,1027
2020-11-05,586.91,602.77,580.66,581.17,135992.0,587.783,1170
2020-11-06,580.92,592.44,567.3,579.18,63610.0,577.991,500
2020-11-09,604.61,606.45,534.05,534.84,170170.0,557.745,1269
2020-11-10,527.88,529.92,506.45,525.04,154853.0,521.133,1160
2020-11-11,536.32,547.12,525.05,544.91,99133.0,541.091,822
2020-11-12,550.26,550.43,531.82,534.81,76425.0,536.037,526
2020-11-13,539.7,541.43,519.7,522.93,108681.0,526.143,886
2020-11-16,528.39,528.39,502.65,521.99,122356.0,516.672,1008
2020-11-17,522.98,522.98,509.03,514.09,131393.0,513.229,1048
2020-11-18,515.26,520.81,506.12,512.26,99346.0,515.022,856
2020-11-19,517.77,539.04,511.75,534.22,229321.0,530.864,1706
2020-11-20,528.15,548.27,525.07,546.14,174641.0,540.45,1281
2020-11-23,551.17,551.33,518.02,519.91,87815.0,529.146,766
2020-11-24,522.16,534.99,515.57,518.46,159740.0,523.372,1169
2020-11-25,518.46,523.43,507.1,514.35,141286.0,512.051,964
2020-11-27,515.04,534.97,515.04,533.89,65525.0,530.587,546
2020-11-30,530.84,541.54,526.04,539.18,82955.0,532.889,757
2020-12-01,547.79,549.35,538.46,546.61,121837.0,545.336,1065
2020-12-02,545.57,548.5,535.92,540.78,225865.0,539.529,1794
2020-12-03,545.35,562.87,541.32,555.63,296009.0,553.805,2356
2020-12-04,558.5,573.84,535.98,539.17,274092.0,551.446,2168
2020-12-07,539.33,571.05,539.33,569.94,307090.0,559.443,2438
2020-12-08,566.13,569.28,560.67,566.01,391721.0,565.87,2704
2020-12-09,562.35,569.13,557.25,564.67,148573.0,561.347,1279
2020-12-10,562.49,566.73,545.58,551.58,110165.0,553.455,932
2020-12-11,551.25,561.65,538.05,547.67,121915.0,546.103,1067
2020-12-14,553.61,574.8,549.78,551.15,201800.0,562.057,1687
2020-12-15,552.85,556.83,545.26,553.79,130980.0,552.748,1091
2020-12-16,557.03,563.2,551.2,560.5,170773.0,556.807,1475
2020-12-17,563.52,578.95,562.93,577.35,103235.0,573.647,916
2020-12-18,578.93,580.66,571.59,578.88,190946.0,575.769,1390
2020-12-21,575.64,579.4,560.24,578.44,197348.0,570.815,1677
2020-12-22,580.15,590.78,578.12,590.32,135899.0,584.977,1197
2020-12-23,594.49,601.42,571.82,572.97,58744.0,579.171,517
2020-12-24,576.48,582.68,567.86,573.08,84433.0,571.516,750
2020-12-28,579.89,579.89,559.17,565.77,105525.0,565.66,922
2020-12-29,570.0,571.52,560.32,564.79,66814.0,565.235,526
2020-12-30,568.0,573.13,560.35,562.27,101862.0,565.047,899
2020-12-31,563.41,572.11,558.83,570.56,106360.0,564.211,958
2021-01-04,575.39,583.81,559.07,562.78,107707.0,568.837,919
2021-01-05,562.84,565.15,545.3,554.25,97022.0,551.566,856
2021-01-06,545.67,553.88,535.93,545.08,178710.0,545.695,1526
2021-01-07,545.11,557.99,540.46,549.21,105505.0,548.442,892
2021-01-08,549.86,560.58,546.75,552.09,83009.0,551.599,683
2021-01-11,549.99,549.99,541.4,543.72,85871.0,545.82,730
2021-01-12,540.6,545.59,524.77,528.68,233165.0,530.851,1707
2021-01-13,528.18,537.93,520.96,536.32,109921.0,532.402,972
2021-01-14,536.1,536.1,510.42,512.08,141301.0,518.342,1214
2021-01-15,512.53,529.82,510.01,523.0,247188.0,523.116,1861
2021-01-19,533.51,533.51,509.18,515.89,215656.0,516.064,1709
2021-01-20,515.96,518.5,507.99,517.37,144830.0,515.365,1241
2021-01-21,519.34,519.34,509.11,514.13,85626.0,514.284,678
2021-01-22,516.98,519.47,509.03,509.7,92835.0,512.393,794
2021-01-25,512.85,516.14,502.18,509.35,98435.0,509.83,891
2021-01-26,509.9,513.0,503.25,509.81,211281.0,509.558,1755
2021-01-27,509.56,537.92,501.0,534.43,446275.0,525.15,3824
2021-01-28,530.0,545.98,530.0,536.55,236120.0,538.388,2036
2021-01-29,532.72,542.69,527.33,540.76,122088.0,538.003,1072
2021-02-01,549.55,575.38,544.96,568.73,210219.0,567.255,1876
