date,open,high,low,close,volume,average,barCount
2020-07-13,212.06,216.64,209.97,210.41,272839.0,212.522,2424
2020-07-14,210.61,215.08,208.3,214.77,203749.0,212.76,1850
2020-07-15,218.97,223.66,218.66,222.04,342117.0,222.009,2946
2020-07-16,221.1,223.95,219.46,223.09,203646.0,222.073,1750
2020-07-17,225.3,226.37,222.41,223.55,225083.0,224.051,1706
2020-07-20,222.51,223.31,219.31,221.44,270198.0,221.164,2453
2020-07-21,221.92,227.18,221.92,225.69,194568.0,225.465,1623
2020-07-22,225.64,228.09,223.68,224.33,411337.0,225.342,3263
2020-07-23,223.74,227.39,222.28,223.43,294634.0,224.781,2223
2020-07-24,223.99,225.35,219.89,223.65,342299.0,223.168,2899
2020-07-27,222.68,228.37,221.98,228.0,530535.0,226.704,3677
2020-07-28,225.88,230.0,211.27,212.4,962624.0,215.302,7227
2020-07-29,214.03,215.79,209.58,214.13,419663.0,213.336,3670
2020-07-30,212.79,213.46,207.68,209.2,395352.0,209.965,3357
2020-07-31,208.43,209.15,201.71,207.18,317162.0,205.144,2275
2020-08-03,208.94,209.32,204.3,208.08,297299.0,207.537,2338
2020-08-04,208.37,212.73,207.33,212.28,249430.0,211.078,1983
2020-08-05,213.82,219.95,212.8,216.85,327967.0,217.461,2685
2020-08-06,212.13,217.36,212.13,213.08,248523.0,213.97,2119
2020-08-07,213.38,220.52,212.74,220.0,220916.0,216.833,1800
2020-08-10,221.81,224.48,220.06,223.41,209602.0,222.601,1614
2020-08-11,228.52,230.43,224.74,225.55,317834.0,226.751,2514
2020-08-12,226.45,226.92,220.07,221.12,391595.0,222.172,2819
2020-08-13,219.44,222.32,218.03,219.63,201945.0,219.787,1679
2020-08-14,218.71,221.55,217.21,219.33,213233.0,219.737,1497
2020-08-17,220.87,221.13,216.16,216.42,413674.0,217.626,3399
2020-08-18,217.6,218.13,213.81,214.89,249779.0,215.088,1651
2020-08-19,215.72,216.4,211.55,212.19,236218.0,213.034,1763
2020-08-20,210.0,211.02,208.07,209.19,207369.0,209.418,1738
2020-08-21,209.05,211.32,207.95,209.66,178225.0,209.649,1455
2020-08-24,211.85,214.19,210.43,212.04,258989.0,211.805,2180
2020-08-25,212.14,213.19,208.28,211.3,157025.0,210.055,1339
2020-08-26,210.37,210.37,205.72,208.47,272134.0,207.485,1942
