date,open,high,low,close,volume,average,barCount
2020-07-13,36.24,36.24,35.12,35.27,2591108.0,35.623,10037
2020-07-14,34.88,35.88,34.77,35.82,2563928.0,35.52,10427
2020-07-15,35.94,36.3,35.5,36.1,2848148.0,35.9915,10620
2020-07-16,35.9,36.32,35.81,36.31,1832980.0,36.135,7249
2020-07-17,36.65,37.31,36.21,37.11,5819338.0,36.9395,18283
2020-07-20,37.25,37.48,36.8,36.94,2438410.0,37.073,8611
2020-07-21,37.25,37.88,37.18,37.5,3209866.0,37.5375,11168
2020-07-22,37.69,38.05,37.67,37.87,3099198.0,37.843,9069
2020-07-23,37.99,38.25,37.4,37.47,2711928.0,37.7735,8287
2020-07-24,37.53,37.74,37.3,37.44,2209196.0,37.5015,7003
2020-07-27,37.65,38.37,37.63,38.22,2188096.0,38.027,8223
2020-07-28,38.47,38.51,37.97,38.1,2441272.0,38.2075,8941
2020-07-29,38.11,38.76,37.91,38.66,1817428.0,38.4655,6476
2020-07-30,38.37,39.0,38.01,38.91,3040828.0,38.7265,10250
2020-07-31,38.77,39.24,38.41,39.24,2624908.0,38.7525,10020
2020-08-03,39.35,39.4,38.58,38.92,1954540.0,38.977,7295
2020-08-04,38.74,39.13,38.6,39.01,3465144.0,38.9035,12568
2020-08-05,41.02,41.98,40.66,41.55,5211220.0,41.2665,17420
2020-08-06,41.38,41.92,41.31,41.76,3113494.0,41.701,10055
2020-08-07,41.52,41.92,41.21,41.6,2220202.0,41.5585,8070
2020-08-10,41.6,41.68,40.79,41.0,1574872.0,41.0775,5646
2020-08-11,41.13,41.22,40.08,40.3,3290258.0,40.537,12357
2020-08-12,40.6,41.54,40.6,41.33,2737114.0,41.3545,8608
2020-08-13,41.5,41.99,41.4,41.91,2675220.0,41.711,8257
2020-08-14,41.8,41.94,41.44,41.66,1527730.0,41.761,5413
2020-08-17,41.66,41.96,41.64,41.73,1384924.0,41.7895,5013
2020-08-18,41.74,41.92,41.3,41.49,1501772.0,41.4575,5889
2020-08-19,41.4,41.79,41.18,41.34,1273666.0,41.457,5137
2020-08-20,41.1,41.59,40.96,41.51,1005678.0,41.4395,3831
2020-08-21,41.38,41.52,40.91,41.37,1514220.0,41.311,5295
2020-08-24,41.46,41.85,41.27,41.85,1446890.0,41.5795,5424
2020-08-25,42.02,42.28,41.6,41.99,1285292.0,41.8815,4577
2020-08-26,41.85,42.05,41.51,41.99,1491852.0,41.9235,5444
2020-08-27,42.01,42.1,41.4,41.67,1718400.0,41.7445,5970
2020-08-28,41.88,42.32,41.53,42.27,1663298.0,42.102,6050
2020-08-31,42.17,42.49,41.62,41.93,2839116.0,41.8835,10827
2020-09-01,41.89,42.43,41.74,42.42,2258464.0,42.192,7308
2020-09-02,42.52,43.52,42.47,43.27,2914834.0,43.1965,10025
2020-09-03,43.36,43.41,40.99,41.35,3335294.0,41.7615,12652
2020-09-04,41.58,41.88,40.48,41.13,3106672.0,41.0175,12260
2020-09-08,40.9,40.99,39.83,40.05,3183104.0,40.1965,11423
2020-09-09,40.27,41.68,40.27,41.37,3090490.0,41.28,10483
2020-09-10,41.2,41.6,40.54,40.89,2677898.0,41.065,10317
2020-09-11,41.02,41.17,40.21,40.67,1867424.0,40.702,7566
2020-09-14,41.19,41.66,41.06,41.45,1887010.0,41.4025,7590
2020-09-15,41.62,41.97,41.21,41.57,1468378.0,41.5525,5556
2020-09-16,41.69,42.0,40.94,40.94,1635396.0,41.4515,6083
2020-09-17,40.4,40.72,39.83,40.35,2557196.0,40.264,9302
2020-09-18,40.41,40.48,39.06,39.49,4053168.0,39.8215,11084
2020-09-21,39.21,39.25,38.54,39.19,2575778.0,38.8635,9667
2020-09-22,39.1,39.77,38.96,39.62,1499632.0,39.477,5614
2020-09-23,39.43,39.62,38.72,38.9,1518454.0,39.2055,5684
2020-09-24,38.8,39.51,38.44,39.0,1601366.0,39.1225,5858
2020-09-25,38.73,39.52,38.54,39.4,1804294.0,39.171,6984
