date,open,high,low,close,volume,average,barCount
2020-07-13,177.44,180.22,176.17,176.67,347041.0,178.283,2440
2020-07-14,177.18,185.66,176.85,185.48,231593.0,182.317,1806
2020-07-15,185.09,187.85,181.88,185.86,187807.0,185.209,1569
2020-07-16,186.06,187.6,183.16,184.18,170885.0,185.329,1236
2020-07-17,185.91,187.53,182.97,185.88,109865.0,186.205,972
2020-07-20,185.71,186.48,178.36,179.2,184978.0,179.992,1517
2020-07-21,181.43,182.68,179.64,181.46,149203.0,181.397,1274
2020-07-22,181.28,184.28,179.58,183.75,119143.0,182.428,1042
2020-07-23,184.06,187.36,182.9,183.54,77589.0,184.484,680
2020-07-24,183.71,184.96,181.29,184.25,109361.0,183.633,851
2020-07-27,183.88,184.65,179.67,182.24,127249.0,182.078,985
2020-07-28,182.3,183.44,179.38,181.5,172926.0,181.246,1424
2020-07-29,181.59,189.8,181.52,187.65,169556.0,187.862,1348
2020-07-30,184.61,190.38,182.71,187.02,231706.0,188.238,1947
2020-07-31,181.48,187.8,180.26,184.7,358273.0,183.577,2950
2020-08-03,187.01,188.39,181.68,185.81,193422.0,185.182,1666
2020-08-04,185.0,189.82,183.56,186.7,227449.0,186.272,1700
2020-08-05,188.78,193.97,186.89,193.97,294253.0,190.97,2130
2020-08-06,193.62,195.34,191.5,194.26,343296.0,192.781,2184
2020-08-07,194.07,196.54,192.05,196.01,218689.0,194.444,1925
2020-08-10,196.01,196.01,188.97,189.3,181361.0,191.005,1535
2020-08-11,190.71,191.29,185.38,185.61,158441.0,187.232,1310
2020-08-12,187.67,192.16,186.48,191.8,145226.0,190.634,1131
2020-08-13,191.56,193.49,188.09,193.02,145809.0,191.787,1148
2020-08-14,192.56,194.23,190.47,193.76,70258.0,193.227,586
2020-08-17,194.8,198.38,193.79,195.55,246091.0,195.746,1100
2020-08-18,195.31,195.57,192.35,192.8,66183.0,193.713,592
2020-08-19,192.63,196.69,192.18,193.51,159901.0,194.366,988
2020-08-20,191.91,192.12,189.06,189.96,167637.0,190.02,1071
2020-08-21,189.5,192.3,187.07,188.55,196394.0,188.415,1248
2020-08-24,190.0,190.5,180.7,181.59,121827.0,182.633,1020
2020-08-25,182.41,182.51,179.85,182.26,109907.0,181.623,913
2020-08-26,183.17,183.17,178.2,181.21,152338.0,180.353,1137
2020-08-27,182.0,186.09,180.19,183.74,144584.0,183.576,912
2020-08-28,183.52,186.31,181.02,183.82,112401.0,184.279,939
2020-08-31,182.78,186.97,182.69,184.97,181236.0,185.439,1629
2020-09-01,187.43,190.27,184.36,186.03,163001.0,186.519,1194
2020-09-02,186.52,193.93,183.81,193.15,213298.0,191.848,1590
2020-09-03,193.15,194.09,182.05,184.1,137729.0,185.923,1165
2020-09-04,184.04,184.91,177.9,183.0,130968.0,181.062,1043
2020-09-08,181.6,182.69,173.87,175.08,202075.0,175.613,1514
2020-09-09,176.39,177.46,171.61,175.5,176067.0,174.237,1357
2020-09-10,175.7,177.15,170.47,171.45,237859.0,173.006,2158
2020-09-11,174.15,174.15,166.28,168.84,177050.0,169.409,1496
2020-09-14,170.71,179.83,170.21,179.28,277309.0,178.046,2348
2020-09-15,179.57,182.72,179.57,181.79,149230.0,181.377,1244
2020-09-16,183.0,188.27,181.85,184.17,173185.0,185.599,1519
2020-09-17,182.28,183.68,179.99,181.31,150724.0,181.565,1272
2020-09-18,182.75,185.74,181.09,184.56,152185.0,183.503,868
2020-09-21,174.46,174.47,165.39,168.88,503059.0,168.021,3512
2020-09-22,169.33,169.97,155.35,156.21,662383.0,159.48,4173
2020-09-23,156.6,158.29,151.4,153.07,766784.0,153.673,5793
2020-09-24,153.37,156.77,151.66,153.08,488760.0,154.447,2823
2020-09-25,152.41,161.76,152.41,161.51,404665.0,159.157,2474
2020-09-28,163.39,165.49,161.15,163.07,225768.0,163.181,1731
2020-09-29,159.0,172.6,159.0,171.8,351956.0,169.725,2923
2020-09-30,173.13,184.2,171.4,183.04,396661.0,180.458,3400
2020-10-01,182.53,188.38,181.22,188.18,659757.0,185.72,4181
2020-10-02,185.96,194.88,185.68,193.36,380566.0,192.197,2877
2020-10-05,195.0,201.87,195.0,201.32,308097.0,199.075,2119
2020-10-06,202.04,202.4,196.38,198.18,223181.0,199.524,1697
2020-10-07,199.69,203.9,198.83,203.53,271387.0,201.915,2174
2020-10-08,205.5,206.1,199.1,199.75,124289.0,200.495,1056
2020-10-09,201.17,201.92,197.9,199.2,153955.0,199.261,1288
2020-10-12,200.9,207.65,200.0,204.4,154343.0,204.699,1061
2020-10-13,203.96,209.22,203.41,203.63,137326.0,205.317,1043
2020-10-14,203.62,205.0,200.76,202.85,147752.0,202.93,1186
2020-10-15,201.11,208.86,201.0,206.5,122510.0,206.503,885
2020-10-16,206.07,211.46,204.1,210.64,143930.0,209.882,1100
2020-10-19,210.75,213.78,205.82,206.69,120670.0,207.981,980
2020-10-20,207.08,209.51,205.34,206.6,67100.0,207.273,554
2020-10-21,207.51,209.2,205.34,206.73,86194.0,207.546,711
2020-10-22,205.8,211.86,205.19,211.12,81036.0,210.568,709
2020-10-23,211.48,215.62,210.21,212.55,93472.0,212.601,770
2020-10-26,209.73,211.05,202.89,205.03,218144.0,205.317,1800
2020-10-27,203.06,205.67,199.37,203.87,136600.0,203.599,1132
2020-10-28,200.11,200.69,192.91,193.23,244887.0,195.819,1807
2020-10-29,201.0,205.0,185.62,187.11,326459.0,191.251,2633
2020-10-30,187.29,190.21,183.03,186.47,180848.0,185.426,1594
2020-11-02,189.31,200.07,189.31,198.85,280376.0,195.774,2012
2020-11-03,201.09,212.74,199.43,211.59,235076.0,209.712,1774
2020-11-04,205.99,220.84,205.99,216.94,454885.0,217.407,2859
