date,open,high,low,close,volume,average,barCount
2020-07-13,12.75,13.27,12.58,12.95,4255265.0,12.984,21584
2020-07-14,12.89,13.19,12.54,13.1,2469231.0,12.982,14570
2020-07-15,13.65,13.89,13.35,13.41,5798155.0,13.538,31301
2020-07-16,13.3,13.61,13.16,13.2,3067409.0,13.357,16579
2020-07-17,13.28,13.67,13.22,13.41,3145579.0,13.496,16015
2020-07-20,13.35,13.48,12.84,12.85,3150071.0,13.009,15922
2020-07-21,13.01,13.33,12.99,13.27,2678257.0,13.223,15522
2020-07-22,13.15,13.49,13.07,13.41,2133679.0,13.361,11062
2020-07-23,13.34,13.74,13.1,13.54,2206875.0,13.489,11178
2020-07-24,13.58,13.88,13.43,13.67,2410040.0,13.64,12141
2020-07-27,13.68,14.08,13.6,14.0,2018995.0,13.938,10800
2020-07-28,13.84,14.0,13.47,13.5,1698986.0,13.596,9549
2020-07-29,13.55,14.04,13.55,13.98,2145516.0,13.894,11874
2020-07-30,13.6,13.67,13.31,13.5,2551489.0,13.509,14650
2020-07-31,13.46,13.55,13.3,13.47,1889985.0,13.409,10652
2020-08-03,13.39,13.97,13.22,13.68,3102774.0,13.724,16228
2020-08-04,14.92,15.88,14.88,15.53,11772507.0,15.524,52649
2020-08-05,15.97,16.67,15.82,16.31,8015199.0,16.327,37675
2020-08-06,16.29,16.4,15.85,16.14,3601463.0,16.098,20375
2020-08-07,16.0,17.22,15.98,17.19,6999674.0,16.766,33843
2020-08-10,17.46,18.57,17.46,18.4,8606709.0,18.156,44562
2020-08-11,18.79,18.89,17.61,17.64,5483322.0,18.035,28827
2020-08-12,18.01,18.15,17.36,17.41,4102728.0,17.635,21439
2020-08-13,17.29,17.7,17.06,17.46,4133871.0,17.465,21758
2020-08-14,17.36,18.1,17.19,17.83,3560108.0,17.816,20324
2020-08-17,18.09,18.35,17.75,17.85,3391307.0,18.004,18613
2020-08-18,17.89,18.45,17.81,18.28,3263239.0,18.245,17888
2020-08-19,18.29,18.4,17.88,17.93,2630228.0,18.073,13784
