date,open,high,low,close,volume,average,barCount
2020-07-13,40.13,40.72,39.74,40.21,5186665.0,40.208,29588
2020-07-14,40.21,41.1,39.88,41.06,5760600.0,40.817,30734
2020-07-15,41.34,41.75,40.96,41.0,5244476.0,41.341,28633
2020-07-16,40.94,41.68,40.87,41.48,3880307.0,41.421,19000
2020-07-17,41.84,41.85,41.39,41.54,4023169.0,41.656,19280
2020-07-20,41.5,41.5,40.48,40.87,4402951.0,40.792,22974
2020-07-21,41.04,42.14,41.04,41.22,4686572.0,41.542,24386
2020-07-22,41.1,41.4,40.51,41.34,4256835.0,41.081,22597
2020-07-23,41.48,41.74,41.26,41.58,3695747.0,41.457,22699
2020-07-24,41.8,42.59,41.59,41.85,5102549.0,42.029,26596
2020-07-27,42.0,42.27,41.76,42.13,4497703.0,42.091,23762
2020-07-28,42.98,43.2,42.21,42.52,8979548.0,42.682,39352
2020-07-29,42.87,42.87,41.42,41.63,6166707.0,41.733,31640
2020-07-30,41.28,41.89,41.18,41.58,5044858.0,41.559,25277
2020-07-31,41.31,41.56,40.67,41.15,5421665.0,40.966,25061
2020-08-03,41.11,41.32,40.67,41.01,4690736.0,41.1,23350
2020-08-04,41.2,41.61,40.93,41.6,6119877.0,41.344,29687
2020-08-05,41.69,42.04,41.48,41.66,5098275.0,41.768,23516
2020-08-06,41.58,41.89,41.32,41.55,3107646.0,41.566,14738
2020-08-07,41.3,42.23,41.07,42.17,3988418.0,41.805,17509
2020-08-10,42.26,43.25,42.26,43.22,5089741.0,42.965,22106
2020-08-11,43.86,44.15,43.47,43.6,7160129.0,43.806,32288
2020-08-12,43.71,44.0,42.9,42.96,5132197.0,43.21,25860
2020-08-13,42.75,43.07,42.47,42.57,3781865.0,42.667,18967
2020-08-14,42.36,42.72,42.08,42.54,3295621.0,42.486,16433
2020-08-17,42.68,43.34,42.57,43.03,4289125.0,43.036,21141
2020-08-18,43.45,43.6,43.03,43.22,3435817.0,43.289,16865
2020-08-19,43.37,44.15,43.17,43.65,5147250.0,43.83,24668
2020-08-20,43.38,43.81,43.16,43.5,4536037.0,43.431,18941
2020-08-21,43.59,43.65,43.14,43.46,3026330.0,43.448,13513
2020-08-24,43.58,44.46,43.45,44.04,6701613.0,44.144,25910
2020-08-25,44.3,44.3,43.5,43.52,4888845.0,43.707,21244
2020-08-26,43.22,43.65,42.93,43.2,7122855.0,43.254,31370
2020-08-27,43.43,44.37,43.36,43.75,5403446.0,43.911,25824
2020-08-28,43.84,43.95,43.46,43.93,3789213.0,43.715,18782
2020-08-31,43.88,43.99,43.59,43.74,5861314.0,43.805,29675
2020-09-01,43.65,43.69,43.04,43.12,5658561.0,43.265,27419
2020-09-02,43.07,43.9,42.9,43.76,6333814.0,43.4,32244
2020-09-03,43.95,44.78,43.0,43.29,9105260.0,43.773,41522
2020-09-04,43.51,43.94,42.77,43.49,7152337.0,43.349,37361
2020-09-08,43.7,44.07,42.7,43.07,6733766.0,43.134,35269
2020-09-09,43.37,44.17,43.31,43.79,6315299.0,43.865,32083
2020-09-10,43.9,43.9,43.27,43.35,6136659.0,43.579,30490
2020-09-11,43.47,43.73,43.15,43.59,7052123.0,43.428,32988
2020-09-14,42.9,43.36,42.62,43.0,7942809.0,43.082,42714
2020-09-15,43.1,43.39,42.71,42.78,5933142.0,42.996,27802
2020-09-16,42.88,42.91,41.74,41.76,7593126.0,42.439,37411
2020-09-17,41.58,41.96,40.82,40.86,7272163.0,41.236,36837
2020-09-18,40.88,41.04,39.49,39.84,12910924.0,40.195,50415
2020-09-21,39.68,39.8,38.44,38.82,7431174.0,38.833,36436
2020-09-22,39.0,39.42,38.49,38.55,5941558.0,38.815,29250
2020-09-23,38.75,39.05,37.92,37.93,6278738.0,38.316,31642
2020-09-24,38.0,38.62,37.59,38.33,5722753.0,38.243,30710
2020-09-25,38.16,38.41,37.78,38.27,5249360.0,38.111,24053
2020-09-28,38.47,39.21,38.47,38.95,5423643.0,38.963,25419
2020-09-29,39.02,39.02,38.33,38.36,5782511.0,38.602,27678
2020-09-30,38.54,38.9,38.33,38.64,5263547.0,38.632,25288
2020-10-01,38.67,38.95,38.38,38.92,6007960.0,38.676,31993
2020-10-02,38.4,39.22,38.35,38.97,4062386.0,38.873,21510
2020-10-05,39.17,39.62,38.92,39.5,3896972.0,39.352,17922
2020-10-06,39.72,40.22,39.48,39.6,5255850.0,39.816,27204
2020-10-07,39.81,40.84,39.81,40.53,5744490.0,40.423,27767
2020-10-08,40.67,40.95,40.23,40.38,3954401.0,40.572,18465
2020-10-09,40.83,41.26,40.58,40.69,8835384.0,40.939,35443
2020-10-12,40.65,41.24,40.38,40.45,5715012.0,40.664,27057
2020-10-13,40.38,40.42,39.32,39.38,6950979.0,39.693,29357
2020-10-14,39.28,39.82,39.12,39.55,3860668.0,39.531,19664
2020-10-15,39.16,39.74,39.05,39.7,3309453.0,39.46,16082
2020-10-16,39.91,40.24,39.53,39.53,4597967.0,39.871,21571
2020-10-19,39.56,39.94,39.12,39.18,3922026.0,39.46,21623
2020-10-20,39.47,39.5,38.63,38.7,5891656.0,38.947,27711
2020-10-21,38.53,38.75,38.43,38.51,3928997.0,38.587,22216
2020-10-22,38.63,39.06,38.43,38.99,3434604.0,38.73,18271
2020-10-23,39.27,39.36,38.77,39.08,3338235.0,39.025,18262
2020-10-26,38.88,38.94,38.23,38.57,5566811.0,38.471,27319
2020-10-27,38.43,38.57,37.15,37.17,7945861.0,37.729,37960
2020-10-28,36.58,37.14,36.28,36.72,10166804.0,36.727,44947
2020-10-29,36.65,37.2,36.23,36.87,10436854.0,36.801,54032
