date,open,high,low,close,volume,average,barCount
2020-07-13,36.32,36.45,35.05,35.31,4977742.0,35.621,28790
2020-07-14,34.88,36.29,34.4,36.2,4157183.0,35.642,23633
2020-07-15,37.36,37.73,36.49,37.57,3439484.0,37.226,19482
2020-07-16,37.03,37.95,36.65,37.39,2459703.0,37.366,14481
2020-07-17,37.64,39.63,37.2,37.93,8667325.0,38.158,42379
2020-07-20,37.73,38.32,36.68,36.75,4342542.0,37.231,24253
2020-07-21,37.29,38.76,37.16,38.54,3694002.0,38.312,20242
2020-07-22,37.7,38.91,37.4,38.73,5240548.0,38.354,28523
2020-07-23,38.2,39.5,38.11,38.88,2852905.0,38.811,15908
2020-07-24,38.93,39.36,38.45,38.7,2543149.0,38.754,14495
2020-07-27,38.52,38.91,37.75,38.52,2389339.0,38.393,12811
2020-07-28,38.28,38.86,37.87,38.12,3442856.0,38.262,18606
2020-07-29,38.34,39.95,38.23,39.91,3738397.0,39.37,20313
2020-07-30,39.0,39.27,37.63,38.08,4546626.0,38.274,25654
2020-07-31,37.6,38.55,37.24,38.2,4961538.0,37.892,27808
2020-08-03,38.4,40.04,37.42,38.57,20450884.0,38.851,82548
2020-08-04,37.83,38.57,36.51,37.69,11097044.0,37.545,49759
2020-08-05,38.08,38.13,36.27,36.43,8740357.0,36.785,43624
2020-08-06,36.07,36.88,35.49,35.73,5870330.0,36.054,29341
2020-08-07,35.59,36.75,35.25,36.67,4429341.0,36.048,23946
2020-08-10,36.9,37.15,36.05,37.13,5157109.0,36.639,25564
2020-08-11,38.0,38.68,36.73,36.95,5815782.0,37.847,27568
2020-08-12,38.03,38.45,37.34,38.13,6114722.0,37.997,27855
2020-08-13,37.5,38.08,37.11,37.26,4019132.0,37.588,18124
2020-08-14,37.05,38.38,36.9,38.35,3795108.0,37.971,18119
2020-08-17,38.37,39.08,38.04,38.65,4071386.0,38.672,21484
2020-08-18,37.93,38.22,37.23,37.24,3340916.0,37.557,16883
2020-08-19,37.13,37.83,36.69,37.18,2750772.0,37.401,15494
2020-08-20,36.58,36.69,35.62,35.62,6117888.0,35.934,33254
2020-08-21,35.51,35.69,34.96,35.4,4422032.0,35.33,23588
2020-08-24,35.8,37.02,35.48,36.81,5215741.0,36.563,29057
2020-08-25,36.95,37.0,36.01,36.45,4391962.0,36.403,25355
2020-08-26,36.32,36.61,35.3,35.33,4085576.0,35.874,21548
2020-08-27,35.44,35.49,34.4,34.98,5238249.0,34.859,28188
2020-08-28,35.16,37.26,35.1,37.09,5642861.0,36.553,32089
2020-08-31,37.01,37.07,35.46,35.46,3658465.0,35.883,19318
2020-09-01,35.01,35.87,34.63,34.97,4018466.0,35.117,21408
2020-09-02,35.03,35.43,34.59,35.01,4030459.0,34.964,22841
2020-09-03,35.1,35.83,33.94,34.26,5008924.0,34.667,28911
2020-09-04,34.54,34.78,33.23,33.64,5934962.0,33.795,32541
2020-09-08,33.05,33.41,32.23,32.33,5110547.0,32.736,27210
2020-09-09,32.72,32.75,31.74,31.77,5149762.0,32.14,27527
2020-09-10,31.9,31.97,30.22,30.27,7034857.0,31.026,39634
2020-09-11,30.31,31.6,30.14,31.25,6483766.0,31.116,34990
2020-09-14,31.49,32.49,31.48,32.02,4753872.0,32.056,26893
2020-09-15,31.96,32.47,30.95,31.09,3848239.0,31.582,19881
2020-09-16,31.31,33.06,30.75,32.36,5579562.0,32.184,28970
2020-09-17,31.55,32.41,31.44,32.12,4705393.0,31.965,25833
2020-09-18,31.74,32.62,31.64,32.28,6493153.0,32.146,32359
2020-09-21,30.89,31.34,30.25,31.25,6038905.0,30.854,34068
2020-09-22,31.1,31.71,30.88,31.04,3977430.0,31.186,22357
2020-09-23,30.9,31.17,28.7,28.73,5653211.0,29.804,28223
2020-09-24,28.54,29.15,27.57,28.62,7637409.0,28.311,39390
2020-09-25,28.17,28.89,27.62,28.63,5082040.0,28.209,28984
2020-09-28,29.46,30.31,29.18,29.95,5300902.0,29.83,26437
2020-09-29,29.92,30.27,29.12,29.43,3378041.0,29.641,19207
2020-09-30,29.59,30.21,29.13,29.34,3892990.0,29.588,21403
2020-10-01,28.79,28.98,27.39,27.71,5948420.0,27.891,31408
2020-10-02,26.82,28.64,26.56,28.27,5998726.0,27.699,29750
2020-10-05,28.7,29.47,28.62,29.24,4756638.0,29.102,26285
2020-10-06,29.77,30.3,28.76,28.83,4142270.0,29.565,22799
2020-10-07,28.94,29.27,28.55,29.21,4372393.0,28.915,24307
2020-10-08,29.39,31.14,29.28,31.12,5140302.0,30.349,27288
2020-10-09,31.35,31.39,30.07,30.12,6347519.0,30.482,27517
2020-10-12,29.97,30.51,29.62,30.49,3334748.0,30.154,17080
2020-10-13,30.02,30.49,29.08,29.38,5424312.0,29.469,25514
2020-10-14,29.54,30.6,29.43,29.91,4043491.0,30.1,18845
2020-10-15,29.1,30.57,28.59,30.54,3772434.0,29.604,19656
2020-10-16,30.35,30.52,29.32,29.37,3989876.0,29.847,15671
2020-10-19,29.39,29.51,28.17,28.25,5909352.0,28.789,26568
2020-10-20,28.6,29.5,28.5,29.24,4485912.0,29.125,22655
2020-10-21,28.76,29.49,28.29,28.82,3734171.0,28.99,22192
2020-10-22,28.61,29.65,28.09,29.51,4647971.0,29.017,25138
2020-10-23,29.87,30.58,29.06,29.89,4800259.0,29.677,27015
2020-10-26,29.25,29.29,28.15,28.6,5129437.0,28.637,26401
