date,open,high,low,close,volume,average,barCount
2020-07-13,251.23,255.69,241.92,242.42,110476.0,249.715,750
2020-07-14,241.58,250.1,236.74,249.52,163641.0,244.572,1225
2020-07-15,250.27,251.21,241.62,246.72,151984.0,245.605,1216
2020-07-16,245.07,247.04,242.1,245.54,64944.0,244.72,542
2020-07-17,247.41,251.28,245.6,249.42,89818.0,249.362,701
2020-07-20,249.34,253.77,248.73,252.56,138388.0,251.804,1154
2020-07-21,254.01,254.98,247.53,248.71,140503.0,250.086,1020
2020-07-22,249.53,251.52,246.04,249.26,134848.0,248.596,1023
2020-07-23,249.93,252.3,243.12,245.2,197734.0,247.554,1277
2020-07-24,243.22,249.64,239.08,245.13,233968.0,244.377,1735
2020-07-27,248.54,254.92,248.46,253.89,185123.0,251.926,1062
2020-07-28,253.01,253.66,247.14,247.48,159248.0,249.034,1294
2020-07-29,252.78,264.3,250.0,263.88,446009.0,258.912,3745
2020-07-30,261.39,271.79,261.39,269.75,167972.0,268.539,1475
2020-07-31,271.62,271.94,260.49,265.01,183164.0,263.861,1280
2020-08-03,268.68,272.93,267.27,268.44,162811.0,270.332,1240
2020-08-04,267.76,275.84,267.76,275.62,144625.0,272.651,1194
2020-08-05,275.72,278.23,270.75,278.04,241417.0,274.412,1265
2020-08-06,277.29,282.6,277.0,282.5,164248.0,280.329,1069
2020-08-07,281.93,283.48,273.96,278.73,138318.0,279.082,965
2020-08-10,278.11,279.18,271.0,272.14,172325.0,274.798,1355
2020-08-11,269.62,275.39,266.78,270.18,151674.0,271.351,1190
2020-08-12,273.27,280.32,271.49,280.0,112127.0,277.361,968
2020-08-13,280.0,282.44,277.29,279.12,96911.0,280.514,745
2020-08-14,280.19,281.82,274.62,275.86,60379.0,276.859,508
2020-08-17,279.22,282.65,278.32,281.38,82619.0,280.614,700
2020-08-18,281.38,282.39,275.02,275.4,122633.0,278.058,1026
2020-08-19,276.21,278.87,273.53,274.49,104091.0,276.068,878
2020-08-20,271.86,274.87,269.31,270.81,132315.0,271.848,1150
2020-08-21,270.81,273.54,268.3,272.75,59419.0,271.676,520
2020-08-24,275.79,275.94,266.01,268.11,129772.0,269.662,982
2020-08-25,268.67,271.84,268.67,271.57,116584.0,270.755,994
2020-08-26,272.11,272.72,266.85,269.55,102415.0,269.646,864
2020-08-27,270.25,270.25,262.58,264.01,164858.0,266.057,1300
2020-08-28,264.12,269.8,264.12,269.46,82830.0,267.643,709
2020-08-31,269.72,273.28,266.05,267.13,158401.0,269.196,1228
2020-09-01,268.0,272.84,262.59,272.62,281944.0,268.719,2090
2020-09-02,276.32,284.5,273.04,282.85,150235.0,280.236,1176
2020-09-03,278.35,278.35,261.05,263.09,200470.0,265.675,1603
2020-09-04,263.11,265.64,246.04,255.81,204377.0,254.194,1593
2020-09-08,246.02,252.96,241.94,242.63,150044.0,246.489,1310
2020-09-09,248.12,249.33,243.97,246.56,198635.0,246.128,1723
2020-09-10,248.5,249.86,241.92,243.19,169465.0,246.469,1347
2020-09-11,242.46,245.49,235.62,237.03,234177.0,239.702,1794
2020-09-14,242.78,248.43,242.38,247.6,120371.0,246.46,905
2020-09-15,257.18,269.13,252.0,258.67,337487.0,262.857,2776
2020-09-16,260.83,261.77,249.29,250.24,149212.0,252.725,1285
2020-09-17,244.03,253.15,244.03,252.11,105806.0,250.836,934
2020-09-18,254.13,255.23,245.76,253.94,225253.0,251.563,1560
2020-09-21,248.78,257.15,247.87,255.97,148889.0,253.464,1385
2020-09-22,257.99,259.73,251.51,259.48,123947.0,256.22,1156
2020-09-23,258.43,258.76,250.74,252.06,81861.0,254.664,740
2020-09-24,250.01,261.41,250.01,259.59,114615.0,258.517,944
2020-09-25,259.58,265.91,255.1,265.18,100942.0,263.266,832
2020-09-28,272.09,275.34,269.29,274.88,215516.0,272.186,1068
2020-09-29,273.28,279.22,273.28,276.61,84258.0,277.104,683
2020-09-30,275.46,282.88,275.46,279.61,81956.0,279.699,654
2020-10-01,280.85,285.33,278.17,280.34,176620.0,280.345,1339
2020-10-02,274.73,277.45,271.73,272.37,138532.0,274.182,840
2020-10-05,274.84,282.76,273.68,282.5,185076.0,278.676,1556
2020-10-06,281.59,292.1,281.59,286.51,179418.0,287.511,1486
2020-10-07,292.82,298.83,289.48,298.32,153603.0,295.773,1347
2020-10-08,299.0,303.69,297.33,303.0,101221.0,301.431,898
2020-10-09,305.7,317.97,305.7,315.46,201966.0,314.032,1650
2020-10-12,319.64,322.75,314.19,316.2,139539.0,315.929,1130
2020-10-13,315.87,320.07,314.43,315.48,140176.0,316.794,1134
2020-10-14,315.48,317.84,312.8,314.39,178821.0,315.311,1382
2020-10-15,309.18,322.87,306.1,320.93,158336.0,318.437,1251
2020-10-16,324.61,325.18,314.01,315.21,118110.0,317.075,1051
2020-10-19,317.74,322.75,310.98,312.41,157089.0,317.431,1073
2020-10-20,313.53,318.53,313.12,315.92,121864.0,316.628,1005
2020-10-21,317.23,318.73,310.83,311.18,144176.0,315.198,914
2020-10-22,311.88,318.27,309.78,314.83,133499.0,314.602,853
2020-10-23,316.37,321.75,314.16,321.45,92758.0,319.054,765
2020-10-26,317.9,324.44,310.56,316.95,113604.0,316.924,825
2020-10-27,319.34,321.68,316.24,319.88,123473.0,319.433,1035
2020-10-28,313.54,319.51,303.55,303.76,147512.0,307.701,1129
2020-10-29,304.7,324.38,304.7,318.63,250384.0,315.959,2090
2020-10-30,307.62,320.29,302.88,319.6,260813.0,316.085,2237
2020-11-02,325.84,326.91,313.05,315.26,177733.0,318.946,1383
