date,open,high,low,close,volume,average,barCount
2020-07-13,374.63,380.62,362.46,363.87,231760.0,371.798,2015
2020-07-14,362.03,369.69,357.14,369.08,177291.0,364.627,1543
2020-07-15,373.08,377.84,369.36,376.25,185959.0,374.405,1555
2020-07-16,372.95,373.93,364.98,370.16,174844.0,369.405,1496
2020-07-17,371.74,383.22,370.75,379.62,172789.0,378.747,1239
2020-07-20,380.34,389.75,380.34,389.02,153187.0,387.058,1192
2020-07-21,391.04,391.69,383.77,389.05,184661.0,387.523,1577
2020-07-22,386.97,394.1,386.83,390.12,140380.0,389.807,1147
2020-07-23,394.14,398.49,382.49,384.98,191730.0,389.138,1661
2020-07-24,384.0,387.08,378.6,385.65,121961.0,384.345,982
2020-07-27,385.58,396.31,385.51,394.0,141947.0,392.594,1127
2020-07-28,394.76,397.51,372.54,376.25,390524.0,378.864,3258
2020-07-29,375.75,387.58,375.75,383.02,311997.0,383.663,2165
2020-07-30,376.45,381.72,371.27,374.54,558810.0,374.07,2974
2020-07-31,377.61,379.95,368.85,375.98,527140.0,373.987,3061
2020-08-03,380.47,382.82,371.63,371.91,217497.0,375.347,1829
2020-08-04,371.96,372.7,358.87,364.35,355085.0,364.58,2748
2020-08-05,364.25,365.6,360.28,364.58,220505.0,363.015,1883
2020-08-06,365.15,374.48,363.77,372.72,418378.0,368.927,2966
2020-08-07,371.17,375.01,357.88,362.37,268688.0,365.01,2060
2020-08-10,361.24,361.81,353.01,354.31,198233.0,355.885,1666
2020-08-11,352.13,357.9,345.59,350.53,435436.0,351.3,3149
2020-08-12,355.22,362.36,353.01,354.77,280408.0,357.713,2090
2020-08-13,355.0,363.47,355.0,359.87,166196.0,360.792,1338
2020-08-14,360.63,361.85,354.72,356.41,160806.0,356.947,1188
2020-08-17,357.47,365.03,356.77,361.66,188857.0,362.433,1591
2020-08-18,362.28,368.24,360.29,366.2,149479.0,365.632,1201
2020-08-19,366.25,373.43,366.25,371.4,327713.0,370.593,2798
2020-08-20,368.7,373.17,365.81,368.74,218457.0,369.082,1457
2020-08-21,369.12,369.5,361.43,363.69,213397.0,364.638,1557
2020-08-24,368.0,369.78,360.91,363.99,137913.0,363.926,1180
2020-08-25,364.06,366.93,362.32,365.53,176250.0,365.041,1351
2020-08-26,364.74,374.0,361.95,371.6,131040.0,370.343,930
2020-08-27,372.47,374.67,367.52,369.89,126083.0,371.681,1074
2020-08-28,372.77,374.45,369.6,373.68,103376.0,372.819,776
2020-08-31,375.88,377.42,371.46,373.27,142081.0,374.687,1153
2020-09-01,374.5,378.89,372.67,377.56,128551.0,375.302,1005
2020-09-02,379.59,382.01,376.55,378.59,372464.0,378.178,2370
2020-09-03,375.56,375.81,351.61,360.46,312829.0,360.354,2605
2020-09-04,360.01,362.0,338.28,348.18,229801.0,347.816,1946
2020-09-08,338.79,346.22,336.93,339.64,203458.0,341.783,1658
2020-09-09,346.19,352.15,342.78,348.69,234084.0,348.849,1970
2020-09-10,349.98,353.11,342.13,342.53,182235.0,347.662,1533
2020-09-11,345.8,348.02,337.35,339.25,316972.0,341.758,2706
2020-09-14,344.11,347.12,339.39,342.37,436642.0,341.648,3213
2020-09-15,346.84,348.78,344.57,346.0,295934.0,346.445,2094
2020-09-16,349.0,350.83,344.21,344.47,234908.0,347.055,2057
2020-09-17,338.78,345.23,338.05,340.36,292260.0,341.07,2299
2020-09-18,340.66,348.11,340.66,344.96,373346.0,344.08,2501
2020-09-21,340.82,351.96,339.59,351.73,274338.0,346.867,2461
2020-09-22,353.08,353.08,343.56,351.24,275712.0,348.251,2225
2020-09-23,350.45,353.05,345.26,345.46,151389.0,349.065,1154
2020-09-24,345.92,350.3,342.74,346.12,223571.0,347.186,1525
2020-09-25,342.5,354.85,341.29,352.96,245335.0,348.331,1754
2020-09-28,356.24,360.19,349.66,354.47,181303.0,354.201,1381
2020-09-29,354.88,359.47,354.01,356.03,160175.0,356.907,1364
2020-09-30,355.59,362.45,353.97,356.78,135977.0,358.722,1123
2020-10-01,361.24,369.0,357.71,359.54,132714.0,361.564,1129
2020-10-02,355.68,358.63,347.41,348.16,117492.0,351.052,948
2020-10-05,350.86,353.1,348.02,351.31,179510.0,350.737,1490
2020-10-06,355.49,355.49,345.23,347.92,199175.0,349.341,1563
