date,open,high,low,close,volume,average,barCount
2020-07-13,129.66,132.44,129.04,131.06,1076309.0,131.276,8594
2020-07-14,130.43,133.19,129.5,132.97,630312.0,132.067,5323
2020-07-15,133.98,136.47,133.97,134.56,516295.0,135.071,4262
2020-07-16,133.7,134.87,133.12,134.71,574147.0,134.162,4494
2020-07-17,135.83,138.47,135.24,137.68,592712.0,137.39,4435
2020-07-20,137.34,137.96,134.72,135.65,785862.0,135.72,5997
2020-07-21,136.33,138.47,136.21,138.0,615244.0,137.91,4581
2020-07-22,137.7,141.97,137.26,141.2,778409.0,140.47,5490
2020-07-23,141.37,145.85,141.35,144.22,1151332.0,144.435,8700
2020-07-24,144.14,144.23,140.8,141.73,667735.0,142.06,4768
2020-07-27,141.81,143.53,141.49,141.96,696403.0,142.202,4405
2020-07-28,140.68,141.55,135.78,136.8,1096852.0,137.668,8300
2020-07-29,138.01,140.55,137.8,140.04,471237.0,139.684,3683
2020-07-30,137.42,139.35,135.9,139.19,331065.0,138.013,2674
2020-07-31,139.7,139.91,137.1,139.8,310597.0,138.544,2614
2020-08-03,140.65,141.25,137.46,137.54,564411.0,138.702,4134
2020-08-04,138.36,139.99,136.77,137.57,802183.0,137.479,5368
2020-08-05,138.35,139.53,137.44,138.33,1007142.0,138.617,6755
2020-08-06,137.89,144.05,137.89,144.03,758120.0,142.283,5680
2020-08-07,147.71,151.99,141.95,144.26,2066898.0,144.836,14981
2020-08-10,144.0,144.5,140.9,142.22,771480.0,142.517,5565
2020-08-11,142.16,143.52,140.21,142.87,848776.0,142.346,5641
2020-08-12,142.71,146.34,142.4,145.01,551205.0,144.487,3415
2020-08-13,143.8,146.5,142.75,145.96,464707.0,145.661,3597
2020-08-14,144.89,145.6,143.83,145.37,310721.0,145.113,2515
2020-08-17,145.77,147.4,145.77,147.36,559973.0,146.763,3906
2020-08-18,147.58,149.98,147.08,149.8,884648.0,149.031,6646
2020-08-19,150.0,151.49,149.53,150.46,683380.0,150.785,4981
2020-08-20,148.68,151.72,148.44,151.61,561114.0,150.704,4030
2020-08-21,151.15,152.04,150.3,151.92,481949.0,151.418,3223
2020-08-24,151.77,153.99,151.48,153.97,414009.0,152.989,2973
2020-08-25,154.44,155.31,153.91,154.78,346353.0,154.598,2573
2020-08-26,155.3,155.3,152.66,153.33,488904.0,153.415,3613
2020-08-27,154.26,154.35,151.35,151.81,731719.0,152.413,4442
2020-08-28,151.69,153.94,151.55,153.58,486285.0,153.097,3541
2020-08-31,153.04,155.25,152.33,154.75,874036.0,154.102,5501
2020-09-01,154.28,154.29,152.67,153.77,601023.0,153.634,4111
2020-09-02,154.0,157.97,153.53,157.09,532348.0,156.509,3745
2020-09-03,156.73,157.22,152.1,153.52,632579.0,154.26,3971
2020-09-04,154.04,155.46,151.24,153.04,790354.0,153.075,5605
2020-09-08,151.15,154.0,150.31,152.49,697374.0,152.427,5255
2020-09-09,154.08,155.37,152.73,153.57,312003.0,154.305,2688
2020-09-10,153.58,154.98,150.05,150.34,423127.0,151.811,3381
2020-09-11,152.03,154.3,151.59,153.86,420157.0,153.214,3232
2020-09-14,153.82,157.08,153.82,156.0,612106.0,155.823,4564
2020-09-15,156.81,157.77,156.4,156.8,295704.0,157.002,2237
2020-09-16,157.7,158.99,157.03,157.09,420655.0,157.737,3552
2020-09-17,154.64,158.45,153.54,158.18,699891.0,157.334,4599
2020-09-18,157.02,158.31,155.73,157.31,673613.0,157.111,4343
2020-09-21,155.04,155.04,151.33,152.57,468651.0,152.726,3680
2020-09-22,153.17,157.39,152.39,157.27,465730.0,155.46,3826
2020-09-23,157.14,157.89,152.11,152.2,660910.0,153.674,3929
2020-09-24,151.65,152.87,149.81,151.69,462696.0,151.674,3882
2020-09-25,150.76,154.58,150.15,154.0,318330.0,152.579,2522
2020-09-28,155.86,158.39,155.24,156.63,508759.0,156.884,3203
2020-09-29,157.46,158.96,157.26,157.65,354339.0,158.117,2739
2020-09-30,157.71,158.04,156.07,156.81,399841.0,157.241,3404
2020-10-01,158.0,158.85,155.34,156.79,387075.0,156.87,2924
2020-10-02,153.7,157.58,153.7,156.91,307023.0,156.261,1960
2020-10-05,158.0,158.65,156.59,157.51,415471.0,157.355,3117
2020-10-06,158.12,159.24,156.61,156.96,479236.0,158.021,3401
2020-10-07,158.46,160.51,157.54,160.31,557303.0,159.173,3995
2020-10-08,161.68,163.71,161.68,162.77,407321.0,162.451,3130
2020-10-09,164.39,167.17,164.0,166.78,688107.0,166.147,5034
2020-10-12,167.59,168.84,166.01,168.33,332535.0,167.898,2520
2020-10-13,167.86,169.68,165.57,166.24,403591.0,166.851,3098
2020-10-14,167.86,168.71,166.26,166.92,236341.0,167.276,1987
2020-10-15,166.66,174.94,165.88,171.59,1258126.0,171.924,8259
2020-10-16,171.42,172.82,169.79,170.91,664988.0,171.536,3050
2020-10-19,171.45,173.36,169.71,170.16,428398.0,171.257,2927
2020-10-20,170.15,171.6,168.79,168.9,532053.0,169.711,3747
2020-10-21,170.44,171.81,169.45,170.49,269378.0,170.571,1954
2020-10-22,170.88,171.48,168.84,169.06,457126.0,169.608,2874
2020-10-23,173.18,176.92,171.71,174.78,666292.0,173.91,4275
2020-10-26,172.64,173.03,169.42,172.3,508161.0,171.445,3482
2020-10-27,172.04,175.24,171.92,172.36,501448.0,173.169,3629
2020-10-28,169.14,170.42,164.35,164.49,690950.0,166.269,4265
2020-10-29,163.9,165.39,160.89,162.89,685860.0,163.033,5649
2020-10-30,160.5,161.82,156.3,158.06,618836.0,158.605,4753
2020-11-02,160.0,164.77,159.88,163.47,645596.0,162.762,4211
2020-11-03,165.66,169.28,165.41,166.0,466828.0,166.849,3150
2020-11-04,166.23,166.38,160.18,160.33,786766.0,162.8,5801
2020-11-05,163.13,165.57,160.52,160.85,722964.0,162.682,4318
2020-11-06,162.27,165.79,161.2,164.48,625922.0,164.18,3660
2020-11-09,171.94,175.71,169.91,170.26,724450.0,172.863,4973
2020-11-10,170.07,170.66,165.96,166.8,596414.0,167.883,4434
2020-11-11,169.04,170.0,167.24,169.73,310822.0,168.666,2423
2020-11-12,168.4,169.73,166.5,167.53,220471.0,167.789,1886
2020-11-13,169.32,172.42,168.7,170.5,265237.0,170.029,2110
2020-11-16,172.36,173.92,171.25,173.9,345781.0,172.797,2555
2020-11-17,172.16,172.93,169.43,169.57,502965.0,170.577,3798
2020-11-18,169.95,170.19,167.28,167.45,291633.0,168.65,2322
2020-11-19,166.61,169.28,165.39,169.16,188953.0,167.677,1505
2020-11-20,169.35,170.58,166.0,167.3,924111.0,167.069,3259
2020-11-23,168.09,169.81,166.18,169.38,327841.0,168.349,2443
2020-11-24,170.96,172.58,170.47,171.87,366617.0,171.738,2839
2020-11-25,172.0,175.41,171.33,172.13,493240.0,173.073,4032
2020-11-27,173.63,174.73,172.38,173.46,138080.0,173.292,1084
2020-11-30,172.6,174.63,170.27,171.53,727578.0,171.358,5149
2020-12-01,172.78,173.44,169.78,170.5,498023.0,170.709,3923
2020-12-02,170.63,171.75,169.02,171.06,426885.0,170.58,2840
2020-12-03,170.83,172.55,168.6,171.12,344058.0,171.191,2746
2020-12-04,171.59,172.44,169.5,170.4,273955.0,170.886,2069
2020-12-07,170.71,171.96,169.92,170.46,217604.0,170.659,1734
2020-12-08,169.45,172.86,168.34,172.48,672863.0,171.099,3592
2020-12-09,173.23,175.2,172.09,172.9,278063.0,173.591,2308
2020-12-10,173.06,174.29,170.65,171.86,363975.0,172.373,2879
2020-12-11,170.29,171.31,166.92,168.4,495001.0,168.828,3772
2020-12-14,168.7,169.81,165.77,165.92,419578.0,167.572,3330
2020-12-15,167.02,168.88,166.3,168.03,536221.0,167.679,3688
2020-12-16,168.08,168.84,164.77,166.92,601478.0,166.42,3780
2020-12-17,167.46,170.39,166.86,169.65,590545.0,168.63,4581
2020-12-18,169.15,171.03,168.71,170.26,651011.0,169.826,3774
2020-12-21,167.38,168.36,163.16,165.22,548418.0,164.993,3564
2020-12-22,165.06,167.88,164.78,167.45,379459.0,166.814,3045
2020-12-23,168.05,170.34,167.91,168.61,369235.0,169.11,2821
2020-12-24,169.0,169.19,167.37,168.47,140398.0,168.284,985
2020-12-28,169.38,170.44,167.83,169.41,210771.0,169.263,1688
2020-12-29,170.54,170.7,166.38,166.94,281480.0,167.537,2161
2020-12-30,167.51,168.86,166.89,166.98,214145.0,167.672,1664
2020-12-31,166.68,170.17,166.51,170.06,247712.0,168.614,1835
2021-01-04,170.64,171.19,165.6,167.5,367926.0,167.656,2561
2021-01-05,167.73,168.69,165.73,166.61,361642.0,166.61,2978
2021-01-06,166.56,171.55,165.7,170.68,497722.0,169.965,3695
2021-01-07,170.91,173.46,170.64,171.08,452328.0,172.06,3054
2021-01-08,171.3,174.64,171.3,174.55,289990.0,173.384,2246
2021-01-11,173.17,174.74,172.75,173.69,233272.0,173.693,1816
