date,open,high,low,close,volume,average,barCount
2020-07-13,101.7,103.3,98.91,101.64,489034.0,101.769,3775
2020-07-14,101.11,102.46,97.77,98.33,696068.0,99.263,5174
2020-07-15,100.92,103.28,100.51,102.77,450279.0,102.099,3694
2020-07-16,101.42,104.67,100.95,102.52,229552.0,102.827,1938
2020-07-17,102.48,102.51,98.98,99.32,254444.0,100.458,1904
2020-07-20,98.64,99.68,98.03,98.79,534819.0,98.955,4356
2020-07-21,99.72,104.77,99.72,103.94,638342.0,103.48,5063
2020-07-22,103.02,104.3,102.38,103.44,357583.0,103.193,3003
2020-07-23,103.47,107.22,101.04,105.0,857218.0,104.475,7062
2020-07-24,105.77,106.84,104.59,105.13,418952.0,105.58,3203
2020-07-27,104.29,104.33,101.55,102.9,392124.0,103.141,3254
2020-07-28,102.33,103.54,102.12,102.84,361309.0,103.017,2926
2020-07-29,102.27,107.45,101.56,106.82,593424.0,105.202,4976
2020-07-30,103.95,106.28,101.22,105.78,657106.0,104.702,5243
2020-07-31,104.78,106.15,103.16,105.95,844925.0,104.606,6139
2020-08-03,105.93,106.24,103.09,105.03,464522.0,105.289,3689
2020-08-04,104.4,105.37,103.42,104.06,279297.0,103.987,2241
2020-08-05,105.0,105.86,103.79,104.6,603048.0,104.475,5055
2020-08-06,104.0,105.77,102.81,103.57,451216.0,103.729,3648
2020-08-07,102.91,107.66,102.78,107.61,552872.0,105.684,3832
2020-08-10,107.96,110.0,107.53,109.07,334711.0,109.316,2468
2020-08-11,111.77,114.13,110.73,111.35,295500.0,112.383,2500
2020-08-12,113.69,113.69,108.57,110.35,280573.0,110.629,2492
2020-08-13,109.0,109.48,107.25,107.83,262287.0,108.161,2277
2020-08-14,107.0,110.26,106.63,109.21,187391.0,109.13,1507
2020-08-17,108.28,108.49,106.35,106.56,277829.0,106.936,1910
2020-08-18,106.63,106.65,104.24,104.5,304864.0,104.889,2241
2020-08-19,105.04,106.06,104.04,104.43,306311.0,104.83,2378
2020-08-20,103.16,103.16,100.79,101.67,423951.0,101.904,3421
2020-08-21,101.86,103.01,101.28,102.46,559442.0,102.055,4161
2020-08-24,102.6,105.89,102.4,105.83,399981.0,104.909,3181
2020-08-25,107.3,107.78,104.07,105.95,373859.0,105.414,2956
2020-08-26,105.34,105.34,103.66,103.74,286138.0,104.329,1937
2020-08-27,104.11,106.63,103.76,105.87,277810.0,105.734,2079
2020-08-28,106.99,107.0,105.37,106.4,226106.0,106.091,1776
2020-08-31,105.24,105.29,103.16,103.26,299237.0,103.888,2491
2020-09-01,102.45,104.93,101.71,103.56,292234.0,103.516,2326
2020-09-02,103.21,104.89,102.08,104.12,310618.0,104.021,2557
2020-09-03,105.23,108.5,102.93,103.73,470958.0,104.503,3559
2020-09-04,106.35,107.59,103.25,105.9,339204.0,105.601,2700
2020-09-08,104.85,105.27,101.6,102.26,479735.0,102.913,3290
2020-09-09,102.89,102.89,100.45,101.16,379887.0,101.348,2765
2020-09-10,101.84,102.52,98.75,99.05,574593.0,99.877,4026
2020-09-11,99.61,101.85,99.0,101.66,614045.0,101.074,3626
