date,open,high,low,close,volume,average,barCount
2020-07-13,100.72,101.47,96.24,96.92,3083846.0,98.896,18097
2020-07-14,95.38,99.18,94.4,97.93,2628935.0,97.073,15147
2020-07-15,98.11,99.0,95.75,96.43,2266121.0,96.877,11472
2020-07-16,95.54,95.81,93.5,94.46,1682861.0,94.628,10057
2020-07-17,95.0,95.87,90.95,91.75,1864212.0,92.59,10616
2020-07-20,91.72,98.98,91.46,97.17,2632518.0,97.049,15912
2020-07-21,98.41,98.41,92.62,93.93,1788888.0,94.852,11822
2020-07-22,94.0,96.02,92.92,93.37,1212727.0,94.073,8425
2020-07-23,93.01,94.44,90.59,91.15,1053926.0,92.044,7535
2020-07-24,89.99,91.8,87.56,90.36,1191788.0,90.515,8026
2020-07-27,91.57,93.78,91.1,91.77,1507157.0,92.569,8698
2020-07-28,91.51,101.9,91.51,98.44,6312516.0,98.666,29593
2020-07-29,100.0,103.5,99.0,102.79,2958274.0,101.786,14878
2020-07-30,101.75,104.33,100.58,102.35,1722986.0,102.882,8821
2020-07-31,103.63,103.97,101.54,102.7,1543078.0,102.624,9297
2020-08-03,103.78,110.86,103.06,110.41,3123550.0,107.165,17450
2020-08-04,110.2,110.47,105.99,107.57,2022297.0,107.541,11550
2020-08-05,118.55,123.0,115.31,120.71,4715981.0,119.987,26516
2020-08-06,117.73,118.01,113.88,113.97,2964899.0,115.758,14153
2020-08-07,114.44,116.25,113.03,115.88,1614800.0,114.851,9901
2020-08-10,117.01,119.49,112.69,115.65,2559892.0,115.58,11883
2020-08-11,115.38,118.39,114.87,115.5,1760045.0,116.74,8764
2020-08-12,115.85,118.0,115.42,115.92,1280620.0,116.65,8132
2020-08-13,118.25,118.25,116.69,117.44,1537836.0,117.349,7624
2020-08-14,118.0,121.44,117.65,118.8,1421269.0,119.531,8135
2020-08-17,118.82,119.79,113.56,114.11,2774605.0,115.702,15746
2020-08-18,114.54,116.46,114.1,115.21,2472046.0,115.156,12503
2020-08-19,114.82,118.47,113.94,114.15,2576324.0,116.011,16737
2020-08-20,113.71,115.53,112.16,113.08,1024967.0,113.43,7119
2020-08-21,113.52,114.7,112.4,112.55,1204908.0,113.837,5809
2020-08-24,113.64,114.97,111.01,111.9,1100100.0,112.479,6948
2020-08-25,110.78,112.52,109.56,112.28,1336852.0,111.259,7368
2020-08-26,113.2,114.08,110.95,112.53,1221938.0,112.948,6653
2020-08-27,112.37,113.27,111.34,111.53,1240878.0,112.643,5803
2020-08-28,112.18,113.56,109.87,111.5,950310.0,111.682,4887
2020-08-31,111.49,112.25,110.44,111.68,1424881.0,111.531,5697
2020-09-01,111.03,115.25,110.87,113.41,1798652.0,113.875,10438
2020-09-02,114.7,117.62,112.88,117.49,1977169.0,115.745,8849
2020-09-03,114.23,114.82,108.81,110.54,1717961.0,110.947,10944
2020-09-04,108.77,110.95,102.08,105.94,1722248.0,105.167,10501
2020-09-08,101.79,105.55,100.25,102.06,1970434.0,102.588,12699
2020-09-09,104.49,106.68,102.13,105.56,1818247.0,105.469,12559
2020-09-10,106.29,108.37,104.17,105.46,1113282.0,106.462,8461
2020-09-11,106.74,106.86,101.65,103.65,1223602.0,103.665,8469
2020-09-14,105.74,109.27,105.74,108.26,2534904.0,107.958,14671
2020-09-15,109.95,111.66,108.71,110.98,1961361.0,110.604,10316
2020-09-16,110.75,111.4,107.79,108.3,2986941.0,109.355,16069
2020-09-17,107.95,108.46,105.65,107.56,1630739.0,106.804,11990
2020-09-18,107.74,109.77,105.36,108.41,1660005.0,107.729,11217
2020-09-21,106.08,107.25,104.2,106.85,1669649.0,106.406,10179
2020-09-22,108.38,108.79,105.46,106.51,1647380.0,106.446,9466
2020-09-23,106.94,107.26,102.41,102.89,1743535.0,104.832,11356
2020-09-24,101.02,105.13,100.61,103.43,1196629.0,103.034,7976
2020-09-25,103.58,107.53,102.77,105.75,1125528.0,105.478,7223
2020-09-28,107.15,109.84,106.77,108.59,1756315.0,108.718,10393
2020-09-29,108.22,109.38,106.63,109.12,1758930.0,108.387,10202
2020-09-30,108.73,111.79,108.43,110.65,1427490.0,110.291,8426
2020-10-01,112.14,116.58,111.13,116.21,1846971.0,114.958,13495
2020-10-02,113.13,115.9,111.63,111.94,1174147.0,113.183,6748
2020-10-05,112.99,115.15,111.68,114.05,999344.0,114.015,6500
2020-10-06,113.9,115.82,112.79,114.21,1127479.0,114.377,6965
2020-10-07,114.8,115.49,112.12,114.5,1704745.0,113.661,8623
2020-10-08,115.95,117.49,113.1,113.45,1874651.0,114.74,6930
2020-10-09,113.89,114.4,111.66,112.38,969212.0,113.18,6886
2020-10-12,112.5,113.94,108.85,110.3,1132103.0,110.712,7631
2020-10-13,112.0,113.4,110.39,111.16,1243340.0,111.893,8884
2020-10-14,111.87,112.51,109.28,109.77,1048136.0,110.49,4847
2020-10-15,108.05,112.11,107.05,111.17,1328948.0,109.79,7747
2020-10-16,112.56,113.07,110.42,112.21,787444.0,111.955,5039
2020-10-19,112.29,115.61,111.59,113.0,1147118.0,113.722,7967
2020-10-20,113.67,116.57,113.22,114.86,1005886.0,114.871,6940
2020-10-21,116.25,119.32,115.59,118.06,1380570.0,117.997,9129
2020-10-22,117.67,118.11,114.51,116.72,931162.0,116.311,5978
2020-10-23,118.0,120.38,116.53,120.3,747388.0,118.869,5268
2020-10-26,118.69,122.0,117.65,119.26,1426519.0,119.672,8589
2020-10-27,119.41,127.42,119.31,125.78,2381574.0,124.84,13273
2020-10-28,123.05,123.45,118.13,118.52,1461619.0,119.909,9626
2020-10-29,119.12,123.69,119.0,122.12,1124803.0,121.96,7419
2020-10-30,121.37,123.27,116.24,116.78,1322965.0,117.651,9256
2020-11-02,117.15,121.35,116.23,118.98,1987994.0,119.297,10276
2020-11-03,119.34,123.23,117.68,121.63,1743614.0,121.365,10185
2020-11-04,124.68,129.31,122.28,128.69,3014250.0,127.07,20740
2020-11-05,132.0,138.5,129.14,134.97,4811845.0,135.567,22622
2020-11-06,134.59,136.21,130.2,132.56,2333515.0,132.889,11449
2020-11-09,136.64,141.81,134.15,137.22,3247153.0,138.825,17577
2020-11-10,137.13,139.26,131.28,132.22,1760457.0,133.415,9328
2020-11-11,133.67,137.36,133.07,133.41,870016.0,134.49,6695
2020-11-12,132.94,135.6,130.38,131.26,1033895.0,132.489,7454
2020-11-13,131.12,132.75,129.38,131.6,837915.0,130.817,5595
2020-11-16,133.75,137.22,132.01,134.83,1508985.0,135.203,9541
2020-11-17,134.9,135.18,130.72,131.35,1238940.0,132.516,7964
2020-11-18,133.65,134.1,129.61,131.35,683223.0,131.566,5203
2020-11-19,131.19,135.16,130.2,132.31,822181.0,133.222,6007
2020-11-20,131.92,135.0,130.33,130.57,905258.0,132.385,6954
2020-11-23,131.07,139.07,131.07,138.23,1796219.0,136.55,10738
2020-11-24,137.65,138.94,135.08,138.67,1367406.0,137.55,8551
2020-11-25,139.1,141.63,136.87,139.01,961089.0,138.821,6011
2020-11-27,139.16,143.09,137.88,139.63,676130.0,140.153,4519
2020-11-30,139.23,139.79,135.3,139.21,1152284.0,137.994,8007
2020-12-01,141.21,143.82,140.82,143.31,1057836.0,142.517,6475
2020-12-02,142.1,142.1,137.39,138.93,970598.0,139.674,6473
2020-12-03,138.08,142.79,138.0,140.14,1193925.0,140.897,6975
2020-12-04,139.72,146.13,139.7,145.39,1296438.0,144.259,7612
2020-12-07,144.31,146.66,143.03,146.07,772049.0,145.378,6123
2020-12-08,146.56,147.4,144.03,145.42,733761.0,145.557,5473
2020-12-09,146.63,148.65,142.66,143.52,1407977.0,144.852,8754
2020-12-10,143.15,148.09,141.64,147.32,1689837.0,146.006,10251
2020-12-11,146.73,148.5,144.76,148.11,1426196.0,147.026,7717
2020-12-14,149.6,150.55,144.65,144.81,1790537.0,147.659,12578
2020-12-15,146.69,151.18,145.65,150.84,1743461.0,149.354,11723
2020-12-16,152.75,154.9,151.61,153.9,1511996.0,153.591,10157
2020-12-17,155.0,159.53,148.39,148.75,2513511.0,153.312,15408
2020-12-18,150.81,157.22,150.0,155.07,2558872.0,153.642,15042
2020-12-21,152.33,155.53,148.68,154.15,1272045.0,152.259,9896
2020-12-22,153.91,158.4,153.29,156.12,1165410.0,155.256,8020
2020-12-23,157.57,157.57,153.16,153.39,636642.0,154.346,4311
2020-12-24,153.04,154.15,151.34,152.08,837597.0,152.323,5406
2020-12-28,153.64,154.75,146.81,150.08,1872694.0,148.795,10855
2020-12-29,151.37,151.37,148.24,150.22,947976.0,149.729,5745
2020-12-30,152.2,152.66,150.3,152.0,504273.0,151.907,3700
2020-12-31,152.25,152.69,149.2,151.19,1070202.0,150.276,5476
2021-01-04,153.31,153.99,147.31,149.92,1108785.0,149.855,6875
2021-01-05,148.54,151.84,148.43,150.29,478902.0,150.265,3839
2021-01-06,147.7,150.54,147.16,148.81,1042207.0,149.051,6860
2021-01-07,149.46,153.07,149.46,152.86,941970.0,151.865,5780
2021-01-08,154.2,154.75,148.75,151.79,768264.0,151.16,5230
2021-01-11,151.85,153.59,148.27,151.9,896541.0,152.042,6074
2021-01-12,152.0,154.17,150.73,153.57,887200.0,152.721,5401
2021-01-13,154.0,159.85,153.58,155.02,1451466.0,157.179,8313
2021-01-14,156.79,158.22,148.03,149.05,1244444.0,151.905,8951
2021-01-15,149.07,152.16,145.09,150.85,1870401.0,149.72,11322
2021-01-19,151.5,152.15,144.01,146.14,2539340.0,146.063,15666
2021-01-20,147.26,148.6,146.19,147.63,1656899.0,147.537,11947
2021-01-21,148.59,149.51,143.36,144.49,1137962.0,145.021,7387
2021-01-22,143.0,144.18,139.55,141.0,2310666.0,141.255,14201
2021-01-25,141.28,142.38,133.36,139.42,3701095.0,137.993,20652
2021-01-26,139.42,142.4,137.55,138.42,1471253.0,138.877,9234
2021-01-27,135.75,137.66,130.0,131.55,2447253.0,133.81,18380
2021-01-28,132.45,146.79,132.2,141.52,2535983.0,142.15,17904
2021-01-29,141.18,143.2,137.16,139.86,2088084.0,139.792,14713
2021-02-01,142.41,146.55,141.3,145.95,1212450.0,144.766,8887
2021-02-02,149.2,150.35,146.4,150.09,1603293.0,148.964,11998
2021-02-03,146.0,147.92,137.58,138.12,6898075.0,142.227,37562
2021-02-04,141.92,150.86,141.2,150.63,3585449.0,146.065,21208
2021-02-05,151.46,159.99,149.7,159.82,2480071.0,156.414,15905
2021-02-08,160.13,162.97,156.77,159.0,3094300.0,161.433,18413
2021-02-09,159.01,160.78,154.03,158.87,2988740.0,157.926,14179
2021-02-10,165.14,173.54,162.52,171.07,3775472.0,170.214,22833
2021-02-11,170.72,174.68,167.2,172.13,3714430.0,171.67,22492
2021-02-12,171.85,172.35,166.85,169.53,1502498.0,169.16,10216
2021-02-16,170.65,171.1,164.46,164.86,1215579.0,167.481,9701
2021-02-17,162.15,163.89,159.54,160.8,1397520.0,161.181,10823
2021-02-18,159.25,163.4,156.28,162.24,1467090.0,160.022,10664
2021-02-19,164.02,164.03,160.0,160.95,1613467.0,161.382,10146
2021-02-22,159.83,160.48,155.88,156.71,2487494.0,157.829,9178
2021-02-23,155.93,161.97,151.15,161.33,1749963.0,157.419,11368
2021-02-24,160.81,161.9,157.28,160.79,1286062.0,160.2,9295
2021-02-25,159.75,161.85,151.09,151.72,1796581.0,155.316,11963
2021-02-26,152.92,154.35,146.48,152.85,2123950.0,150.533,14801
2021-03-01,156.99,157.87,153.88,156.52,1135748.0,155.736,8162
2021-03-02,156.99,157.37,152.13,152.51,1018377.0,154.107,8093
2021-03-03,151.48,152.72,146.12,147.34,1135923.0,148.785,8707
2021-03-04,146.36,149.22,140.01,143.66,2163302.0,143.627,14667
2021-03-05,148.76,149.01,142.18,146.29,3879885.0,145.434,27290
2021-03-08,146.3,148.97,143.49,145.56,2204564.0,146.139,13839
2021-03-09,148.85,154.31,148.85,152.11,1268547.0,152.448,9783
2021-03-10,152.87,154.29,144.87,146.85,1331651.0,148.2,9770
2021-03-11,150.99,157.9,150.52,155.35,1383596.0,155.515,10467
2021-03-12,154.23,155.0,149.34,153.38,1017551.0,152.447,6897
2021-03-15,152.5,156.55,151.81,153.93,878134.0,154.034,6273
2021-03-16,155.74,157.46,152.14,154.19,969319.0,154.816,6786
