date,open,high,low,close,volume,average,barCount
2020-07-13,824.9,836.66,818.67,823.99,30673.0,829.061,281
2020-07-14,823.68,853.82,823.68,849.34,47168.0,842.298,391
2020-07-15,859.0,873.16,857.75,869.04,74748.0,866.41,647
2020-07-16,869.9,874.98,856.1,860.68,37525.0,865.765,328
2020-07-17,867.41,878.76,865.79,867.89,34094.0,871.524,271
2020-07-20,871.17,881.47,864.66,866.47,41384.0,869.067,379
2020-07-21,869.98,878.13,868.47,870.51,28930.0,872.831,260
2020-07-22,871.06,891.05,871.06,883.35,45040.0,880.748,392
2020-07-23,879.93,891.03,879.93,885.37,50089.0,886.687,445
2020-07-24,882.56,882.56,853.02,862.72,59231.0,864.212,508
2020-07-27,869.29,897.19,869.29,895.5,48076.0,885.85,441
2020-07-28,897.28,911.9,880.03,882.03,61744.0,888.9,443
2020-07-29,885.0,906.56,881.62,898.08,42540.0,897.757,382
2020-07-30,891.1,901.16,879.69,895.17,78227.0,892.265,678
2020-07-31,923.15,953.7,900.22,935.0,117624.0,937.808,964
2020-08-03,933.26,938.44,915.37,926.43,51820.0,926.024,442
2020-08-04,918.96,935.83,913.69,928.59,49792.0,927.299,426
2020-08-05,936.55,955.0,934.55,945.24,33253.0,946.557,301
2020-08-06,952.85,952.85,924.48,938.25,33277.0,936.884,268
2020-08-07,930.7,946.74,930.7,944.17,31848.0,941.425,272
2020-08-10,947.99,953.05,942.06,945.95,26605.0,947.119,242
2020-08-11,945.16,954.22,942.86,947.25,26263.0,948.56,219
2020-08-12,952.82,975.02,947.98,973.27,37015.0,968.671,344
2020-08-13,968.2,975.0,967.36,973.14,43376.0,972.882,384
2020-08-14,962.64,972.26,956.54,961.04,24026.0,961.191,192
2020-08-17,964.58,972.17,957.73,959.78,29761.0,963.609,252
2020-08-18,961.0,970.0,953.48,963.2,40010.0,963.08,361
2020-08-19,961.18,980.88,960.57,970.71,32707.0,974.212,292
2020-08-20,962.49,967.75,956.19,959.34,34568.0,960.578,278
2020-08-21,961.09,961.09,946.49,959.98,44848.0,954.709,389
2020-08-24,964.88,964.88,945.52,947.94,31983.0,951.562,282
2020-08-25,955.26,969.08,954.05,967.82,23228.0,964.3,201
2020-08-26,966.04,980.0,960.44,972.1,33268.0,970.535,305
2020-08-27,969.22,977.26,957.86,968.68,31664.0,968.128,287
2020-08-28,975.65,975.65,955.93,966.61,29844.0,963.87,256
2020-08-31,968.0,979.67,962.74,970.78,30743.0,972.564,279
2020-09-01,973.42,981.77,966.48,975.89,32908.0,975.134,298
2020-09-02,977.35,1009.07,968.76,1005.15,28304.0,995.87,236
2020-09-03,1006.65,1006.65,956.53,962.99,35424.0,967.426,298
2020-09-04,968.39,968.39,933.65,949.26,38943.0,948.267,351
2020-09-08,937.83,956.03,926.88,947.62,59014.0,939.915,504
2020-09-09,957.11,991.48,955.31,975.82,20658.0,979.144,186
2020-09-10,976.61,988.44,959.77,963.46,30945.0,974.948,268
