date,open,high,low,close,volume,average,barCount
2020-07-13,16.39,16.63,15.5,15.6,31173448.0,15.969,96758
2020-07-14,15.22,15.55,14.85,15.33,23947972.0,15.244,76740
2020-07-15,16.33,18.55,16.24,18.5,78536574.0,17.543,222080
2020-07-16,16.58,17.1,15.6,15.61,65137978.0,16.213,179221
2020-07-17,15.34,15.68,15.01,15.27,55709440.0,15.277,160623
2020-07-20,15.51,15.96,14.82,14.89,41994406.0,15.147,123333
2020-07-21,15.11,15.31,14.68,14.98,42974064.0,15.011,109583
2020-07-22,14.85,15.11,14.58,14.66,25523845.0,14.815,68791
2020-07-23,14.57,14.86,13.96,14.41,39022622.0,14.346,104887
2020-07-24,14.22,14.68,14.07,14.38,23693973.0,14.323,63979
2020-07-27,14.28,14.3,13.26,13.38,30206583.0,13.616,82303
2020-07-28,13.34,14.52,13.32,14.22,40015787.0,14.142,101583
2020-07-29,14.22,14.49,13.81,14.34,25157845.0,14.158,67475
2020-07-30,13.97,14.32,13.78,14.17,21945559.0,14.08,59437
2020-07-31,13.99,14.1,13.46,13.64,24176879.0,13.639,66033
2020-08-03,13.31,13.38,12.56,13.06,36552540.0,12.917,95370
2020-08-04,13.04,13.91,13.0,13.56,26482897.0,13.637,72474
2020-08-05,13.97,14.2,13.43,13.72,25696838.0,13.73,66782
2020-08-06,13.34,14.42,13.27,14.24,35979985.0,14.106,89273
2020-08-07,14.1,14.18,13.47,13.99,27839017.0,13.842,83607
2020-08-10,13.99,15.38,13.98,15.13,40470235.0,14.981,122276
2020-08-11,16.47,16.58,15.55,15.64,47234925.0,16.09,147121
2020-08-12,16.11,16.19,14.72,15.23,31668075.0,15.272,95982
2020-08-13,14.95,15.91,14.93,15.34,22081350.0,15.449,66344
2020-08-14,15.1,15.89,14.91,15.75,22881147.0,15.527,64675
2020-08-17,15.85,15.86,15.04,15.39,17813083.0,15.333,57054
2020-08-18,15.39,15.54,15.04,15.2,12991013.0,15.217,39720
2020-08-19,15.21,16.37,15.06,15.68,28754833.0,15.897,82245
2020-08-20,15.41,15.7,15.08,15.58,16055749.0,15.439,48128
2020-08-21,15.5,15.87,15.45,15.56,14634488.0,15.653,41608
2020-08-24,15.94,17.21,15.41,16.74,45299115.0,16.624,123967
2020-08-25,16.84,17.1,16.19,16.75,24430221.0,16.55,73265
2020-08-26,16.57,16.64,15.45,15.72,33700039.0,15.854,93342
2020-08-27,16.22,17.3,16.14,16.65,42199342.0,16.813,117894
2020-08-28,17.15,17.78,16.86,17.69,38439216.0,17.435,107733
2020-08-31,17.67,17.84,17.07,17.11,25438323.0,17.372,72663
2020-09-01,16.75,17.27,16.44,16.94,17967962.0,16.947,53717
2020-09-02,16.93,17.09,16.38,16.99,17772766.0,16.782,54814
2020-09-03,17.66,19.21,17.3,17.63,52758246.0,18.174,151317
2020-09-04,18.27,18.62,17.49,18.42,41837614.0,18.135,114546
2020-09-08,18.02,18.85,17.99,18.53,27470950.0,18.532,83768
2020-09-09,18.3,18.48,17.48,17.93,21435888.0,17.863,69362
2020-09-10,18.05,19.16,17.92,17.93,29747373.0,18.49,88645
2020-09-11,18.15,18.15,17.18,17.51,19591026.0,17.539,60646
2020-09-14,17.82,17.97,17.42,17.79,15415318.0,17.688,45216
2020-09-15,17.77,17.85,16.77,16.97,25406222.0,17.204,74578
2020-09-16,17.11,17.86,16.72,17.5,24418504.0,17.339,67853
2020-09-17,16.98,17.56,16.71,17.26,17175295.0,17.218,50990
2020-09-18,17.02,17.3,15.94,16.25,26101915.0,16.454,83888
2020-09-21,15.46,15.72,14.72,14.99,28218933.0,15.069,91091
2020-09-22,15.05,15.59,14.92,15.33,18605580.0,15.2,57183
2020-09-23,15.5,16.17,15.13,15.17,19245976.0,15.559,56340
2020-09-24,14.95,15.0,14.15,14.63,21166149.0,14.591,65825
2020-09-25,15.82,16.64,15.56,16.63,44254972.0,16.061,117898
2020-09-28,16.92,16.95,16.01,16.68,26365691.0,16.551,71054
2020-09-29,16.6,16.85,16.28,16.56,12859155.0,16.526,37011
2020-09-30,17.09,18.23,16.94,17.11,35038764.0,17.561,102937
2020-10-01,17.4,17.41,16.74,17.34,19941015.0,17.067,57348
2020-10-02,16.28,17.43,16.15,17.27,19485340.0,16.963,61367
2020-10-05,17.06,17.36,16.69,16.99,13522870.0,16.936,37925
2020-10-06,17.22,18.24,17.09,17.23,29603989.0,17.732,83728
2020-10-07,17.75,18.16,17.46,18.01,15150241.0,17.865,43052
2020-10-08,18.32,18.44,17.69,18.2,15590072.0,18.026,42885
2020-10-09,18.3,18.91,17.98,18.73,21958193.0,18.61,61216
2020-10-12,18.52,18.62,18.08,18.08,12742956.0,18.33,37871
2020-10-13,17.3,17.37,16.42,16.59,24804772.0,16.819,77949
2020-10-14,16.68,17.16,16.36,16.48,16850827.0,16.657,54430
2020-10-15,16.18,16.24,15.65,16.1,17211328.0,15.925,55039
2020-10-16,16.28,16.44,15.9,16.2,12296855.0,16.16,35965
2020-10-19,16.32,16.76,16.18,16.45,11379602.0,16.502,37806
2020-10-20,16.66,17.16,16.47,17.08,14260051.0,16.905,43949
2020-10-21,17.0,17.14,16.72,16.99,10267383.0,16.954,34005
2020-10-22,17.1,17.76,17.02,17.71,14808279.0,17.45,46667
2020-10-23,17.72,18.41,17.45,18.35,20201337.0,17.99,56786
