date,open,high,low,close,volume,average,barCount
2020-07-13,64.75,65.6,63.85,64.06,5069836.0,64.78025,10298
2020-07-14,64.06,66.17,63.97,65.64,5338916.0,65.3105,10369
2020-07-15,66.14,66.61,64.7,64.75,4439976.0,65.487,8799
2020-07-16,64.96,67.45,64.69,67.1,6744140.0,66.705,13563
2020-07-17,67.52,69.36,67.23,68.85,6937444.0,68.61925,12576
2020-07-20,68.88,69.47,68.31,68.58,3681720.0,68.81625,7267
2020-07-21,68.48,69.89,68.44,69.08,3297004.0,69.19875,6697
2020-07-22,69.12,70.6,68.63,70.11,3446168.0,69.919,7027
2020-07-23,70.0,71.08,69.78,70.24,5113192.0,70.34475,9751
2020-07-24,70.72,71.41,69.5,70.06,4273512.0,70.12025,8234
2020-07-27,70.25,70.4,69.03,69.41,4809708.0,69.58625,9858
2020-07-28,69.3,70.82,69.16,70.01,3464572.0,70.10075,6662
2020-07-29,70.06,71.22,69.96,70.36,3209076.0,70.475,6220
2020-07-30,70.04,70.61,69.79,70.58,2268252.0,70.19425,4376
2020-07-31,70.23,70.71,68.97,70.17,4265608.0,69.692,8449
2020-08-03,70.29,70.47,69.11,69.4,5728132.0,69.455,8684
2020-08-04,69.68,71.31,69.35,71.26,5407376.0,70.43875,10273
2020-08-05,71.31,71.5,70.49,70.95,3685548.0,70.96,6573
2020-08-06,70.76,71.19,70.28,70.7,2734252.0,70.7075,5186
2020-08-07,70.71,72.35,70.62,71.95,2327424.0,71.907,4437
2020-08-10,72.07,72.28,70.73,70.91,4171176.0,71.1285,8672
2020-08-11,71.0,71.14,69.11,69.45,3917936.0,69.82925,7203
2020-08-12,69.82,71.49,69.67,71.15,3440280.0,70.82925,6394
2020-08-13,70.76,71.36,70.66,71.1,1972136.0,71.061,3858
2020-08-14,71.0,71.04,70.01,70.13,2302688.0,70.3055,4530
2020-08-17,70.52,71.27,70.08,70.75,2241604.0,70.885,4078
2020-08-18,70.68,71.29,70.55,70.76,2303936.0,70.8495,4668
2020-08-19,71.06,71.07,70.46,70.58,1897720.0,70.7215,3510
2020-08-20,70.2,70.94,70.14,70.53,1846172.0,70.545,3494
2020-08-21,70.67,70.76,70.11,70.6,2224400.0,70.5935,3844
2020-08-24,70.75,70.78,70.07,70.66,1876664.0,70.45925,3400
2020-08-25,70.9,70.91,69.79,70.33,2150836.0,70.20225,4020
2020-08-26,70.03,70.35,69.54,69.75,2957320.0,69.80425,5678
2020-08-27,69.5,70.12,69.15,69.72,2540892.0,69.63025,4650
2020-08-28,69.89,69.99,69.31,69.89,2417036.0,69.743,4114
2020-08-31,69.84,70.91,69.67,69.79,2843368.0,70.129,5138
2020-09-01,69.76,69.88,68.51,69.28,3315280.0,69.1795,5812
2020-09-02,69.36,72.42,68.92,72.07,4815432.0,71.443,8300
2020-09-03,72.14,72.77,69.49,70.15,4201836.0,70.73,7812
2020-09-04,70.8,71.5,68.2,69.33,3606264.0,69.30325,6843
2020-09-08,69.44,70.21,68.83,69.48,4147320.0,69.45125,7487
2020-09-09,70.0,71.71,69.96,70.59,2294960.0,71.0125,4334
2020-09-10,70.27,70.5,69.11,69.23,2307916.0,69.6945,4483
2020-09-11,69.54,69.8,68.86,69.54,1852552.0,69.4145,3478
2020-09-14,69.89,71.0,69.61,70.48,1668540.0,70.52025,3077
2020-09-15,73.91,74.83,72.79,73.92,6472552.0,73.924,11675
2020-09-16,71.19,71.74,69.78,70.09,11904308.0,70.5575,21346
2020-09-17,69.5,70.07,68.95,69.88,5072960.0,69.5215,9321
2020-09-18,69.74,70.5,68.96,69.23,7111576.0,69.60875,10013
2020-09-21,68.78,69.17,67.89,69.05,4297620.0,68.5285,7377
2020-09-22,69.36,69.99,68.74,69.52,3720236.0,69.43425,6264
2020-09-23,69.67,69.67,68.28,68.33,3171992.0,68.9555,5742
2020-09-24,68.18,69.94,68.14,69.39,4322436.0,69.152,7584
2020-09-25,68.88,70.53,68.58,70.46,2958100.0,69.81525,5234
2020-09-28,70.86,71.51,70.66,71.04,3896568.0,71.15575,6568
2020-09-29,71.03,71.48,70.55,70.78,3476748.0,71.03825,6437
2020-09-30,70.2,70.78,66.79,69.39,15089668.0,68.75425,23193
2020-10-01,69.77,71.01,69.66,70.69,5592520.0,70.49975,10100
2020-10-02,69.69,71.79,69.63,70.29,4931816.0,70.66675,9487
2020-10-05,70.96,72.25,70.73,71.98,3559248.0,71.73425,6804
2020-10-06,72.16,73.13,71.32,72.57,4199580.0,72.304,6540
2020-10-07,73.24,74.44,72.38,74.28,6322672.0,73.9,10612
2020-10-08,74.76,75.5,74.23,75.26,3190820.0,75.04575,5156
2020-10-09,75.93,75.93,75.07,75.73,3095960.0,75.5065,5160
2020-10-12,75.75,77.02,75.5,76.42,2937888.0,76.35175,5099
2020-10-13,75.75,76.08,74.75,75.37,5187688.0,75.21775,8420
2020-10-14,75.5,75.82,74.67,75.16,3321604.0,75.18175,5736
2020-10-15,74.5,74.97,73.92,74.61,3354468.0,74.533,6298
2020-10-16,74.87,76.55,74.68,76.4,4460204.0,75.97,7508
2020-10-19,76.28,76.91,74.54,74.89,4381924.0,75.512,7454
2020-10-20,75.31,76.03,74.86,75.25,2611396.0,75.47125,5144
2020-10-21,75.25,75.62,73.86,74.42,4695980.0,74.6975,8226
2020-10-22,74.91,76.08,74.81,75.57,3431924.0,75.6575,6708
