date,open,high,low,close,volume,average,barCount
2020-07-13,567.97,575.37,520.96,525.5,12617588.0,557.415,69142
2020-07-14,517.08,525.5,490.49,524.88,10757312.0,513.183,55013
2020-07-15,518.27,529.0,510.18,523.26,7389516.0,519.446,37549
2020-07-16,526.74,535.54,504.36,527.39,14388231.0,523.322,74262
2020-07-17,494.83,503.59,484.14,492.99,17109864.0,491.461,89890
2020-07-20,489.75,504.5,484.2,502.41,8492107.0,496.28,45297
2020-07-21,505.62,506.38,488.61,490.1,6191681.0,494.676,34651
2020-07-22,492.19,497.2,487.2,489.82,4436489.0,491.268,25214
2020-07-23,491.59,491.9,472.02,477.58,4853675.0,481.558,25439
2020-07-24,468.61,487.17,467.54,480.45,4629666.0,480.014,27725
2020-07-27,484.51,496.92,482.31,495.65,4868361.0,490.36,30684
2020-07-28,496.51,497.8,487.76,488.51,3768620.0,491.878,21243
2020-07-29,492.25,494.92,484.13,484.48,3528493.0,488.613,22364
2020-07-30,482.5,488.35,477.51,485.8,4211263.0,484.72,28902
2020-07-31,488.29,494.8,484.5,488.88,3075253.0,489.026,19538
2020-08-03,491.36,503.09,490.23,498.62,3337590.0,498.059,20790
2020-08-04,498.79,510.45,498.65,509.64,3162160.0,506.555,17963
2020-08-05,507.76,510.11,501.2,502.11,2343386.0,505.04,13756
2020-08-06,504.11,510.82,498.7,509.08,2235869.0,505.162,14756
2020-08-07,505.49,508.29,486.68,494.73,3475131.0,495.671,22859
2020-08-10,493.44,497.46,478.62,483.38,2762047.0,485.195,18025
2020-08-11,479.75,480.92,466.55,466.93,4363801.0,473.546,27865
2020-08-12,471.34,482.49,470.18,475.47,3294963.0,477.633,21798
2020-08-13,478.55,484.45,476.45,481.33,1787985.0,480.917,11558
2020-08-14,483.0,488.33,480.21,482.68,1735617.0,483.108,11073
2020-08-17,484.2,486.24,479.1,482.35,1292990.0,482.691,8550
2020-08-18,484.14,495.3,482.8,491.87,1932858.0,490.678,12143
2020-08-19,494.03,494.5,483.5,484.53,1780441.0,487.82,11009
