date,open,high,low,close,volume,average,barCount
2020-07-13,425.0,427.78,399.47,401.87,894579.0,411.778,6670
2020-07-14,400.0,413.81,390.84,413.23,906466.0,403.958,7003
2020-07-15,422.89,425.96,415.74,423.56,1311040.0,422.078,10104
2020-07-16,416.06,418.27,404.49,413.88,879331.0,411.19,6739
2020-07-17,415.75,423.4,411.45,421.81,685516.0,418.119,4960
2020-07-20,425.0,454.7,424.54,449.27,2208972.0,444.228,15249
2020-07-21,447.23,447.47,434.18,437.22,896722.0,438.866,6571
2020-07-22,440.0,443.97,434.31,441.6,484694.0,439.128,3827
2020-07-23,441.1,448.34,428.62,430.85,821383.0,439.714,6184
2020-07-24,420.28,430.31,414.59,425.19,589196.0,424.082,4427
2020-07-27,430.0,436.16,426.0,433.81,556841.0,433.203,4348
2020-07-28,435.0,442.58,431.0,435.04,598361.0,437.874,4505
2020-07-29,442.57,446.51,437.87,445.71,1103628.0,442.918,8321
2020-07-30,432.72,438.6,421.33,431.4,2041010.0,429.229,13760
2020-07-31,436.51,439.2,428.31,439.2,972561.0,433.773,6779
2020-08-03,443.72,444.79,431.16,439.96,1149373.0,438.835,8089
2020-08-04,437.42,442.49,433.87,438.15,659808.0,438.026,4979
2020-08-05,440.0,441.05,435.33,435.74,578623.0,438.147,4501
2020-08-06,437.88,439.57,425.33,430.33,1429794.0,429.217,10038
2020-08-07,432.04,439.29,423.71,431.21,1552173.0,432.459,12656
2020-08-10,430.98,439.13,422.17,438.68,1674005.0,433.164,13173
2020-08-11,434.35,434.99,418.53,421.36,962971.0,426.234,7108
2020-08-12,425.14,431.43,423.05,427.13,655753.0,427.203,4940
2020-08-13,427.86,439.81,426.71,438.42,772181.0,436.313,5819
2020-08-14,438.36,442.9,434.32,435.73,511310.0,437.221,3592
2020-08-17,436.98,445.15,436.98,442.37,999498.0,442.24,7983
2020-08-18,441.72,444.36,435.3,437.58,1165701.0,438.656,9368
2020-08-19,438.0,443.64,432.1,437.13,990825.0,438.561,7659
2020-08-20,435.42,454.73,433.35,453.34,1360479.0,448.16,9899
2020-08-21,452.78,453.99,446.17,449.42,1109206.0,450.073,8416
2020-08-24,453.05,458.64,445.0,448.1,1093583.0,450.274,7886
2020-08-25,450.0,458.88,445.74,457.93,646309.0,454.757,4743
2020-08-26,465.0,488.59,464.1,487.7,1335203.0,479.973,8957
2020-08-27,485.0,485.1,474.5,480.55,814204.0,480.983,5757
2020-08-28,485.0,494.0,484.4,487.87,614324.0,488.169,4209
2020-08-31,488.25,490.0,480.99,482.02,638734.0,483.355,4533
2020-09-01,485.0,497.25,482.58,497.19,738384.0,492.58,5223
2020-09-02,500.0,501.82,482.66,499.69,710951.0,494.82,5460
2020-09-03,485.0,487.99,462.67,468.84,1151439.0,471.024,8479
2020-09-04,466.0,470.0,435.1,450.35,1626697.0,451.219,10032
2020-09-08,439.99,452.73,432.85,443.14,968697.0,444.071,6875
2020-09-09,452.09,462.86,441.84,458.2,1004462.0,455.398,6998
2020-09-10,461.0,468.32,450.27,452.98,629306.0,460.842,4621
2020-09-11,457.63,458.49,439.76,445.9,473792.0,447.974,3708
2020-09-14,451.51,463.2,451.17,458.06,525132.0,458.146,4108
2020-09-15,463.23,474.32,462.6,473.96,613267.0,469.602,4860
2020-09-16,476.47,479.44,455.78,456.01,861536.0,463.761,6276
2020-09-17,445.7,455.0,442.0,453.8,837541.0,449.403,6603
2020-09-18,454.15,457.26,442.71,453.09,657582.0,451.806,4410
2020-09-21,446.82,462.4,446.2,461.88,560327.0,456.289,4582
2020-09-22,465.75,471.1,454.6,470.57,407343.0,465.043,3158
2020-09-23,470.0,473.32,459.04,460.47,388684.0,467.112,3033
2020-09-24,458.79,465.17,453.7,460.12,412540.0,460.674,3029
2020-09-25,468.91,481.65,464.56,479.97,647310.0,476.182,4483
2020-09-28,486.61,488.4,478.97,484.21,668899.0,484.645,5084
2020-09-29,486.35,489.56,483.09,487.98,428471.0,486.735,3329
2020-09-30,485.67,493.31,481.15,485.0,535712.0,487.636,4007
2020-10-01,491.57,495.13,487.45,492.52,444310.0,491.678,3730
2020-10-02,480.49,502.63,478.99,493.15,872214.0,493.671,5902
2020-10-05,495.61,502.23,491.27,501.79,660388.0,498.365,4393
2020-10-06,500.0,502.6,489.82,491.54,560153.0,496.727,3696
2020-10-07,497.63,504.21,494.0,500.0,423661.0,500.024,2499
2020-10-08,505.0,505.0,492.0,496.5,453995.0,497.828,3058
2020-10-09,503.56,510.88,502.01,508.61,678397.0,506.861,3924
2020-10-12,513.55,515.55,502.0,509.09,451007.0,508.905,3109
2020-10-13,516.51,522.77,511.23,518.3,699767.0,517.869,4075
2020-10-14,520.0,521.5,509.98,516.89,498866.0,516.171,3398
2020-10-15,509.48,522.99,506.0,520.68,489495.0,515.805,3570
2020-10-16,524.15,530.73,520.99,524.87,603340.0,526.756,4188
2020-10-19,526.44,533.37,519.39,521.95,436993.0,526.667,3075
2020-10-20,523.0,527.58,515.91,518.19,470536.0,522.035,2956
2020-10-21,518.68,519.53,506.83,510.28,398262.0,512.823,3080
2020-10-22,511.7,513.55,495.17,505.96,404011.0,504.935,3113
2020-10-23,509.09,514.23,505.23,514.01,266772.0,510.584,1929
2020-10-26,518.01,521.86,492.51,501.61,848750.0,505.002,6279
2020-10-27,508.79,510.0,498.52,499.81,547630.0,502.939,4112
2020-10-28,486.95,489.92,480.15,484.05,944219.0,484.231,6861
2020-10-29,497.0,517.9,493.0,510.59,1768624.0,506.643,12436
2020-10-30,504.4,507.99,485.59,497.57,1009288.0,493.834,7348
2020-11-02,499.21,507.58,474.28,476.0,1272149.0,485.216,8325
2020-11-03,477.61,484.71,472.01,480.05,1140767.0,479.545,7261
2020-11-04,506.35,518.23,501.0,513.58,1268826.0,510.872,9292
2020-11-05,523.31,533.84,520.49,531.08,552377.0,529.183,4127
2020-11-06,529.53,537.53,519.0,535.18,372939.0,531.568,2923
2020-11-09,509.65,528.21,500.79,501.96,1361163.0,514.76,9102
2020-11-10,495.53,499.68,472.01,481.28,1439733.0,481.627,10640
2020-11-11,493.71,508.06,489.55,503.36,918175.0,502.572,5977
2020-11-12,520.45,525.01,506.37,509.78,908771.0,514.99,6396
2020-11-13,511.6,511.6,495.52,508.01,625297.0,503.268,4599
2020-11-16,497.49,505.76,495.18,502.28,902384.0,500.071,6302
2020-11-17,505.0,516.0,504.07,513.1,609393.0,510.259,4278
2020-11-18,511.25,513.56,502.39,507.12,538767.0,508.878,3588
2020-11-19,508.2,519.93,505.0,514.33,476127.0,514.179,3110
2020-11-20,515.61,526.46,514.0,518.06,635106.0,521.607,4295
2020-11-23,520.1,524.87,514.26,522.11,719045.0,519.511,4656
2020-11-24,522.71,526.0,510.15,514.69,621840.0,515.045,3758
2020-11-25,519.0,524.0,511.79,519.22,542306.0,516.893,3850
2020-11-27,521.0,529.78,515.84,527.48,334481.0,524.15,2460
2020-11-30,530.0,535.0,520.98,534.55,759034.0,529.208,5654
2020-12-01,536.0,541.75,525.95,539.59,580906.0,535.649,3745
2020-12-02,530.77,535.0,521.17,526.52,501576.0,526.124,3831
2020-12-03,527.79,539.51,523.3,525.24,481284.0,529.427,3750
2020-12-04,525.54,529.75,522.24,525.7,347046.0,525.653,2760
2020-12-07,529.95,534.74,527.91,533.25,776420.0,531.587,4596
2020-12-08,536.79,544.05,528.6,542.25,1027363.0,536.059,7593
2020-12-09,544.43,545.0,525.65,527.99,761080.0,534.037,6050
2020-12-10,526.5,538.56,518.51,538.0,543094.0,532.76,3988
2020-12-11,538.0,540.69,530.83,537.36,394739.0,536.401,3111
2020-12-14,538.5,539.11,530.96,532.48,616409.0,534.736,4335
2020-12-15,532.0,535.11,525.08,527.38,528863.0,529.114,4251
2020-12-16,532.95,549.88,532.0,545.0,715986.0,543.313,5556
2020-12-17,549.47,558.34,549.47,554.07,506806.0,554.11,3969
2020-12-18,558.47,566.74,555.55,565.43,820721.0,559.904,5435
2020-12-21,558.02,562.45,542.7,550.82,863002.0,550.713,6267
2020-12-22,550.71,562.5,548.97,561.72,586916.0,557.003,4548
