date,open,high,low,close,volume,average,barCount
2020-07-13,33.06,33.63,32.77,33.23,1752404.0,33.269,13187
2020-07-14,33.12,34.06,33.12,33.84,1531201.0,33.748,11055
2020-07-15,34.26,34.58,33.95,34.02,1050029.0,34.147,7506
2020-07-16,34.03,34.42,33.73,33.84,1192378.0,33.982,7846
2020-07-17,34.08,34.17,33.41,33.72,1123738.0,33.669,6990
2020-07-20,33.54,33.81,33.12,33.42,1217093.0,33.364,7960
2020-07-21,33.41,33.84,33.2,33.53,1360818.0,33.479,9808
2020-07-22,33.31,33.76,32.94,33.59,1814926.0,33.487,12867
2020-07-23,33.58,33.79,33.05,33.23,2260573.0,33.403,12732
2020-07-24,33.0,34.23,32.35,34.19,4567466.0,33.546,24085
2020-07-27,34.57,35.55,33.63,33.74,2612050.0,34.266,15884
2020-07-28,33.6,34.21,33.39,33.74,1334458.0,33.795,9446
2020-07-29,33.76,33.92,33.28,33.64,1181149.0,33.569,8790
2020-07-30,33.28,33.92,32.72,33.85,1795577.0,33.615,11677
2020-07-31,33.47,33.84,33.04,33.81,1319727.0,33.388,9645
2020-08-03,33.71,33.79,33.17,33.47,1053386.0,33.537,7585
2020-08-04,33.55,34.11,33.55,34.03,1446217.0,33.875,10142
2020-08-05,34.18,34.41,33.44,33.56,1161761.0,33.689,8061
2020-08-06,33.44,34.12,33.42,33.98,1024076.0,33.905,7425
2020-08-07,33.81,34.57,33.81,34.28,1366662.0,34.187,8874
2020-08-10,34.44,35.26,34.4,34.98,1505519.0,34.887,9575
2020-08-11,35.18,35.66,34.72,34.9,1347019.0,35.049,9369
2020-08-12,35.08,35.49,34.89,35.26,1645674.0,35.281,10318
2020-08-13,35.17,35.39,34.86,35.29,963297.0,35.171,6821
2020-08-14,35.18,35.22,34.88,34.94,870150.0,35.045,6678
2020-08-17,34.97,35.68,34.81,35.3,1394840.0,35.301,9500
2020-08-18,35.3,36.35,35.3,36.09,2104541.0,35.942,13986
2020-08-19,36.24,36.28,35.37,35.41,1412649.0,35.611,10636
2020-08-20,35.2,35.41,34.54,34.65,972240.0,34.805,7086
