date,open,high,low,close,volume,average,barCount
2020-07-13,172.38,177.41,171.28,175.13,719712.0,175.363,6048
2020-07-14,174.05,178.4,173.39,177.93,541126.0,176.8,4092
2020-07-15,181.31,182.14,179.16,181.28,801262.0,180.975,5815
2020-07-16,181.01,185.79,180.3,182.92,909872.0,183.674,7008
2020-07-17,184.17,189.02,183.82,188.25,1435522.0,187.382,9170
2020-07-20,186.77,187.74,184.34,186.17,1455552.0,185.881,9477
2020-07-21,186.81,189.77,186.24,187.18,830096.0,187.834,6543
2020-07-22,186.34,191.18,185.93,189.08,869435.0,189.375,7048
2020-07-23,187.95,188.8,185.76,186.98,1189119.0,187.008,9663
2020-07-24,187.01,188.36,186.61,187.01,566320.0,187.274,4834
2020-07-27,186.47,190.74,185.17,189.93,988253.0,189.36,7568
2020-07-28,189.3,189.91,184.21,185.1,1357829.0,186.285,9382
2020-07-29,188.07,193.88,185.19,192.82,1532192.0,191.437,11356
2020-07-30,190.96,191.08,186.15,188.87,1051658.0,188.66,7903
2020-07-31,187.29,193.22,184.92,192.21,1119936.0,188.97,8582
2020-08-03,192.38,193.18,188.56,190.47,769030.0,191.41,5988
2020-08-04,189.46,192.55,189.03,192.39,836677.0,190.933,6340
2020-08-05,193.93,194.73,192.21,193.06,712768.0,193.374,5890
2020-08-06,191.78,196.4,191.54,195.77,846312.0,194.891,5771
2020-08-07,195.07,199.35,195.07,198.99,674040.0,198.056,5237
2020-08-10,201.0,204.61,200.43,204.5,1085862.0,203.279,8275
2020-08-11,206.77,211.72,205.78,206.08,1023382.0,208.876,7535
2020-08-12,207.0,208.35,204.81,204.85,808678.0,206.132,6343
2020-08-13,203.77,205.17,203.12,204.38,501405.0,204.439,4042
2020-08-14,204.25,208.3,203.44,206.61,538917.0,206.724,3938
2020-08-17,207.34,209.96,206.61,208.35,492338.0,208.644,3811
2020-08-18,208.95,209.24,205.59,206.33,495028.0,207.115,3896
2020-08-19,207.25,207.87,205.32,205.4,441630.0,206.302,3561
2020-08-20,204.08,207.44,203.13,206.23,466148.0,206.251,3615
2020-08-21,206.31,209.71,205.13,208.93,628253.0,208.49,4491
2020-08-24,212.12,212.34,209.73,212.22,456712.0,211.305,3326
2020-08-25,212.5,214.28,211.51,213.62,617121.0,213.42,4399
2020-08-26,212.53,214.35,211.01,213.08,467497.0,213.43,3624
