date,open,high,low,close,volume,average,barCount
2020-07-13,80.78,82.73,79.97,81.57,865342.0,81.737,6923
2020-07-14,81.56,82.28,80.31,81.65,624059.0,81.441,5181
2020-07-15,82.82,82.82,79.81,80.55,1071291.0,80.721,8949
2020-07-16,79.71,81.59,79.02,79.94,692604.0,80.067,5913
2020-07-17,80.27,80.27,77.55,77.71,904544.0,78.153,6863
2020-07-20,76.97,78.18,76.97,77.74,1001850.0,77.672,7590
2020-07-21,77.64,80.54,77.5,79.83,883432.0,79.683,7222
2020-07-22,82.28,82.28,72.64,75.62,2229915.0,76.282,16760
2020-07-23,75.28,77.71,75.17,77.48,1191674.0,76.849,8736
2020-07-24,78.07,79.04,75.78,76.03,718597.0,77.078,5622
2020-07-27,75.46,76.78,74.47,76.61,673079.0,76.15,5347
2020-07-28,76.02,77.37,75.87,77.1,933887.0,76.865,7297
2020-07-29,76.87,79.64,76.78,79.26,820293.0,78.371,6832
2020-07-30,77.81,78.17,76.74,77.93,562569.0,77.608,4416
2020-07-31,77.93,78.44,77.24,78.35,458165.0,77.904,3903
2020-08-03,78.55,80.04,77.8,79.28,644508.0,79.363,4868
2020-08-04,79.7,79.79,78.52,79.28,397327.0,79.193,3306
2020-08-05,79.56,80.48,79.38,80.39,272767.0,80.107,2269
2020-08-06,80.45,80.92,79.95,80.06,403505.0,80.309,3211
2020-08-07,79.71,83.32,79.68,83.25,438758.0,82.048,3937
2020-08-10,83.25,84.2,82.61,83.66,442331.0,83.598,3866
2020-08-11,85.47,86.49,83.92,84.27,631599.0,85.247,5488
2020-08-12,85.93,86.04,83.43,84.07,427124.0,84.281,3123
2020-08-13,83.03,83.83,82.23,82.65,320593.0,82.858,2638
2020-08-14,82.69,83.97,82.46,83.42,264330.0,83.389,2100
2020-08-17,82.94,83.35,82.01,82.58,334387.0,82.58,2675
2020-08-18,82.4,82.69,81.55,82.22,233022.0,82.179,2061
2020-08-19,82.82,83.74,82.44,83.0,332631.0,83.087,2424
2020-08-20,82.11,82.29,81.07,81.43,394755.0,81.576,2957
2020-08-21,81.19,81.81,80.53,81.73,331665.0,81.425,2595
2020-08-24,81.69,84.36,81.55,84.26,397363.0,83.582,3424
2020-08-25,85.03,85.45,83.88,84.0,259683.0,84.243,2207
2020-08-26,83.96,83.96,82.7,82.74,339210.0,83.076,3071
2020-08-27,83.09,84.73,82.95,84.28,269806.0,84.251,2253
2020-08-28,84.45,84.45,83.52,83.91,292708.0,83.925,2487
2020-08-31,83.74,84.02,81.56,81.89,459987.0,82.081,3666
2020-09-01,81.79,83.19,81.09,82.08,446729.0,82.095,3531
2020-09-02,81.83,84.29,81.26,83.92,329977.0,83.399,2796
2020-09-03,84.46,86.24,83.0,83.66,588519.0,83.968,4267
2020-09-04,84.84,86.2,83.67,84.45,593625.0,84.605,4919
2020-09-08,83.01,83.75,81.11,81.61,1041057.0,81.919,7789
2020-09-09,82.79,82.79,81.04,81.09,563702.0,81.671,4056
2020-09-10,80.52,81.43,78.54,78.65,667133.0,79.703,4258
2020-09-11,78.4,80.46,78.08,79.85,418646.0,79.556,3374
2020-09-14,80.56,81.97,80.24,80.5,797261.0,81.035,6242
2020-09-15,81.2,81.2,78.32,78.76,991441.0,79.06,7117
2020-09-16,79.11,85.9,79.0,83.22,1524901.0,83.042,11261
2020-09-17,81.97,83.53,81.92,82.9,893520.0,82.856,7362
2020-09-18,82.56,83.6,81.58,81.74,711875.0,82.509,4694
2020-09-21,79.7,81.16,77.69,79.5,661402.0,79.099,5630
2020-09-22,78.97,80.15,76.94,77.79,601131.0,77.733,5105
2020-09-23,77.73,79.04,75.86,75.99,429346.0,77.021,3654
2020-09-24,76.48,77.28,74.75,75.22,566916.0,75.53,4443
2020-09-25,74.23,76.53,74.03,76.46,477353.0,75.59,4123
2020-09-28,78.1,79.58,77.72,78.61,354629.0,78.953,2992
2020-09-29,78.36,78.64,77.07,77.46,324409.0,77.751,2713
2020-09-30,78.13,79.03,77.4,77.97,389446.0,78.265,3116
2020-10-01,77.78,78.79,76.53,77.05,437895.0,77.107,3937
2020-10-02,75.97,79.09,75.72,78.41,283589.0,77.887,2294
2020-10-05,79.28,81.04,79.27,80.83,317509.0,80.465,2682
2020-10-06,81.69,82.25,79.91,80.19,610995.0,81.323,3454
2020-10-07,81.79,83.41,81.43,82.24,536358.0,82.238,3853
2020-10-08,82.55,84.49,82.02,84.25,280506.0,83.837,2211
2020-10-09,83.62,85.57,83.39,85.22,391377.0,84.705,3061
2020-10-12,85.02,86.69,84.63,86.31,303025.0,85.966,2610
2020-10-13,85.54,86.39,83.62,83.93,457453.0,84.689,3523
2020-10-14,84.14,85.48,83.92,84.39,312223.0,84.684,2589
2020-10-15,83.66,87.27,83.61,87.02,618871.0,86.507,4927
2020-10-16,87.43,87.99,86.28,87.38,427326.0,87.427,3103
2020-10-19,87.47,87.96,85.23,85.41,394336.0,86.646,3258
2020-10-20,86.21,87.33,85.49,85.76,407791.0,86.427,3361
2020-10-21,85.13,90.46,85.0,85.77,1285236.0,87.715,9558
2020-10-22,85.81,86.32,83.86,85.76,500651.0,85.254,4262
2020-10-23,87.0,87.07,84.09,84.41,590434.0,84.847,4654
2020-10-26,83.43,83.65,80.97,82.23,422863.0,81.924,3424
2020-10-27,81.95,82.37,80.32,80.7,495560.0,80.916,3905
2020-10-28,79.32,79.77,77.37,77.8,454968.0,78.224,3465
2020-10-29,77.51,78.89,76.23,78.29,476574.0,77.918,4041
2020-10-30,77.71,78.57,76.2,78.27,499529.0,77.376,4271
2020-11-02,79.77,80.1,78.26,79.05,451405.0,79.233,3640
2020-11-03,80.62,83.48,80.3,82.54,594226.0,82.557,4773
2020-11-04,80.76,82.19,78.7,78.89,628716.0,80.191,5258
2020-11-05,79.64,82.4,79.61,81.58,342458.0,81.484,2759
2020-11-06,81.94,82.4,81.12,81.66,692247.0,81.593,5237
2020-11-09,88.29,92.12,88.28,90.8,1177852.0,90.679,8980
2020-11-10,91.37,92.6,89.76,91.85,740451.0,91.314,5886
2020-11-11,92.05,92.78,88.65,89.21,320409.0,89.75,2642
2020-11-12,88.01,89.2,86.6,87.57,335537.0,87.452,2881
2020-11-13,88.76,91.34,87.73,90.8,422053.0,90.216,3386
2020-11-16,93.28,94.14,91.96,93.14,388246.0,92.638,3072
2020-11-17,91.51,93.9,90.82,93.67,455155.0,92.994,3323
2020-11-18,94.67,95.13,92.69,92.69,273453.0,94.166,2080
2020-11-19,92.1,93.66,90.93,93.36,406650.0,92.613,3213
2020-11-20,92.83,92.95,91.17,91.39,304437.0,91.888,2026
2020-11-23,92.5,93.81,91.22,93.56,245113.0,93.098,1778
2020-11-24,95.13,98.55,94.97,97.61,661313.0,97.362,4763
2020-11-25,96.79,97.52,95.12,96.88,318603.0,96.725,2331
2020-11-27,97.3,97.6,95.53,96.14,363689.0,96.343,2309
2020-11-30,95.75,95.84,92.68,93.12,546191.0,93.715,4069
2020-12-01,92.63,95.1,92.63,93.27,770310.0,93.604,6084
2020-12-02,92.75,94.1,92.1,93.9,652175.0,93.173,4463
2020-12-03,94.03,94.12,92.49,92.99,654344.0,93.31,4726
2020-12-04,94.33,95.36,93.7,94.81,733509.0,94.703,5574
2020-12-07,94.06,94.49,92.95,94.42,321319.0,93.945,2256
2020-12-08,93.22,94.84,93.22,94.63,360761.0,94.192,2253
2020-12-09,94.72,95.62,92.51,93.22,642036.0,93.494,4598
2020-12-10,92.1,92.1,90.42,91.72,605923.0,91.202,4765
2020-12-11,90.25,90.41,88.71,90.1,795282.0,89.739,5057
2020-12-14,91.62,91.88,88.46,88.58,524133.0,89.637,3957
2020-12-15,89.77,91.47,88.6,90.73,630922.0,90.142,4486
2020-12-16,90.76,91.13,89.85,90.79,364180.0,90.549,2521
2020-12-17,90.83,92.12,90.14,92.1,457171.0,91.457,3647
2020-12-18,92.84,92.9,91.29,91.9,543960.0,92.116,3254
2020-12-21,91.42,92.65,88.85,91.05,481602.0,90.52,3862
2020-12-22,90.81,91.45,90.0,90.6,469993.0,90.9,3691
2020-12-23,91.35,93.02,91.28,91.99,271260.0,92.397,2303
2020-12-24,92.23,92.23,90.18,91.59,141071.0,90.874,1155
2020-12-28,92.09,93.6,91.83,92.48,347740.0,92.686,2802
2020-12-29,92.84,92.85,91.43,91.91,282589.0,92.036,2383
2020-12-30,91.66,92.84,91.07,91.92,176127.0,92.142,1404
2020-12-31,92.16,93.29,91.39,93.14,232231.0,92.62,1938
2021-01-04,93.44,93.99,91.08,92.5,310173.0,92.341,2450
2021-01-05,90.66,92.74,90.63,91.81,500350.0,91.752,3861
2021-01-06,93.92,98.13,92.69,97.29,807879.0,96.614,6072
2021-01-07,97.8,99.23,97.53,97.58,359662.0,98.163,2662
2021-01-08,97.62,97.91,95.4,96.89,294936.0,96.661,2431
2021-01-11,96.8,97.9,95.43,97.89,337653.0,97.136,2170
