date,open,high,low,close,volume,average,barCount
2020-07-13,40.89,41.17,39.88,39.94,1500688.0,40.37,10557
2020-07-14,39.76,41.12,39.48,41.06,1023199.0,40.661,7028
2020-07-15,41.84,42.03,40.76,41.68,1052739.0,41.53,6979
2020-07-16,41.5,42.39,41.17,41.76,1213616.0,41.845,7806
2020-07-17,41.97,42.29,41.21,41.26,748850.0,41.55,4998
2020-07-20,40.87,41.28,40.42,40.7,900465.0,40.712,6143
2020-07-21,40.9,42.1,40.88,41.89,1180922.0,41.768,7766
2020-07-22,41.51,42.36,41.37,42.26,1088512.0,42.015,7228
2020-07-23,42.38,43.76,42.07,42.59,1743600.0,42.809,11700
2020-07-24,42.51,42.92,41.98,42.85,1232104.0,42.548,8452
2020-07-27,42.61,43.9,42.41,43.83,1522217.0,43.54,9859
2020-07-28,43.46,43.6,42.61,42.67,2069306.0,42.821,12225
2020-07-29,42.74,43.26,42.73,43.26,1291190.0,43.045,8844
2020-07-30,42.51,42.8,42.21,42.7,1305593.0,42.473,8904
2020-07-31,42.37,42.54,41.63,41.95,1892978.0,41.91,12680
2020-08-03,42.31,43.08,41.87,42.86,1590223.0,42.846,10347
2020-08-04,42.75,43.23,42.33,43.01,1157834.0,42.923,8239
2020-08-05,43.5,44.33,43.45,43.48,934734.0,43.812,5956
2020-08-06,43.85,43.88,43.12,43.26,1016185.0,43.445,6694
2020-08-07,42.81,44.48,42.65,44.34,1398837.0,43.721,8639
2020-08-10,44.61,46.29,44.49,46.1,1479749.0,45.812,8671
2020-08-11,46.32,46.72,45.16,45.41,1913992.0,45.68,11674
2020-08-12,45.92,46.03,45.33,45.89,1094151.0,45.748,6334
2020-08-13,45.24,45.83,44.99,45.5,895913.0,45.471,5310
2020-08-14,45.18,46.56,45.02,46.24,909420.0,46.117,5521
2020-08-17,46.53,46.84,46.2,46.37,1456839.0,46.526,8837
2020-08-18,46.39,46.82,46.21,46.37,994354.0,46.428,5584
2020-08-19,46.51,46.94,45.68,45.79,1212540.0,46.297,7151
2020-08-20,45.14,45.82,45.02,45.65,805206.0,45.491,5036
2020-08-21,45.44,45.44,44.47,44.69,902446.0,44.846,5409
2020-08-24,45.15,46.04,44.97,46.02,882769.0,45.751,5202
2020-08-25,46.06,46.08,45.21,45.57,835979.0,45.594,4410
2020-08-26,45.52,45.87,45.19,45.5,664303.0,45.461,4286
2020-08-27,45.71,46.03,45.17,45.55,629640.0,45.518,4073
2020-08-28,45.73,46.19,45.56,45.99,829323.0,45.933,5347
2020-08-31,46.32,46.32,45.45,45.46,925930.0,45.755,6451
2020-09-01,45.42,46.64,45.07,46.64,1284859.0,46.15,8112
2020-09-02,46.75,47.66,46.44,47.46,1755335.0,47.328,10042
2020-09-03,47.32,47.88,46.18,46.61,1257858.0,46.754,7763
2020-09-04,47.42,47.59,46.51,46.9,1398431.0,47.027,9014
2020-09-08,46.2,46.46,45.41,45.59,1291854.0,45.778,8752
2020-09-09,46.13,46.43,45.63,46.06,1150764.0,46.054,7748
2020-09-10,46.19,46.26,45.36,45.39,724348.0,45.644,4584
2020-09-11,45.6,46.28,45.29,45.93,755351.0,45.868,4986
2020-09-14,46.23,46.95,46.07,46.73,1146386.0,46.572,7336
2020-09-15,46.86,47.33,46.61,46.79,1023179.0,46.982,6429
2020-09-16,46.99,47.95,46.51,47.56,1015983.0,47.517,6949
2020-09-17,47.62,49.19,47.01,48.97,1514873.0,48.724,9487
2020-09-18,48.88,49.97,48.82,49.18,2489742.0,49.346,12170
2020-09-21,48.24,48.32,45.03,45.8,1746194.0,45.987,11291
2020-09-22,45.73,46.19,45.23,45.68,1189126.0,45.669,7819
2020-09-23,45.67,46.48,44.65,44.67,1302773.0,45.19,8549
2020-09-24,44.6,45.74,44.1,44.76,1018675.0,44.872,6551
2020-09-25,44.3,45.39,44.05,45.25,710376.0,44.979,5003
2020-09-28,46.25,46.94,45.62,46.27,938707.0,46.335,6045
2020-09-29,45.61,45.79,44.56,44.74,738707.0,44.98,5074
2020-09-30,45.12,45.75,44.58,44.86,759529.0,45.137,5210
2020-10-01,45.02,45.55,44.78,45.05,1019929.0,45.092,6602
2020-10-02,44.35,46.58,44.2,46.04,1292671.0,45.968,8027
2020-10-05,46.56,47.65,46.26,47.28,1087328.0,47.282,6506
2020-10-06,47.54,48.23,46.65,46.93,1083293.0,47.392,7305
2020-10-07,47.67,49.0,47.41,48.65,1131126.0,48.613,7024
2020-10-08,48.93,49.49,48.68,49.44,1140207.0,49.166,6345
2020-10-09,49.87,49.9,48.51,48.86,1257558.0,48.992,8318
2020-10-12,48.81,49.58,48.74,49.28,1312867.0,49.217,6912
2020-10-13,49.0,49.34,48.35,48.67,1029198.0,48.687,6400
2020-10-14,48.44,49.68,48.44,49.38,973664.0,49.4,6101
2020-10-15,48.46,49.29,48.02,49.26,941453.0,48.955,5959
2020-10-16,49.48,49.73,48.98,49.33,833935.0,49.422,4325
